亦庄开发区|大兴其它|旧宫镇 上林苑 南北通透 三居室 快速公交一号线 |上林苑| | 3室1厅 | 126.38平米 | 南 北 | 简装|高楼层(共6层)  2002年建板楼  -  |大兴其它|350万|单价27695元/平米
亦庄开发区|通州其它|南北通透小三居精装修自住标准有车位|首开国风美仑| | 3室2厅 | 89平米 | 南 北 | 精装|中楼层(共16层)  板楼  -  |通州其它|260万|单价29214元/平米
亦庄开发区|通州其它|户型方正 双卫都带窗户 通透敞亮|首开国风美仑| | 3室2厅 | 120平米 | 南 北 | 简装|低楼层(共16层)  板楼  -  |通州其它|320万|单价26667元/平米
亦庄开发区|通州其它|星悦国际 东北向的小两居 环境好|星悦国际| | 2室1厅 | 88.64平米 | 东北 | 精装|低楼层(共14层)    -  |通州其它|190万|单价21436元/平米
亦庄开发区|通州其它|芳草园 通透两居，业主诚心卖，随时看！|芳草园小区| | 2室1厅 | 66平米 | 南 北 | 精装|高楼层(共5层)  1997年建板楼  -  |通州其它|185万|单价28031元/平米
亦庄开发区|通州其它|下叠带花园.带地下室.有产权车位.南北通透.随时看房|旭辉御锦| | 4室3厅 | 259.99平米 | 南 北 | 毛坯|低楼层(共1层)  2014年建  -  |通州其它|920万|单价35386元/平米
亦庄开发区|通州其它|南北通透 上下四层 前后花园  通州产权|莱茵湾一期| | 4室2厅 | 270平米 | 南 北 | 其他|低楼层(共4层)  2005年建  -  |通州其它|670万|单价24815元/平米
亦庄开发区|通州其它|温榆河畔.低密度别墅区.南入户花园.电梯入户产权车位|融科千章墅| | 7室4厅 | 396.1平米 | 南 北 | 毛坯|低楼层(共4层)    -  |通州其它|1350万|单价34083元/平米
亦庄开发区|通州其它|富力尚悦居  精装修  南北通透 |富力尚悦居| | 4室2厅 | 140平米 | 南 北 | 其他|高楼层(共7层)  2015年建板楼  -  |通州其它|360万|单价25715元/平米
亦庄开发区|通州其它|首开国风美仑 3室2厅 252万|首开国风美仑| | 3室2厅 | 90平米 | 北 南 | 其他|低楼层(共16层)  板楼  -  |通州其它|252万|单价28000元/平米
亦庄开发区|通州其它|首开国风美仑 3室2厅 240万|首开国风美仑| | 3室2厅 | 90平米 | 东南 | 其他|中楼层(共16层)  板楼  -  |通州其它|240万|单价26667元/平米
亦庄开发区|通州其它|星悦国际 精装修 商住两用不限购|星悦国际| | 2室1厅 | 92平米 | 东南 | 其他|中楼层(共17层)    -  |通州其它|220万|单价23914元/平米
亦庄开发区|通州其它|星悦国际，精装修，中间楼层，业主诚售|星悦国际| | 3室2厅 | 162平米 | 南 | 精装|低楼层(共14层)    -  |通州其它|330万|单价20371元/平米
亦庄开发区|通州其它|不限购三居 送精装修 看房有钥匙 和裕地产高端享受|星悦国际| | 3室1厅 | 141平米 | 西北 | 其他|中楼层(共14层)    -  |通州其它|260万|单价18440元/平米
亦庄开发区|通州其它|莱茵湾一期 毛坯房 看房有钥匙|莱茵湾一期| | 8室3厅 | 468平米 | 南 北 | 其他|低楼层(共3层)  2005年建  -  |通州其它|938万|单价20043元/平米
亦庄开发区|通州其它|通州 70年大产 1-3层联排别墅 |芳草园别墅| | 5室1厅 | 259平米 | 南 北 | 简装|低楼层(共3层)  1998年建  -  |通州其它|600万|单价23167元/平米
亦庄开发区|通州其它|业主换房诚心出售 南北通透有阳台|芳草园小区| | 2室1厅 | 66.03平米 | 南 北 | 精装|中楼层(共5层)  1997年建板楼  -  |通州其它|200万|单价30290元/平米
亦庄开发区|通州其它|2015年新房下叠别墅 带花园、露台、 产权车位|旭辉御锦| | 4室3厅 | 260.07平米 | 南 北 | 毛坯|低楼层(共2层)  2014年建  -  |通州其它|1200万|单价46142元/平米
亦庄开发区|通州其它|小区对面是理工附中  毛坯房  诚意出售|徐辛庄| | 3室1厅 | 83.82平米 | 西南 | 毛坯|低楼层(共6层)  2000年建板楼  -  |通州其它|220万|单价26247元/平米
亦庄开发区|通州其它|低密度别墅社区.绿化率高达70%.南北两侧有赠送面积|旭辉御锦| | 4室3厅 | 198平米 | 南 北 | 毛坯|中楼层(共6层)  2014年建  -  |通州其它|680万|单价34344元/平米
亦庄开发区|通州其它|南北通透格局，户型好，位置好，视野开阔|融科千章墅| | 5室3厅 | 447.69平米 | 南 北 | 毛坯|低楼层(共5层)    -  |通州其它|2000万|单价44674元/平米
亦庄开发区|通州其它|低密度社区，南北通透，上叠户型.带阳台|旭辉御锦| | 3室2厅 | 168平米 | 南 北 | 毛坯|高楼层(共6层)  2014年建  -  |通州其它|750万|单价44643元/平米
亦庄开发区|通州其它|润枫领尚 精装修小三居  南北通透 小区中间|润枫领尚| | 3室1厅 | 89平米 | 南 北 | 精装|低楼层(共18层)  2014年建板楼  -  |通州其它|330万|单价37079元/平米
亦庄开发区|通州其它|星悦国际 2室2厅 200万|星悦国际| | 2室2厅 | 87平米 | 南 | 精装|低楼层(共18层)    -  |通州其它|200万|单价22989元/平米
亦庄开发区|通州其它|旭辉御锦 4室3厅 1250万|旭辉御锦| | 4室3厅 | 260平米 | 南 北 | 其他|低楼层(共6层)  2014年建  -  |通州其它|1250万|单价48077元/平米
亦庄开发区|通州其它|精装修 南北通透  高层景观房 安静|润枫领尚| | 2室1厅 | 87.89平米 | 南 北 | 精装|高楼层(共18层)  2014年建板楼  -  |通州其它|330万|单价37547元/平米
亦庄开发区|通州其它|润枫领尚 小三居 简单装修 楼层好南北|润枫领尚| | 3室1厅 | 89平米 | 南 北 | 其他|中楼层(共19层)  2014年建板楼  -  |通州其它|295万|单价33147元/平米
亦庄开发区|通州其它|环境优雅高档社区，紧邻地铁，看房方便|锋创科技园| | 1室0厅 | 43.76平米 | 北 | 其他|低楼层(共19层)  2012年建塔楼  -  |通州其它|85万|单价19425元/平米
亦庄开发区|通州其它|星悦国际 3室2厅 340万|星悦国际| | 3室2厅 | 163平米 | 南 北 | 精装|高楼层(共14层)    -  |通州其它|340万|单价20859元/平米
亦庄开发区|通州其它|首开国风美仑 3室1厅 235万|首开国风美仑| | 3室1厅 | 90.05平米 | 南 北 | 毛坯|高楼层(共16层)  板楼  -  |通州其它|235万|单价26097元/平米
亦庄开发区|通州其它|有自建300多平，有赠送私家花园300多平的独栋别墅！|盛通绿色家园| | 4室2厅 | 192平米 | 西北 东南 | 精装|低楼层(共2层)  2002年建  -  |通州其它|780万|单价40625元/平米
亦庄开发区|通州其它|京东总部附近  精装修开间 邻近地铁|锋创科技园| | 1室0厅 | 55.37平米 | 西 | 精装|高楼层(共15层)  2012年建塔楼  -  |通州其它|99万|单价17880元/平米
亦庄开发区|通州其它|锋创科技园 2室1厅 140万|锋创科技园| | 2室1厅 | 62平米 | 南 | 其他|低楼层(共19层)  2012年建塔楼  -  |通州其它|140万|单价22581元/平米
亦庄开发区|通州其它|首开国风美仑 3室2厅 245万|首开国风美仑| | 3室2厅 | 90平米 | 南 北 | 精装|低楼层(共16层)  板楼  -  |通州其它|245万|单价27223元/平米
亦庄开发区|通州其它|锋创科技园紧邻地铁，交通便利，精装不限购|锋创科技园| | 1室0厅 | 65.88平米 | 东南 | 其他|中楼层(共15层)  2012年建塔楼  -  |通州其它|120万|单价18215元/平米
亦庄开发区|通州其它|星悦国际 商住两用不限购 精装修加地暖|星悦国际| | 3室1厅 | 163平米 | 西南 | 精装|低楼层(共14层)    -  |通州其它|320万|单价19632元/平米
亦庄开发区|通州其它|星悦国际 高楼层 精装修 拎包入住 |星悦国际| | 2室1厅 | 104平米 | 东北 | 精装|高楼层(共14层)    -  |通州其它|200万|单价19231元/平米
亦庄开发区|通州其它|运河岸上的院子 9室3厅 3100万|运河岸上的院子| | 9室3厅 | 398平米 | 东 南 西 北 | 精装|低楼层(共3层)    -  |通州其它|3100万|单价77890元/平米
亦庄开发区|通州其它|50年不限购，商住两用，开发商统一送的精装修。|星悦国际| | 2室1厅 | 92平米 | 东 北 | 精装|中楼层(共17层)    -  |通州其它|200万|单价21740元/平米
亦庄开发区|通州其它|润枫领尚 南北通透两居  全明格局|润枫领尚| | 2室1厅 | 87平米 | 南 北 | 简装|中楼层(共18层)  2014年建板楼  -  |通州其它|290万|单价33334元/平米
亦庄开发区|通州其它|梨园南东亚印象台湖商住两用房东向|东亚印象台湖| | 1室0厅 | 40.15平米 | 东 | 毛坯|高楼层(共6层)  塔楼  -  |通州其它|130万|单价32379元/平米
亦庄开发区|通州其它|梨园南东亚印象台湖商住产权毛坯房|东亚印象台湖| | 1室0厅 | 38.75平米 | 东 | 毛坯|高楼层(共6层)  塔楼  -  |通州其它|130万|单价33549元/平米
亦庄开发区|通州其它|星悦国际 精装自住房 不限购 业主诚心出售|星悦国际| | 3室2厅 | 139.54平米 | 东 南 | 精装|未知楼层(共15层)    -  |通州其它|270万|单价19350元/平米
亦庄开发区|通州其它|锋创科技园不限购，紧邻地铁，交通方便，看房方便|锋创科技园| | 1室0厅 | 57.64平米 | 南 | 其他|中楼层(共19层)  2012年建塔楼  -  |通州其它|122万|单价21166元/平米
亦庄开发区|通州其它|独栋别墅，不限购，能贷款，业主诚意出售|莱茵湾一期| | 4室3厅 | 287平米 | 南 北 | 其他|低楼层(共3层)  2005年建  -  |通州其它|530万|单价18467元/平米
亦庄开发区|通州其它|星悦国际 商住两用不限购50年产权商水民电|星悦国际| | 3室2厅 | 158平米 | 东南 | 精装|高楼层(共14层)    -  |通州其它|290万|单价18355元/平米
亦庄开发区|通州其它|花3居钱买大产权联排别墅 带院子露台|芳草园别墅| | 7室2厅 | 244平米 | 南 北 | 简装|低楼层(共3层)  1998年建  -  |通州其它|600万|单价24591元/平米
亦庄开发区|通州其它|融科千章墅 有车库，2个产权车位，下叠前后花园|融科千章墅| | 5室3厅 | 390.45平米 | 南 北 | 毛坯|低楼层(共5层)  2016年建  -  |通州其它|1350万|单价34576元/平米
亦庄开发区|通州其它|星悦国际 精装两居室 中央空调带地暖商水民电|星悦国际| | 2室2厅 | 105.26平米 | 西北 | 其他|高楼层(共14层)    -  |通州其它|210万|单价19951元/平米
亦庄开发区|通州其它|星悦国际 精装大三居 50年商住不限购 好楼层好格局 |星悦国际| | 3室2厅 | 158平米 | 东南 | 精装|低楼层(共14层)    -  |通州其它|350万|单价22152元/平米
亦庄开发区|通州其它|泰禾红御 欧式独栋 中间位置 满两年 原值高 诚意出售 |运河岸上的院子| | 5室3厅 | 398平米 | 南 北 | 毛坯|低楼层(共1层)    -  |通州其它|3300万|单价82915元/平米
亦庄开发区|通州其它| 中国院子臻品独栋，泰和打造，成功人士首选|运河岸上的院子| | 6室2厅 | 380平米 | 东 南 西 北 | 毛坯|地下室(共2层)    -  |通州其它|2900万|单价76316元/平米
亦庄开发区|通州其它|梨园东亚印象台湖南北通透送露台靠近环球影视城|东亚印象台湖| | 1室1厅 | 57平米 | 北 南 | 精装|高楼层(共12层)  2014年建板楼  -  |通州其它|183万|单价32106元/平米
亦庄开发区|通州其它|星悦国际 2室1厅 190万|星悦国际| | 2室1厅 | 91.67平米 | 东 北 | 其他|高楼层(共17层)    -  |通州其它|190万|单价20727元/平米
亦庄开发区|通州其它|润枫领尚  满2年 精装三居改两居    高楼层  |润枫领尚| | 3室1厅 | 89平米 | 南 北 | 其他|中楼层(共18层)  2014年建板楼  -  |通州其它|340万|单价38203元/平米
亦庄开发区|通州其它|通州 星悦国际 精装大三居 全明格局|星悦国际| | 3室2厅 | 163.7平米 | 北 西南 | 其他|低楼层(共14层)    -  |通州其它|350万|单价21381元/平米
亦庄开发区|通州其它|2014年社区 新社区 绿化好 南北三居 带电梯|首开国风美仑| | 3室2厅 | 89.1平米 | 南 北 | 其他|高楼层(共16层)  板楼  -  |通州其它|250万|单价28059元/平米
亦庄开发区|通州其它|梨园南东亚印象台湖业主自住的装修南向两居室|东亚印象台湖| | 2室1厅 | 70平米 | 南 | 精装|高楼层(共7层)  板楼  -  |通州其它|252万|单价36000元/平米
亦庄开发区|通州其它|星悦国际 精装两居室 商住两用不限购|星悦国际| | 2室1厅 | 89平米 | 南 | 其他|高楼层(共17层)    -  |通州其它|200万|单价22472元/平米
亦庄开发区|通州其它|润枫领尚 1室1厅 220万|润枫领尚| | 1室1厅 | 70平米 | 南 | 其他|高楼层(共19层)  2014年建板楼  -  |通州其它|220万|单价31429元/平米
亦庄开发区|通州其它|莱茵湾，独栋毛坯房，送前后花园！|莱茵湾一期| | 4室2厅 | 236.7平米 | 东 | 其他|低楼层(共3层)  2005年建  -  |通州其它|700万|单价29574元/平米
亦庄开发区|通州其它|电梯2居、西南向、开发商送精装、公积金贷款免个税|富力尚悦居| | 2室1厅 | 84平米 | 南 北 | 精装|高楼层(共20层)  2015年建板楼  -  |通州其它|235万|单价27977元/平米
亦庄开发区|通州其它|南北通透.双侧阳台.一个产权车位.带储藏室.带下沉庭院|旭辉御锦| | 4室2厅 | 202平米 | 南 北 | 毛坯|中楼层(共6层)  2014年建  -  |通州其它|900万|单价44555元/平米
亦庄开发区|通州其它|稀缺联排户型.有花园.有车位.满两年.已经进行部分装修|融科千章墅| | 9室4厅 | 450平米 | 南 北 | 毛坯|低楼层(共3层)  2014年建  -  |通州其它|1750万|单价38889元/平米
亦庄开发区|通州其它|满两年.精装修.南北通透格局好.采光充足|融科千章墅| | 5室3厅 | 450平米 | 南 北 | 精装|低楼层(共3层)  2014年建  -  |通州其它|1900万|单价42223元/平米
亦庄开发区|通州其它|独立大开间  精装修  可注册 社区环境好|旭辉丽舍| | 1室0厅 | 61平米 | 南 | 其他|低楼层(共6层)  2015年建板塔结合  -  |通州其它|201万|单价32951元/平米
亦庄开发区|通州其它|旭辉丽舍 精装修 小户型 可注册公司|旭辉丽舍| | 1室1厅 | 46.49平米 | 南 | 精装|低楼层(共6层)  2015年建板塔结合  -  |通州其它|153万|单价32911元/平米
亦庄开发区|通州其它|锋创科技园 1室0厅 95万|锋创科技园| | 1室0厅 | 43平米 | 北 | 其他|低楼层(共19层)  2012年建塔楼  -  |通州其它|95万|单价22094元/平米
亦庄开发区|通州其它|梨园南南北通透正规一居室有钥匙随时看房|东亚印象台湖| | 1室1厅 | 57平米 | 南 北 | 毛坯|高楼层(共12层)  2014年建板楼  -  |通州其它|183万|单价32106元/平米
亦庄开发区|通州其它|南北通透 明厨明卫 带一个十平米阳台|芳草园小区| | 2室1厅 | 66.03平米 | 南 北 | 简装|高楼层(共5层)  1997年建板楼  -  |通州其它|181万|单价27412元/平米
亦庄开发区|通州其它|润枫领尚 精装修 顶层带阁楼 有房本 |润枫领尚| | 3室2厅 | 55平米 | 东北 | 其他|高楼层(共19层)  2014年建板楼  -  |通州其它|210万|单价38182元/平米
亦庄开发区|通州其它|润枫领尚 1室1厅 210万|润枫领尚| | 1室1厅 | 70平米 | 南 北 | 其他|高楼层(共19层)  2014年建板楼  -  |通州其它|210万|单价30000元/平米
亦庄开发区|通州其它|格拉斯小镇 5室2厅 2800万|格拉斯小镇| | 5室2厅 | 536平米 | 东南 西北 | 其他|低楼层(共2层)  2009年建  -  |通州其它|2800万|单价52239元/平米
亦庄开发区|通州其它|格拉斯小镇 5室3厅 2500万|格拉斯小镇| | 5室3厅 | 523平米 | 南 北 | 其他|低楼层(共3层)  2008年建  -  |通州其它|2500万|单价47802元/平米
亦庄开发区|通州其它|润枫领尚 1室0厅 185万|润枫领尚| | 1室0厅 | 55平米 | 西北 | 其他|中楼层(共18层)  2014年建板楼  -  |通州其它|185万|单价33637元/平米
亦庄开发区|通州其它|润枫领尚 1室1厅 190万|润枫领尚| | 1室1厅 | 55平米 | 东北 | 其他|中楼层(共19层)  2014年建板楼  -  |通州其它|190万|单价34546元/平米
亦庄开发区|通州其它|首开国风美仑 精装两居 送产权车位|首开国风美仑| | 2室1厅 | 74平米 | 南 | 其他|中楼层(共16层)  板楼  -  |通州其它|245万|单价33109元/平米
亦庄开发区|通州其它|首开国风美仑业主自住南北通透大三居紧邻地铁|首开国风美仑| | 3室2厅 | 120平米 | 南 北 | 其他|低楼层(共16层)  板楼  -  |通州其它|330万|单价27500元/平米
亦庄开发区|通州其它|锋创科技园精装不限购，朝东，交通便利|锋创科技园| | 1室0厅 | 55.5平米 | 东 | 其他|低楼层(共15层)  2012年建塔楼  -  |通州其它|120万|单价21622元/平米
亦庄开发区|通州其它|梨园东亚印象台湖南向一居室2012年小区|东亚印象台湖| | 1室1厅 | 54平米 | 南 | 精装|高楼层(共12层)  板楼  -  |通州其它|175万|单价32408元/平米
亦庄开发区|通州其它|星悦国际  大两居户型，现在空房，|星悦国际| | 2室1厅 | 103.96平米 | 西北 | 精装|低楼层(共14层)    -  |通州其它|210万|单价20201元/平米
亦庄开发区|通州其它|东五环通州不限购 花园小区 地暖中央空调 24小时热水 |星悦国际| | 2室2厅 | 89平米 | 南 | 精装|高楼层(共14层)    -  |通州其它|175万|单价19663元/平米
亦庄开发区|通州其它|首开经典2居室 电梯高层  精装修 拎包入住|首开国风美仑| | 2室1厅 | 78.8平米 | 南 | 精装|中楼层(共16层)  板楼  -  |通州其它|240万|单价30457元/平米
亦庄开发区|通州其它|首开国风美仑 精装修 全南向两局 拎包入住 楼龄新|首开国风美仑| | 2室1厅 | 76平米 | 南 | 其他|中楼层(共15层)  板楼  -  |通州其它|228万|单价30000元/平米
亦庄开发区|通州其它|即买即住，高租售比，随时看房。|旭辉丽舍| | 1室0厅 | 58平米 | 南 | 精装|中楼层(共6层)  2015年建板塔结合  -  |通州其它|160万|单价27587元/平米
亦庄开发区|通州其它|商住两用，临街办公，随时看房，业主急售|旭辉丽舍| | 1室0厅 | 44.07平米 | 南 | 精装|低楼层(共6层)  2015年建板塔结合  -  |通州其它|155万|单价35172元/平米
亦庄开发区|通州其它|商住小户型，精装修随时可看！期待您来实地看看！|旭辉丽舍| | 1室1厅 | 44.6平米 | 北 | 精装|低楼层(共6层)  2015年建板塔结合  -  |通州其它|147万|单价32960元/平米
亦庄开发区|通州其它|IN北京  精装修  南向  业主诚售|IN北京| | 1室0厅 | 60平米 | 南 | 精装|高楼层(共12层)  2010年建板塔结合  -  |通州其它|90万|单价15000元/平米
亦庄开发区|通州其它|锋创科技园 1室0厅 100万|锋创科技园| | 1室0厅 | 49平米 | 西 | 其他|低楼层(共15层)  2012年建塔楼  -  |通州其它|100万|单价20409元/平米
亦庄开发区|通州其它|锋创科技园 1室0厅 120万|锋创科技园| | 1室0厅 | 55.3平米 | 北 东北 | 其他|低楼层(共19层)  2012年建塔楼  -  |通州其它|120万|单价21700元/平米
亦庄开发区|通州其它|IN北京 1室0厅 90万|IN北京| | 1室0厅 | 58平米 | 西 | 其他|中楼层(共12层)  2010年建板塔结合  -  |通州其它|90万|单价15518元/平米
亦庄开发区|通州其它|地铁沿线，交通方便，京东总部对面！|锋创科技园| | 1室0厅 | 48.93平米 | 东北 | 精装|低楼层(共19层)  2012年建塔楼  -  |通州其它|100万|单价20438元/平米
亦庄开发区|通州其它|锋创科技园精装开间不限购，业主诚意出售！|锋创科技园| | 1室0厅 | 45平米 | 北 | 精装|低楼层(共19层)  2012年建塔楼  -  |通州其它|82万|单价18223元/平米
亦庄开发区|通州其它|南北通透 南向有个大阳台 明厨明卫|芳草园小区| | 2室1厅 | 66.03平米 | 南 北 | 简装|高楼层(共5层)  1997年建板楼  -  |通州其它|180万|单价27261元/平米
亦庄开发区|通州其它|锋创科技园 1室0厅 168万|锋创科技园| | 1室0厅 | 56平米 | 南 | 其他|低楼层(共19层)  2012年建塔楼  -  |通州其它|168万|单价30000元/平米
亦庄开发区|通州其它|锋创科技园 1室0厅 95万|锋创科技园| | 1室0厅 | 52.76平米 | 南 | 其他|低楼层(共15层)  2012年建塔楼  -  |通州其它|95万|单价18007元/平米
亦庄开发区|通州其它|京东总部对面地铁旁高品质不限购开间 随时可看|锋创科技园| | 1室0厅 | 55平米 | 南 | 精装|低楼层(共15层)  2012年建塔楼  -  |通州其它|110万|单价20000元/平米
亦庄开发区|通州其它|锋创科技园   南向小开间  视野开阔采光好|锋创科技园| | 1室0厅 | 65.88平米 | 东 南 | 其他|高楼层(共15层)  2012年建塔楼  -  |通州其它|150万|单价22769元/平米
亦庄开发区|通州其它|精装修不限购，地铁沿线，交通便利！|锋创科技园| | 1室0厅 | 43.85平米 | 北 | 其他|中楼层(共19层)  2012年建塔楼  -  |通州其它|90万|单价20525元/平米
亦庄开发区|通州其它|企业总部边 精装不限购 可自住可办公|锋创科技园| | 1室0厅 | 48平米 | 西北 | 精装|低楼层(共19层)  2012年建塔楼  -  |通州其它|105万|单价21875元/平米
亦庄开发区|通州其它|南北通透三居室精装自住70年住宅民水民电|首开国风美仑| | 3室1厅 | 91平米 | 南 北 | 精装|高楼层(共16层)  板楼  -  |通州其它|260万|单价28572元/平米
亦庄开发区|通州其它|融科千章墅 下叠别墅 2个产权车位 带车库 前后花园|融科千章墅| | 7室3厅 | 390平米 | 南 北 | 毛坯|低楼层(共5层)    -  |通州其它|1450万|单价37180元/平米
亦庄开发区|通州其它|精装住宅，满两年，进口装修材料装修，拎包入住|首开国风美仑| | 3室1厅 | 92平米 | 南 北 | 精装|中楼层(共16层)  板楼  -  |通州其它|260万|单价28261元/平米
亦庄开发区|通州其它|星悦国际精装大两居，中央空调加地暖  随时看房|星悦国际| | 2室2厅 | 108平米 | 北 | 精装|低楼层(共14层)    -  |通州其它|200万|单价18519元/平米
亦庄开发区|通州其它|旭辉御锦 4室3厅 680万|旭辉御锦| | 4室3厅 | 195平米 | 南 北 | 其他|中楼层(共5层)  2014年建  -  |通州其它|680万|单价34872元/平米
亦庄开发区|通州其它|通州商住两用房 南向精装大一居室！|旭辉丽舍| | 1室1厅 | 59平米 | 南 | 精装|高楼层(共6层)  2015年建板塔结合  -  |通州其它|180万|单价30509元/平米
亦庄开发区|通州其它|商住房  精装修  小户型  小区环境好 |旭辉丽舍| | 1室0厅 | 47平米 | 北 | 精装|高楼层(共6层)  2015年建板塔结合  -  |通州其它|145万|单价30852元/平米
亦庄开发区|通州其它|精装小公寓 可直接入住 业主诚心出售|旭辉丽舍| | 1室0厅 | 61平米 | 南 | 精装|中楼层(共6层)  2015年建板塔结合  -  |通州其它|152万|单价24919元/平米
亦庄开发区|通州其它|开发商送的精装修 拎包直接入住|旭辉丽舍| | 1室0厅 | 61平米 | 南 | 精装|低楼层(共6层)  2015年建板塔结合  -  |通州其它|180万|单价29509元/平米
亦庄开发区|通州其它|首开国风美仑 2室1厅 205万|首开国风美仑| | 2室1厅 | 68平米 | 南 | 其他|高楼层(共16层)  板楼  -  |通州其它|205万|单价30148元/平米
亦庄开发区|通州其它|东亚印象台湖 2室1厅 260万|东亚印象台湖| | 2室1厅 | 65平米 | 南 | 其他|低楼层(共1层)    -  |通州其它|260万|单价40000元/平米
亦庄开发区|通州其它|润枫领尚 3室1厅 320万|润枫领尚| | 3室1厅 | 89平米 | 南 北 | 其他|高楼层(共16层)  2014年建板楼  -  |通州其它|320万|单价35956元/平米
亦庄开发区|通州其它|星悦国际 精装两居室 商住两用不限购|星悦国际| | 2室1厅 | 109平米 | 南 北 | 精装|低楼层(共14层)    -  |通州其它|200万|单价18349元/平米
亦庄开发区|通州其它|IN北京 2室1厅 260万|IN北京| | 2室1厅 | 75平米 | 南 | 其他|高楼层(共12层)  2010年建板塔结合  -  |通州其它|260万|单价34667元/平米
亦庄开发区|通州其它|格拉斯小镇 5室1厅 2000万|格拉斯小镇| | 5室1厅 | 524平米 | 南 北 | 其他|低楼层(共2层)    -  |通州其它|2000万|单价38168元/平米
亦庄开发区|通州其它|锋创科技园 1室0厅 115万|锋创科技园| | 1室0厅 | 55平米 | 南 | 其他|低楼层(共19层)  2012年建塔楼  -  |通州其它|115万|单价20910元/平米
亦庄开发区|通州其它|首开国风美仑 3室1厅 245万|首开国风美仑| | 3室1厅 | 88.85平米 | 南 北 | 精装|中楼层(共16层)  板楼  -  |通州其它|245万|单价27575元/平米
亦庄开发区|通州其它|星悦国际 不限购 商住两用 商水民电|星悦国际| | 2室1厅 | 91.61平米 | 西北 | 其他|低楼层(共15层)    -  |通州其它|190万|单价20741元/平米
亦庄开发区|通州其它|星悦国际 商住两用不限购 商水民电|星悦国际| | 2室1厅 | 91.61平米 | 东南 | 其他|低楼层(共18层)    -  |通州其它|200万|单价21832元/平米
亦庄开发区|通州其它|梨园南东亚印象台湖南北通透三居室|东亚印象台湖| | 3室1厅 | 77平米 | 南 北 | 简装|低楼层(共12层)    -  |通州其它|260万|单价33767元/平米
亦庄开发区|通州其它|旭辉丽舍 1室0厅 200万|旭辉丽舍| | 1室0厅 | 60平米 | 南 | 其他|高楼层(共4层)    -  |通州其它|200万|单价33334元/平米
亦庄开发区|通州其它|东亚尚品台湖 1室1厅 140万|东亚尚品台湖| | 1室1厅 | 40平米 | 西 | 其他|高楼层(共15层)  2016年建板塔结合  -  |通州其它|140万|单价35000元/平米
亦庄开发区|通州其它|融科千章墅 4室3厅 1500万|融科千章墅| | 4室3厅 | 386.68平米 | 南 北 | 其他|低楼层(共3层)    -  |通州其它|1500万|单价38792元/平米
亦庄开发区|通州其它|星悦国际 小三居户型 物业好环境好|星悦国际| | 3室1厅 | 139.53平米 | 西北 | 其他|低楼层(共17层)    -  |通州其它|265万|单价18993元/平米
亦庄开发区|通州其它|润枫领尚 2室1厅 365万|润枫领尚| | 2室1厅 | 89平米 | 南 | 其他|高楼层(共18层)  2014年建板楼  -  |通州其它|365万|单价41012元/平米
亦庄开发区|通州其它|首开国风美仑 2室1厅 220万|首开国风美仑| | 2室1厅 | 78平米 | 南 | 毛坯|中楼层(共16层)  板楼  -  |通州其它|220万|单价28206元/平米
亦庄开发区|通州其它|泰和一号街区 1室1厅 160万|泰和一号街区| | 1室1厅 | 39.8平米 | 北 | 精装|高楼层(共9层)    -  |通州其它|160万|单价40202元/平米
亦庄开发区|通州其它|润枫领尚 2室1厅 310万|润枫领尚| | 2室1厅 | 87平米 | 南 北 | 其他|中楼层(共18层)  2014年建板楼  -  |通州其它|310万|单价35633元/平米
亦庄开发区|通州其它|锋创科技园 1室0厅 104万|锋创科技园| | 1室0厅 | 52.74平米 | 南 | 其他|高楼层(共15层)  2012年建塔楼  -  |通州其它|104万|单价19720元/平米
亦庄开发区|通州其它|锋创科技园 1室0厅 83万|锋创科技园| | 1室0厅 | 43.86平米 | 北 | 其他|低楼层(共19层)  2012年建塔楼  -  |通州其它|83万|单价18924元/平米
亦庄开发区|通州其它|锋创科技园 1室0厅 75万|锋创科技园| | 1室0厅 | 27平米 | 北 | 其他|高楼层(共19层)  2012年建塔楼  -  |通州其它|75万|单价27778元/平米
亦庄开发区|通州其它|锋创科技园 1室0厅 88万|锋创科技园| | 1室0厅 | 43.86平米 | 北 | 其他|低楼层(共15层)  2012年建塔楼  -  |通州其它|88万|单价20064元/平米
亦庄开发区|通州其它|润枫领尚 1室1厅 265万|润枫领尚| | 1室1厅 | 70平米 | 南 | 其他|中楼层(共18层)  2014年建板楼  -  |通州其它|265万|单价37858元/平米
亦庄开发区|通州其它|锋创科技园 1室0厅 110万|锋创科技园| | 1室0厅 | 56平米 | 南 | 其他|高楼层(共19层)  2012年建塔楼  -  |通州其它|110万|单价19643元/平米
亦庄开发区|通州其它|星悦国际 精装两居室 商住两用不限购|星悦国际| | 2室1厅 | 101.76平米 | 东北 | 精装|高楼层(共17层)  塔楼  -  |通州其它|198万|单价19458元/平米
亦庄开发区|通州其它|二期大户型 南北通透 前二后三 近一千平超大花园|格拉斯小镇| | 5室3厅 | 730平米 | 南 北 | 毛坯|低楼层(共2层)  板楼  -  |通州其它|4000万|单价54795元/平米
亦庄开发区|通州其它|富力尚悦居 3室2厅 280万|富力尚悦居| | 3室2厅 | 111平米 | 南 北 | 其他|低楼层(共20层)  2015年建板楼  -  |通州其它|280万|单价25226元/平米
