大兴|长阳|原香小镇 南北通透两居 全明格局 满五唯一 随时签约|原香小镇一区| | 2室1厅 | 88平米 | 南 北 | 精装|中楼层(共10层)  2010年建板楼  -  |长阳|238万|单价27046元/平米
大兴|长阳|首创新悦都 一层带下跃 毛坯房|首创新悦都| | 3室2厅 | 170平米 | 南 北 | 毛坯|低楼层(共9层)    -  |长阳|350万|单价20589元/平米
大兴|长阳|首开熙悦山澜庭 毛坯房 有钥匙 纯南向 看房方便|首开熙悦山澜庭| | 2室1厅 | 84平米 | 南 | 毛坯|中楼层(共21层)  2016年建板楼  -  |长阳|250万|单价29762元/平米
大兴|长阳|加州水郡 无增值税三居 南北通透 送装修 诚意出售|加州水郡二期| | 3室2厅 | 140.51平米 | 南 北 | 精装|高楼层(共9层)  2004年建板塔结合  -  |长阳|290万|单价20640元/平米
大兴|长阳|豪华装修别墅户型，带花园车库，环境好|加州水郡一期| | 5室2厅 | 403平米 | 南 北 | 精装|地下室(共3层)  2006年建  -  |长阳|1280万|单价31762元/平米
大兴|长阳|加州水郡四期 2室1厅 195万|加州水郡四期| | 2室1厅 | 88.7平米 | 东 | 精装|高楼层(共14层)  2011年建塔楼  -  |长阳|195万|单价21985元/平米
大兴|长阳|不限购loft 有房本 首开双子座 长阳地铁站 精装现房|首开熙悦双子座| | 2室1厅 | 61.58平米 | 西北 | 精装|低楼层(共24层)  2014年建板楼  -  |长阳|180万|单价29231元/平米
大兴|长阳|加州水郡南北通透4居室 看房提前联系 业主诚心出售|加州水郡三期| | 4室2厅 | 170.81平米 | 南 北 | 精装|低楼层(共14层)  2009年建板塔结合  -  |长阳|318万|单价18618元/平米
大兴|长阳|长阳半岛二号院全南两居，中间层，报价含车位，次新房|长阳半岛2号院| | 2室1厅 | 89.98平米 | 南 | 精装|中楼层(共28层)  2010年建板塔结合  -  |长阳|320万|单价35564元/平米
大兴|长阳|长阳半岛全南两居，万科精装，满两年，保持新！|长阳半岛1号院| | 2室2厅 | 89平米 | 南 | 精装|低楼层(共21层)  2012年建塔楼  -  |长阳|310万|单价34832元/平米
大兴|长阳|芭蕾雨悦都北区 3室2厅 345万|芭蕾雨悦都北区| | 3室2厅 | 80平米 | 南 北 | 其他|高楼层(共9层)  2012年建板楼  -  |长阳|345万|单价43125元/平米
大兴|长阳|长龙苑小区 3室1厅 170万|长龙苑小区| | 3室1厅 | 93平米 | 北 南 | 其他|高楼层(共6层)  2000年建板楼  -  |长阳|170万|单价18280元/平米
大兴|长阳|馨然嘉园三区 3室2厅 380万|馨然嘉园三区| | 3室2厅 | 119平米 | 南 北 | 其他|高楼层(共15层)  2012年建板楼  -  |长阳|380万|单价31933元/平米
大兴|长阳|加州水郡三期，低总价，精装两居，首付少|加州水郡三期| | 2室1厅 | 87平米 | 东北 | 精装|低楼层(共15层)  2009年建板塔结合  -  |长阳|178万|单价20460元/平米
大兴|长阳|长阳半岛怡和路10号院 南北精装三居 全新装修没住过|长阳半岛怡和路10号院| | 3室2厅 | 120.63平米 | 南 北 | 精装|中楼层(共14层)  塔楼  -  |长阳|480万|单价39792元/平米
大兴|长阳|加州水郡三期  精装修    大三居|加州水郡三期| | 3室2厅 | 147.13平米 | 南 北 | 其他|低楼层(共14层)  2009年建板塔结合  -  |长阳|275万|单价18691元/平米
大兴|长阳|徜徉集、北京四中、北京小学、经典三居、全明格局|徜徉嘉园6号院| | 3室1厅 | 103.23平米 | 南 北 | 毛坯|低楼层(共11层)  2014年建板楼  -  |长阳|370万|单价35843元/平米
大兴|长阳|靠山居艺墅北区 4室2厅 648万|靠山居艺墅北区| | 4室2厅 | 225平米 | 南 北 | 其他|低楼层(共3层)  2006年建  -  |长阳|648万|单价28800元/平米
大兴|长阳|紫云家园南北通透三居 北京四中 北京小学|紫云家园| | 3室2厅 | 134.34平米 | 南 北 | 精装|高楼层(共9层)  2013年建板楼  -  |长阳|500万|单价37219元/平米
大兴|长阳|加州水郡四期 2室1厅 220万|加州水郡四期| | 2室1厅 | 87.61平米 | 东北 | 精装|低楼层(共14层)  2011年建塔楼  -  |长阳|220万|单价25112元/平米
大兴|长阳|加州水郡四期 2室1厅 200万|加州水郡四期| | 2室1厅 | 86.92平米 | 东南 | 精装|低楼层(共11层)  2011年建塔楼  -  |长阳|200万|单价23010元/平米
大兴|长阳|全南向 两居 楼栋位置好 楼层好 业主二次装修|加州水郡四期| | 2室1厅 | 87.16平米 | 南 | 精装|高楼层(共14层)  2011年建塔楼  -  |长阳|210万|单价24094元/平米
大兴|长阳|长阳正规一居，客厅和卧室朝西，全明格局|加州水郡四期| | 1室1厅 | 58.84平米 | 西北 | 精装|高楼层(共11层)  2011年建板楼  -  |长阳|145万|单价24644元/平米
大兴|长阳|原香小镇小三居 豪华装修 房本满二年 看房方便|原香小镇一区| | 3室2厅 | 93平米 | 南 北 | 精装|低楼层(共10层)  2010年建板楼  -  |长阳|330万|单价35484元/平米
大兴|长阳|首创新悦都三居室，南北通透，黄金楼层|首创新悦都| | 3室1厅 | 81平米 | 南 北 | 精装|低楼层(共9层)    -  |长阳|240万|单价29630元/平米
大兴|长阳|南北通透两居 地铁稻田站三百米有房本|长景新园| | 2室1厅 | 80.05平米 | 南 北 | 毛坯|高楼层(共6层)    -  |长阳|190万|单价23736元/平米
大兴|长阳|加州水郡南北通透二居 户型无浪费空间 位置好 楼层好|加州水郡三期| | 2室1厅 | 85.01平米 | 南 北 | 精装|低楼层(共11层)  2009年建板塔结合  -  |长阳|220万|单价25880元/平米
大兴|长阳|重点推荐精装三居室，保持良好拎包入住，可上北小四中|馨然嘉园三区| | 3室1厅 | 89平米 | 南 北 | 精装|高楼层(共15层)  2012年建板楼  -  |长阳|281万|单价31574元/平米
大兴|长阳|熙悦山三号院纯南两居诚意出售小区中间位置|首开熙悦山熹园3号院| | 2室1厅 | 84平米 | 南 | 简装|低楼层(共21层)  2013年建板楼  -  |长阳|260万|单价30953元/平米
大兴|长阳|碧桂园小区C区 3室2厅 266万|碧桂园小区C区| | 3室2厅 | 123.53平米 | 南 北 | 精装|中楼层(共15层)  2007年建板楼  -  |长阳|266万|单价21534元/平米
大兴|长阳|加州水郡三期  南北通透两居   无抵押 高楼层|加州水郡三期| | 2室1厅 | 85平米 | 南 北 | 精装|高楼层(共15层)  2009年建塔楼  -  |长阳|200万|单价23530元/平米
大兴|长阳|加州水郡四期 二次精装 方正两居 直接入住|加州水郡四期| | 2室1厅 | 88.43平米 | 东 | 精装|中楼层(共14层)  2011年建塔楼  -  |长阳|192万|单价21713元/平米
大兴|长阳|建邦华庭东区顶层带阁楼，精装地铁房，上学方便|建邦华庭东区| | 3室1厅 | 105平米 | 南 北 | 简装|高楼层(共11层)  板楼  -  |长阳|390万|单价37143元/平米
大兴|长阳|馨然嘉园一区纯南向两居室精装修满两年拎包入住|馨然嘉园一区| | 2室1厅 | 78.64平米 | 南 | 精装|中楼层(共20层)  2012年建板塔结合  -  |长阳|260万|单价33063元/平米
大兴|长阳|精装修基本没有住过 明厨明卫  电梯房 小区中间位置|碧桂园小区C区| | 2室1厅 | 93平米 | 南 北 | 精装|高楼层(共11层)  2006年建板楼  -  |长阳|215万|单价23119元/平米
大兴|长阳|满五唯一三居室    业主诚售|碧桂园小区C区| | 3室2厅 | 124平米 | 南 北 | 简装|高楼层(共15层)  2007年建板楼  -  |长阳|300万|单价24194元/平米
大兴|长阳|碧桂园小区C区 3室1厅 260万|碧桂园小区C区| | 3室1厅 | 118.9平米 | 南 北 | 其他|高楼层(共16层)  2007年建板塔结合  -  |长阳|260万|单价21868元/平米
大兴|长阳|首开熙悦山北区 精装全南两居 邻长阳地铁站|首开熙悦山熹园3号院| | 2室1厅 | 84平米 | 南 | 其他|低楼层(共21层)  2013年建板楼  -  |长阳|265万|单价31548元/平米
大兴|长阳|碧桂园南北通透两居，一梯两户，小区中心|碧桂园小区A区| | 2室1厅 | 90平米 | 南 北 | 简装|低楼层(共6层)  2001年建板楼  -  |长阳|170万|单价18889元/平米
大兴|长阳|加州水郡别墅区 花园洋房 诚心出售 看房方便|加州水郡二期| | 3室1厅 | 113.83平米 | 南 北 | 精装|高楼层(共9层)  2004年建板塔结合  -  |长阳|251万|单价22051元/平米
大兴|长阳|南北通透三居，毛坯房，视野开阔|首创新悦都| | 3室1厅 | 89平米 | 南 北 | 毛坯|中楼层(共18层)    -  |长阳|245万|单价27529元/平米
大兴|长阳|中国铁建国际花园毛坯原值高刚需三居|中国铁建国际花园| | 3室1厅 | 86平米 | 南 北 | 其他|高楼层(共18层)  2014年建板楼  -  |长阳|220万|单价25582元/平米
大兴|长阳|首创新悦都南北通透三居，邻近地铁|首创新悦都| | 3室1厅 | 81平米 | 南 北 | 毛坯|中楼层(共9层)    -  |长阳|240万|单价29630元/平米
大兴|长阳|加州水郡三期 南北两居 楼王位置 观景房 满两年原值高|加州水郡三期| | 2室1厅 | 84.11平米 | 南 北 | 精装|高楼层(共10层)  2009年建板塔结合  -  |长阳|190万|单价22590元/平米
大兴|长阳|优质地段 高端社区 贵宾享受 精装修|加州水郡一期| | 5室3厅 | 295平米 | 南 北 | 其他|地下室(共3层)  2006年建  -  |长阳|920万|单价31187元/平米
大兴|长阳|建邦华庭 西南北两居室皇城根学区|建邦华庭西区| | 2室1厅 | 93.7平米 | 南 西 北 | 精装|中楼层(共16层)  2013年建板楼  -  |长阳|280万|单价29883元/平米
大兴|长阳|九洲溪雅苑 豪装大四居 送露台|九洲溪雅苑一区| | 4室2厅 | 222平米 | 南 北 | 精装|高楼层(共13层)  2009年建板塔结合  -  |长阳|480万|单价21622元/平米
大兴|长阳|芭蕾雨悦都 南北三居 原值高 精装修 邻近地铁站|芭蕾雨悦都南区| | 3室1厅 | 89平米 | 南 北 | 精装|高楼层(共9层)  2012年建板楼  -  |长阳|286万|单价32135元/平米
大兴|长阳|原香小镇一区 楼王位置一层带下跃户型 精装修 采光好|原香小镇一区| | 3室2厅 | 122平米 | 南 北 | 精装|低楼层(共10层)  2010年建板楼  -  |长阳|380万|单价31148元/平米
大兴|长阳|徜徉嘉园6号院 精装修 南北通透 邻近地铁|徜徉嘉园6号院| | 3室1厅 | 91.73平米 | 南 北 | 精装|中楼层(共11层)  2014年建板楼  -  |长阳|390万|单价42517元/平米
大兴|长阳|九洲溪雅苑  精装3居房本满2年|九洲溪雅苑二区| | 3室2厅 | 133平米 | 南 北 | 精装|高楼层(共14层)  2009年建板塔结合  -  |长阳|275万|单价20677元/平米
大兴|长阳|芭蕾雨悦都 南北大三居 双卧南 原值高 满两年改善首选|芭蕾雨悦都南区| | 3室1厅 | 136平米 | 南 北 | 精装|低楼层(共9层)  2012年建板楼  -  |长阳|420万|单价30883元/平米
大兴|长阳|首开熙悦双子座，不限购，不限贷，现房，临近地铁|首开熙悦双子座| | 2室1厅 | 52.7平米 | 西 | 精装|低楼层(共24层)  2014年建板楼  -  |长阳|125万|单价23720元/平米
大兴|长阳|首创新悦都 3室1厅 400万|首创新悦都| | 3室1厅 | 171平米 | 南 北 | 其他|低楼层(共9层)  板楼  -  |长阳|400万|单价23392元/平米
大兴|长阳|长阳半岛4号院南北全明3居出售|长阳半岛4号院| | 3室1厅 | 97平米 | 南 北 | 其他|低楼层(共9层)  2013年建板楼  -  |长阳|385万|单价39691元/平米
大兴|长阳|加州水郡三期 4室2厅 282万|加州水郡三期| | 4室2厅 | 136平米 | 南 北 | 精装|中楼层(共12层)  2009年建板塔结合  -  |长阳|282万|单价20736元/平米
大兴|长阳|南北通透 精致装修 产权清晰 可贷款 |中国铁建国际花园| | 3室1厅 | 89.4平米 | 南 北 | 精装|低楼层(共18层)  2014年建板楼  -  |长阳|270万|单价30202元/平米
大兴|长阳|翠林漫步 4室2厅 480万|翠林漫步| | 4室2厅 | 128平米 | 南 北 | 精装|高楼层(共10层)  2011年建板楼  -  |长阳|480万|单价37500元/平米
大兴|长阳|长阳半岛怡和路 西南北三居室 满两年|长阳半岛怡和路1号院| | 3室1厅 | 101平米 | 南 西 北 | 精装|中楼层(共20层)  2013年建板楼  -  |长阳|365万|单价36139元/平米
大兴|长阳|紫云家园U6户型 此房满两年减免增值税；|紫云家园| | 3室2厅 | 140.7平米 | 南 北 | 其他|中楼层(共15层)  2013年建板塔结合  -  |长阳|535万|单价38025元/平米
大兴|长阳|国际花园精装三居，楼王位置 无遮挡 全明户型|中国铁建国际花园| | 3室1厅 | 88平米 | 东 南 北 | 精装|低楼层(共18层)  2014年建板楼  -  |长阳|245万|单价27841元/平米
大兴|长阳|天泰新景 满五唯一 精装 一梯两户 公摊小 |天泰新景| | 3室1厅 | 110.84平米 | 南 北 | 其他|高楼层(共6层)  2004年建板楼  -  |长阳|225万|单价20300元/平米
大兴|长阳|徜徉嘉园   南北通透  2梯2户  2.9米层高 人车分流|徜徉嘉园8号院| | 2室2厅 | 122平米 | 南 北 | 精装|低楼层(共18层)  2014年建板楼  -  |长阳|418万|单价34263元/平米
大兴|长阳|九洲溪雅苑二区 3室1厅 405万|九洲溪雅苑二区| | 3室1厅 | 158平米 | 南 北 | 其他|中楼层(共14层)  2009年建板塔结合  -  |长阳|405万|单价25633元/平米
大兴|长阳|长阳半岛怡和路，自住三居，业主诚心出售，房子干净|长阳半岛怡和路1号院| | 3室1厅 | 98.03平米 | 东 南 北 | 精装|低楼层(共18层)  2013年建板塔结合  -  |长阳|355万|单价36214元/平米
大兴|长阳|芭蕾雨带下跃四局  送南北双花园 精装修 改善首选|芭蕾雨悦都南区| | 4室2厅 | 90平米 | 南 北 | 精装|低楼层(共9层)  2012年建板楼  -  |长阳|450万|单价50000元/平米
大兴|长阳|全南向两居室 使用率高 适宜居住|馨然嘉园二区| | 2室1厅 | 81.06平米 | 南 | 简装|中楼层(共20层)  2012年建板塔结合  -  |长阳|253万|单价31212元/平米
大兴|长阳|原香小镇花园洋房  精装两居 满两年|原香小镇二区| | 2室2厅 | 85.4平米 | 南 北 | 精装|低楼层(共6层)  2010年建板楼  -  |长阳|248万|单价29040元/平米
大兴|长阳|金域缇香 3室2厅 340万|金域缇香| | 3室2厅 | 115平米 | 南 北 | 精装|低楼层(共20层)  板楼  -  |长阳|340万|单价29566元/平米
大兴|长阳|馨然嘉园三区 1室0厅 20万|馨然嘉园三区| | 1室0厅 | 27.01平米 | 南 北 | 毛坯|地下室(共0层)  2012年建板楼  -  |长阳|20万|单价7405元/平米
大兴|长阳|【改善首选】紫云家园   全明户型  近地铁|紫云家园| | 3室2厅 | 165平米 | 南 北 | 精装|中楼层(共15层)  2013年建板楼  -  |长阳|650万|单价39394元/平米
大兴|长阳|靠山居稀缺双拼上风上水随心装随时看|靠山居艺墅北区| | 5室3厅 | 383平米 | 东南 | 毛坯|低楼层(共3层)  2008年建  -  |长阳|1350万|单价35249元/平米
大兴|长阳|首开熙悦山熹园3号院精装南北通透的三居室，地铁房|首开熙悦山熹园3号院| | 3室2厅 | 103平米 | 南 北 | 精装|高楼层(共9层)  2013年建板楼  -  |长阳|350万|单价33981元/平米
大兴|长阳|中粮万科 紫云家园大三居不含家政间 高端改善住宅|紫云家园| | 3室2厅 | 165平米 | 南 北 | 其他|高楼层(共15层)  2013年建板楼  -  |长阳|590万|单价35758元/平米
大兴|长阳|加州水郡 精装三居 满两年 拎包入住|加州水郡三期| | 3室2厅 | 115.61平米 | 南 北 | 精装|中楼层(共11层)  2009年建板塔结合  -  |长阳|265万|单价22922元/平米
大兴|长阳|首开熙悦山澜庭 正规3居室 有装修 看房方便 全明格局|首开熙悦山澜庭| | 3室2厅 | 100平米 | 南 西 北 | 精装|低楼层(共21层)  2016年建板楼  -  |长阳|350万|单价35000元/平米
大兴|长阳|徜徉嘉园8号院 U6户型 南北通透|徜徉嘉园8号院| | 3室1厅 | 131平米 | 南 北 | 毛坯|未知楼层(共8层)  2014年建板楼  -  |长阳|520万|单价39695元/平米
大兴|长阳|紫云家园u8 3+1户型 高端住宅 改善住房首选|紫云家园| | 3室2厅 | 165平米 | 南 北 | 其他|低楼层(共15层)  2013年建板楼  -  |长阳|600万|单价36364元/平米
大兴|长阳|原香小镇 南北三居 小区中间位置 中高层|原香小镇一区| | 3室2厅 | 125平米 | 南 北 | 其他|中楼层(共10层)  2010年建板楼  -  |长阳|350万|单价28000元/平米
大兴|长阳|紫云家园 U8 全明格局 顶层 万科精装 |紫云家园| | 3室2厅 | 165平米 | 南 北 | 精装|高楼层(共15层)  2013年建板楼  -  |长阳|605万|单价36667元/平米
大兴|长阳|靠山居 精装修 南北通透 大户型 诚心出售|靠山居艺墅北区| | 4室2厅 | 160平米 | 南 北 | 其他|低楼层(共4层)  2008年建  -  |长阳|485万|单价30313元/平米
大兴|长阳|原香小镇 一层带花园 带下跃 花园洋房 随时签约|原香小镇二区| | 2室2厅 | 88平米 | 南 北 | 精装|低楼层(共6层)  2010年建板楼  -  |长阳|300万|单价34091元/平米
大兴|长阳|翠林漫步 精装南向两居室 业主自住 |翠林漫步| | 2室1厅 | 67.96平米 | 南 | 精装|中楼层(共11层)  2011年建板楼  -  |长阳|195万|单价28694元/平米
大兴|长阳|【无电梯】大宁山庄 拎包入住 环境优美 鸟语花香！|大宁山庄三区C区| | 3室2厅 | 114平米 | 南 北 | 精装|高楼层(共5层)  2005年建  -  |长阳|310万|单价27193元/平米
大兴|长阳|长阳半岛怡和路6号院 U8精装三居  诚心出售临地铁|长阳半岛怡和路6号院| | 3室2厅 | 166.19平米 | 南 北 | 其他|高楼层(共5层)  板楼  -  |长阳|627万|单价37728元/平米
大兴|长阳|长阳光合作用，163平米复式，满2年，毛坯房|禾香雅园| | 3室2厅 | 165平米 | 南 北 | 毛坯|高楼层(共8层)  板楼  -  |长阳|415万|单价25152元/平米
大兴|长阳|碧桂园 大三居两卫 婚房装修  保持的很好|碧桂园小区A区| | 3室2厅 | 121.52平米 | 南 北 | 精装|高楼层(共6层)  2001年建板楼  -  |长阳|235万|单价19339元/平米
大兴|长阳|碧桂园三期125平双卫 满五年 楼层好 位置好 |碧桂园小区C区| | 3室2厅 | 125平米 | 南 北 | 毛坯|高楼层(共15层)  2007年建板楼  -  |长阳|265万|单价21200元/平米
大兴|长阳|加州水郡三期 全南采光好 满两年 全款购买个税可差没|加州水郡三期| | 2室1厅 | 91平米 | 西南 | 精装|低楼层(共15层)  2009年建板塔结合  -  |长阳|200万|单价21979元/平米
大兴|长阳|碧桂园 大两居两卫 带下跃 楼下一室一厅一卫|碧桂园小区C区| | 3室2厅 | 104平米 | 南 | 简装|低楼层(共15层)  2007年建板楼  -  |长阳|245万|单价23558元/平米
大兴|长阳|加州水郡 南北通透 大四居 全明格局 |加州水郡三期| | 4室2厅 | 135.48平米 | 南 西 北 | 精装|低楼层(共10层)  2009年建板塔结合  -  |长阳|330万|单价24358元/平米
大兴|长阳|九洲溪雅苑 业主二次装修 南北大三居室|九洲溪雅苑二区| | 3室2厅 | 155平米 | 南 北 | 精装|低楼层(共14层)  2009年建板塔结合  -  |长阳|380万|单价24517元/平米
大兴|长阳|南北通透 精装三居室 高楼层 观景房|京投万科金域公园| | 3室1厅 | 96平米 | 南 北 | 其他|高楼层(共10层)  2015年建板塔结合  -  |长阳|300万|单价31250元/平米
大兴|长阳|首开熙悦山澜庭 小区中心全南向两居室 精装修随时签约|首开熙悦山澜庭| | 2室1厅 | 84平米 | 南 | 精装|中楼层(共28层)  2016年建板楼  -  |长阳|295万|单价35120元/平米
大兴|长阳|徜徉嘉园8号毛坯南北通透三居全明户型 房本满2年|徜徉嘉园8号院| | 3室2厅 | 139.76平米 | 南 北 | 其他|高楼层(共18层)  2014年建板楼  -  |长阳|550万|单价39354元/平米
大兴|长阳|稻田地铁站南北通透2居室，业主诚心出售|天泰新景家园| | 2室2厅 | 103平米 | 南 北 | 简装|高楼层(共6层)    -  |长阳|200万|单价19418元/平米
大兴|长阳|加州水郡西区 东西向 三居室 小区中心位置|加州水郡三期| | 3室2厅 | 137平米 | 东 西 | 其他|高楼层(共12层)  2009年建板塔结合  -  |长阳|290万|单价21168元/平米
大兴|长阳|金域缇香 南北大三居急售 万科精装 地铁房|金域缇香| | 3室2厅 | 115.23平米 | 南 北 | 精装|中楼层(共20层)  板楼  -  |长阳|380万|单价32978元/平米
大兴|长阳|中粮万科长阳半岛 全南两居 精装修 没住过|长阳半岛怡和路3号院| | 2室1厅 | 87.33平米 | 南 | 精装|中楼层(共18层)    -  |长阳|310万|单价35498元/平米
大兴|长阳|九洲溪雅苑 大三居 两厅两卫 南北通透 带装修小区中间|九洲溪雅苑二区| | 3室2厅 | 158平米 | 南 北 | 简装|中楼层(共14层)  2009年建板塔结合  -  |长阳|320万|单价20254元/平米
大兴|长阳|合景领峰 140平上跃 别墅区难得的安逸 有装修诚心出售|合景领峰| | 4室2厅 | 140平米 | 南 北 | 简装|低楼层(共4层)    -  |长阳|580万|单价41429元/平米
大兴|长阳|婚房精装修 家具家电全送 拎包入住|碧桂园小区二区| | 3室2厅 | 118平米 | 南 北 | 精装|高楼层(共6层)  2006年建板楼  -  |长阳|245万|单价20763元/平米
大兴|长阳|九州楼王位置三居精装修改地暖送全部全新实木家具家电|九洲溪雅苑一区| | 3室2厅 | 156.02平米 | 南 北 | 精装|高楼层(共14层)  2009年建板塔结合  -  |长阳|330万|单价21152元/平米
大兴|长阳|长阳半岛2号院 0室1厅 640万|长阳半岛2号院| | 0室1厅 | 116.8平米 | 南 北 | 其他|低楼层(共18层)  板塔结合  -  |长阳|640万|单价54795元/平米
大兴|长阳|芭蕾雨悦都北区 3室2厅 330万|芭蕾雨悦都北区| | 3室2厅 | 65平米 | 南 北 | 精装|低楼层(共9层)  2012年建板楼  -  |长阳|330万|单价50770元/平米
大兴|长阳|加州水郡三期 2室1厅 195万|加州水郡三期| | 2室1厅 | 88平米 | 东 | 其他|高楼层(共15层)  2009年建板塔结合  -  |长阳|195万|单价22160元/平米
大兴|长阳|长阳半岛2号院 1室0厅 23万|长阳半岛2号院| | 1室0厅 | 20平米 | 南 | 其他|地下室(共0层)  2012年建板塔结合  -  |长阳|23万|单价11500元/平米
大兴|长阳|长阳半岛2号院 1室0厅 23万|长阳半岛2号院| | 1室0厅 | 20平米 | 南 | 其他|地下室(共0层)  2012年建板塔结合  -  |长阳|23万|单价11500元/平米
大兴|长阳|碧桂园小区C区 2室1厅 240万|碧桂园小区C区| | 2室1厅 | 119平米 | 南 | 精装|低楼层(共16层)  2007年建板塔结合  -  |长阳|240万|单价20169元/平米
大兴|长阳|加州水郡三期 2室1厅 215万|加州水郡三期| | 2室1厅 | 86平米 | 南 北 | 精装|低楼层(共11层)  2009年建板塔结合  -  |长阳|215万|单价25000元/平米
大兴|长阳|加州水郡三期 全南开间 满两年 原值高 诚心出售|加州水郡三期| | 1室0厅 | 53.85平米 | 南 | 精装|中楼层(共14层)  2009年建板塔结合  -  |长阳|123万|单价22842元/平米
大兴|长阳|长阳半岛3号院东西向明厨明卫两居室满两年|长阳半岛3号院| | 2室2厅 | 88平米 | 东 西 | 其他|中楼层(共5层)  2012年建塔楼  -  |长阳|300万|单价34091元/平米
大兴|长阳|首创新悦都精装三居室东边户 地铁篱笆房站|首创新悦都| | 3室1厅 | 81平米 | 南 北 | 其他|低楼层(共9层)    -  |长阳|245万|单价30247元/平米
大兴|长阳|万科精装修 东南北三居室 近地铁|金域缇香| | 3室1厅 | 106平米 | 南 北 | 其他|低楼层(共18层)  板楼  -  |长阳|330万|单价31133元/平米
大兴|长阳|徜徉嘉园8号院 南北向三居室 精装修 送家电家具|徜徉嘉园8号院| | 3室2厅 | 137.9平米 | 南 北 | 其他|高楼层(共18层)  2014年建板楼  -  |长阳|540万|单价39159元/平米
大兴|长阳|长阳半岛3号院 3室1厅 360万|长阳半岛3号院| | 3室1厅 | 99.95平米 | 南 西 北 | 精装|中楼层(共18层)  2012年建塔楼  -  |长阳|360万|单价36019元/平米
大兴|长阳|原香小镇一区 2室1厅 280万|原香小镇一区| | 2室1厅 | 88.38平米 | 南 北 | 其他|低楼层(共10层)  2010年建板楼  -  |长阳|280万|单价31682元/平米
大兴|长阳|长阳半岛精装三居室 北京四中 北京小学 地铁长阳站出|长阳半岛怡和路3号院| | 3室1厅 | 100平米 | 南 西 北 | 精装|高楼层(共18层)    -  |长阳|365万|单价36500元/平米
大兴|长阳|加州Q酷，商住两用用房，40年产权，可注册公司|加州水郡Q酷| | 1室0厅 | 40平米 | 西 | 简装|中楼层(共14层)  2009年建板塔结合  -  |长阳|40万|单价10000元/平米
大兴|长阳|首创新悦都 一层带下跃 毛坯新房 有钥匙随时看房|首创新悦都| | 3室1厅 | 171平米 | 南 北 | 毛坯|低楼层(共9层)    -  |长阳|360万|单价21053元/平米
大兴|长阳|加州水郡Q酷 1室0厅 32万|加州水郡Q酷| | 1室0厅 | 28.15平米 | 南 | 精装|低楼层(共14层)  2009年建板塔结合  -  |长阳|32万|单价11368元/平米
大兴|长阳|首创新悦都 3室2厅 245万|首创新悦都| | 3室2厅 | 81平米 | 南 北 | 毛坯|中楼层(共9层)    -  |长阳|245万|单价30247元/平米
大兴|长阳|馨然嘉园一区 3室2厅 367万|馨然嘉园一区| | 3室2厅 | 120平米 | 南 北 | 其他|中楼层(共20层)  2012年建板塔结合  -  |长阳|367万|单价30584元/平米
大兴|长阳|铁建国际花园 南北通透 原值高 税费少 格局好 随时看|中国铁建国际花园| | 3室1厅 | 89平米 | 南 北 | 毛坯|中楼层(共18层)  2014年建板楼  -  |长阳|268万|单价30113元/平米
大兴|长阳|国际花园南北小三居，毛坯房，中间楼层，带产权车位|中国铁建国际花园| | 3室1厅 | 89.43平米 | 南 北 | 毛坯|中楼层(共18层)  2014年建板楼  -  |长阳|260万|单价29074元/平米
大兴|长阳|长龙苑小区 3室1厅 189万|长龙苑小区| | 3室1厅 | 98平米 | 南 北 | 简装|低楼层(共6层)  1999年建板楼  -  |长阳|189万|单价19286元/平米
大兴|长阳|加州水郡三期 客厅双卧朝南  可改三居户型  不临高速 |加州水郡三期| | 2室2厅 | 114.11平米 | 西南 | 精装|低楼层(共12层)  2009年建板塔结合  -  |长阳|230万|单价20156元/平米
大兴|长阳|中国铁建国际花园 南北通透 正规一居室|中国铁建国际花园| | 1室1厅 | 48.54平米 | 南 北 | 其他|低楼层(共14层)  2014年建板楼  -  |长阳|155万|单价31933元/平米
大兴|长阳|加州水郡四期南向正规一居室好楼层|加州水郡四期| | 1室1厅 | 63.89平米 | 南 | 精装|中楼层(共15层)  2011年建塔楼  -  |长阳|158万|单价24731元/平米
大兴|长阳|长阳国际城 精装南北通透三居室 看房方便|馨然嘉园三区| | 3室1厅 | 89平米 | 南 北 | 精装|中楼层(共15层)  2012年建板楼  -  |长阳|280万|单价31461元/平米
大兴|长阳|长阳半岛怡和路3号院 4室2厅 530万|长阳半岛怡和路3号院| | 4室2厅 | 140.1平米 | 南 北 | 精装|高楼层(共11层)    -  |长阳|530万|单价37831元/平米
大兴|长阳|首开熙悦山澜庭 南北通透两居室 距离地铁仅300米左右|首开熙悦山澜庭| | 2室1厅 | 73.77平米 | 南 北 | 精装|中楼层(共21层)  2016年建板楼  -  |长阳|245万|单价33212元/平米
大兴|长阳|首创新悦都 南北通透2居室 精装修 即买即住|首创新悦都| | 2室1厅 | 75平米 | 南 北 | 精装|低楼层(共18层)  塔楼  -  |长阳|220万|单价29334元/平米
大兴|长阳|首开熙悦双子座 东南向精装两居诚售|首开熙悦双子座| | 2室1厅 | 58平米 | 东 南 | 精装|低楼层(共24层)  2014年建板楼  -  |长阳|170万|单价29311元/平米
大兴|长阳|加州水郡四期 1室1厅 150万|加州水郡四期| | 1室1厅 | 58平米 | 西北 | 精装|中楼层(共11层)  2011年建板楼  -  |长阳|150万|单价25863元/平米
