海淀|安宁庄|阳光北里 免税 海淀实验二小学 楼龄新 靠谱签约|阳光北里| | 3室1厅 | 85.5平米 | 西 南 | 简装|高楼层(共18层)  1999年建塔楼  -  |安宁庄|450万|单价52632元/平米
海淀|定慧寺|名仕花园送花园，精装修2居室，两套房子，一起卖。|名仕花园| | 2室2厅 | 165.54平米 | 南 北 | 简装|低楼层(共3层)  1998年建板楼  -  |定慧寺|1350万|单价81552元/平米
海淀|定慧寺|名仕花园大两居，一层带花园，南北通透|名仕花园| | 2室1厅 | 165.54平米 | 南 北 | 其他|低楼层(共3层)  1998年建板楼  -  |定慧寺|1350万|单价81552元/平米
海淀|定慧寺|定慧福里不限购 精装修 业主诚意出售！|定慧福里| | 1室0厅 | 50平米 | 西 | 精装|中楼层(共19层)  2009年建塔楼  -  |定慧寺|180万|单价36000元/平米
海淀|定慧寺|定慧东里中化物业 经典户型带电梯|定慧东里| | 2室1厅 | 66.3平米 | 西 北 | 精装|低楼层(共16层)  1990年建塔楼  -  |定慧寺|390万|单价58824元/平米
海淀|定慧寺|定慧福里底商 周边配套成熟 业主诚心出售|定慧福里| | 3室0厅 | 170平米 | 南 北 | 简装|低楼层(共18层)  2009年建板塔结合  -  |定慧寺|2200万|单价129412元/平米
海淀|定慧寺|亮甲店，正规两居，近地铁，诚意出售，家乐福对面|亮甲店小区| | 2室1厅 | 91平米 | 东 西 | 简装|高楼层(共7层)  1998年建板楼  -  |定慧寺|500万|单价54946元/平米
海淀|定慧寺|定慧福里 西南向 大开间 可注册办公|定慧福里| | 2室1厅 | 94.75平米 | 西南 | 简装|高楼层(共19层)  2009年建塔楼  -  |定慧寺|380万|单价40106元/平米
海淀|定慧寺|海淀实验学区核二院小区南北通透有名额|核二院| | 2室1厅 | 67平米 | 南 北 | 简装|低楼层(共5层)  1998年建板楼  -  |定慧寺|514万|单价76717元/平米
海淀|定慧寺|东向一居室 采光好 楼层好 配套全|定慧西里| | 1室1厅 | 39平米 | 东 西 | 简装|低楼层(共6层)  1990年建板楼  -  |定慧寺|240万|单价61539元/平米
海淀|定慧寺|定慧福里正规一居   诚意出售|定慧福里| | 1室1厅 | 65.8平米 | 西 | 精装|中楼层(共18层)  2009年建板塔结合  -  |定慧寺|335万|单价50912元/平米
海淀|定慧寺|定慧东里 稀缺户型 黄金楼层 户型好|定慧东里| | 2室1厅 | 66.3平米 | 西 北 | 简装|高楼层(共16层)  1990年建塔楼  -  |定慧寺|350万|单价52791元/平米
海淀|定慧寺|定慧福里精装修 不限购 距离地铁300米！|定慧福里| | 1室0厅 | 49.61平米 | 西 | 精装|中楼层(共19层)  2009年建塔楼  -  |定慧寺|192万|单价38702元/平米
海淀|定慧寺|业主诚心出售，南边就是21世纪私立学校|恩济庄46号院| | 4室1厅 | 117平米 | 西 北 | 精装|低楼层(共14层)  1995年建塔楼  -  |定慧寺|560万|单价47864元/平米
海淀|定慧寺|恩济庄96号院 南北通透四居 送阁楼|恩济庄96号院| | 4室1厅 | 120平米 | 南 北 | 简装|高楼层(共6层)  1998年建板楼  -  |定慧寺|780万|单价65000元/平米
海淀|定慧寺|定慧福里，开间一居，诚意出售，无遮挡，配套齐|定慧福里| | 1室0厅 | 48.77平米 | 西 | 简装|高楼层(共19层)  2009年建塔楼  -  |定慧寺|185万|单价37934元/平米
海淀|定慧寺|玲珑天地精装两居室 不限购 地铁房 诚心出售|定慧福里| | 1室1厅 | 65.8平米 | 西 | 简装|中楼层(共18层)  2009年建板塔结合  -  |定慧寺|330万|单价50152元/平米
海淀|定慧寺|南向一居室 采光好 格局合理 带电梯 配套全|定慧西里| | 1室1厅 | 51.3平米 | 南 | 简装|中楼层(共16层)  1990年建塔楼  -  |定慧寺|305万|单价59455元/平米
海淀|定慧寺|定慧福里 1室1厅 342万|定慧福里| | 1室1厅 | 57平米 | 南 | 精装|中楼层(共18层)  2009年建板塔结合  -  |定慧寺|342万|单价60000元/平米
海淀|定慧寺|实验学区 南北两居 满五唯一 业主诚售|岭南路26号院| | 2室1厅 | 59.7平米 | 南 北 | 简装|高楼层(共6层)  1982年建板楼  -  |定慧寺|540万|单价90453元/平米
海淀|定慧寺|八宝庄东向一居室，采光好，管理棒，诚意出售|八宝庄| | 1室1厅 | 46.3平米 | 东 | 其他|中楼层(共16层)  1990年建塔楼  -  |定慧寺|260万|单价56156元/平米
海淀|定慧寺|定慧福里，商住，精装开间，民水民电，近地铁，近地铁|定慧福里| | 1室0厅 | 50平米 | 西 | 其他|低楼层(共19层)  2009年建塔楼  -  |定慧寺|188万|单价37600元/平米
海淀|定慧寺|定慧福里 不限购 北向正规大开间|定慧福里| | 1室0厅 | 64.28平米 | 北 | 简装|中楼层(共19层)  2009年建塔楼  -  |定慧寺|210万|单价32670元/平米
海淀|定慧寺|定慧福里 不限购 朝西向 紧邻地铁！|定慧福里| | 1室0厅 | 50平米 | 西 | 简装|低楼层(共19层)  2009年建塔楼  -  |定慧寺|230万|单价46000元/平米
海淀|定慧寺|玲珑天地 商住两用 不限购 楼下是海淀五路居站|玲珑天地| | 1室0厅 | 56.7平米 | 北 | 精装|中楼层(共12层)  2012年建塔楼  -  |定慧寺|310万|单价54674元/平米
海淀|定慧寺|定慧福里朝东向一居 正对小区花园 |定慧福里| | 1室0厅 | 60平米 | 东 | 其他|中楼层(共19层)  2009年建塔楼  -  |定慧寺|265万|单价44167元/平米
海淀|定慧寺|定慧福里 朝东向一居室 正对小区中间 商住两用可注册|定慧福里| | 1室0厅 | 52平米 | 东 | 精装|高楼层(共19层)  2009年建塔楼  -  |定慧寺|240万|单价46154元/平米
海淀|定慧寺|定慧福里朝东向一居室 紧邻地铁300米！|定慧福里| | 1室0厅 | 52平米 | 东 | 简装|中楼层(共19层)  2009年建塔楼  -  |定慧寺|200万|单价38462元/平米
海淀|定慧寺|五路居地铁旁 民水民电 不限购！|定慧福里| | 1室0厅 | 50.2平米 | 北 | 精装|低楼层(共19层)  2009年建塔楼  -  |定慧寺|180万|单价35857元/平米
海淀|定慧寺|八宝庄 2室1厅 400万|八宝庄| | 2室1厅 | 71平米 | 南 北 | 简装|高楼层(共6层)  1990年建板楼  -  |定慧寺|400万|单价56339元/平米
海淀|定慧寺|定慧寺定慧福里 临近地铁6号线 商住两用不限购 |定慧福里| | 1室0厅 | 64平米 | 北 | 其他|高楼层(共19层)  2009年建塔楼  -  |定慧寺|260万|单价40625元/平米
海淀|定慧寺|定慧西里 3室1厅 490万|定慧西里| | 3室1厅 | 81.6平米 | 东 南 北 | 简装|低楼层(共16层)  1990年建塔楼  -  |定慧寺|490万|单价60050元/平米
海淀|定慧寺|定慧福里精装修一居室出售距离地铁300米！|定慧福里| | 1室0厅 | 48.77平米 | 西 | 精装|中楼层(共19层)  2009年建塔楼  -  |定慧寺|195万|单价39984元/平米
海淀|定慧寺|定慧福里商住两用 大开间 民水民电 业主诚心出售|定慧福里| | 1室0厅 | 51.35平米 | 东 | 其他|中楼层(共19层)  2009年建塔楼  -  |定慧寺|220万|单价42844元/平米
海淀|定慧寺|定慧福里 1室0厅 206万|定慧福里| | 1室0厅 | 52平米 | 东 | 精装|中楼层(共19层)  2009年建塔楼  -  |定慧寺|206万|单价39616元/平米
海淀|定慧寺|定慧福里 南北通透两居 不临街 精装修 诚意售|定慧福里| | 2室1厅 | 97.88平米 | 南 北 | 精装|低楼层(共17层)  2009年建板塔结合  -  |定慧寺|720万|单价73560元/平米
海淀|定慧寺|八里庄北里全南向3居室，带电梯，可上八里庄小学|八里庄北里| | 3室2厅 | 104.6平米 | 南 | 简装|低楼层(共16层)  1998年建塔楼  -  |定慧寺|825万|单价78872元/平米
海淀|定慧寺|西四环内 一居改两居 超大使用面积 邻近地铁|亮甲店小区| | 2室1厅 | 58.5平米 | 南 | 简装|高楼层(共7层)  1998年建板楼  -  |定慧寺|360万|单价61539元/平米
海淀|定慧寺|临地铁 房型好 南北通透 无税 业主诚意出售|永安东里| | 3室2厅 | 120平米 | 南 北 | 其他|高楼层(共6层)  1998年建板楼  -  |定慧寺|840万|单价70000元/平米
海淀|定慧寺|南向大一居  带一个产权车位 商品房社区|北京印象| | 1室1厅 | 85.5平米 | 南 | 其他|高楼层(共11层)  2003年建板塔结合  -  |定慧寺|600万|单价70176元/平米
海淀|定慧寺|八宝庄 经典一居 房屋满五年唯一 婚房首选|八宝庄| | 1室1厅 | 42平米 | 南 北 | 简装|中楼层(共6层)  1990年建板楼  -  |定慧寺|265万|单价63096元/平米
海淀|定慧寺|定慧福里商住两用不限购可注册办公房源|定慧福里| | 1室0厅 | 49.6平米 | 西 | 简装|高楼层(共19层)  2009年建塔楼  -  |定慧寺|210万|单价42339元/平米
海淀|定慧寺|北京印象正规居室，人车分流，业主随时配合签约|北京印象| | 2室2厅 | 158.36平米 | 东南 西 | 精装|高楼层(共15层)  2003年建板塔结合  -  |定慧寺|910万|单价57465元/平米
海淀|定慧寺|北京印象 小户型 低总价 带南窗 随时签约！|北京印象| | 1室1厅 | 61.71平米 | 南 西 | 简装|低楼层(共15层)  2003年建板塔结合  -  |定慧寺|290万|单价46995元/平米
海淀|定慧寺|航天桥首师大院内  海淀实验小学低总价两居室|西三环北路105号院| | 2室1厅 | 41.1平米 | 南 | 精装|中楼层(共4层)  1965年建板楼  -  |定慧寺|390万|单价94891元/平米
海淀|定慧寺|玲珑天地 楼下地铁站 商住两用 可办公注册居家|玲珑天地| | 2室1厅 | 81.8平米 | 东 | 精装|高楼层(共12层)  2012年建塔楼  -  |定慧寺|350万|单价42788元/平米
海淀|定慧寺|定慧福里 1室0厅 200万|定慧福里| | 1室0厅 | 50平米 | 西 | 精装|中楼层(共19层)  2009年建塔楼  -  |定慧寺|200万|单价40000元/平米
海淀|定慧寺|玲珑天地 1室0厅 250万|玲珑天地| | 1室0厅 | 43平米 | 北 | 精装|中楼层(共12层)  2012年建塔楼  -  |定慧寺|250万|单价58140元/平米
海淀|定慧寺|四环内地铁五路居 不限购 位置好  朝东开间诚意出售|定慧福里| | 1室0厅 | 60.1平米 | 东 | 其他|中楼层(共19层)  2009年建塔楼  -  |定慧寺|290万|单价48253元/平米
海淀|定慧寺|八里庄北里 1室1厅 370万|八里庄北里| | 1室1厅 | 50.1平米 | 南 | 其他|高楼层(共12层)  1996年建板塔结合  -  |定慧寺|370万|单价73853元/平米
海淀|定慧寺|玲珑天地 1室0厅 215万|玲珑天地| | 1室0厅 | 43.91平米 | 北 | 其他|高楼层(共12层)  2012年建塔楼  -  |定慧寺|215万|单价48964元/平米
海淀|定慧寺|首师大院内南向两居室  黄金楼层  海淀实验本部学区|西三环北路105号院| | 2室1厅 | 80.4平米 | 南 北 | 精装|高楼层(共18层)  1991年建塔楼  -  |定慧寺|804万|单价100000元/平米
海淀|定慧寺|八宝庄 1室1厅 240万|八宝庄| | 1室1厅 | 38.8平米 | 南 北 | 其他|低楼层(共5层)  1990年建板楼  -  |定慧寺|240万|单价61856元/平米
海淀|定慧寺|玲珑天地 1室0厅 220万|玲珑天地| | 1室0厅 | 44平米 | 北 | 其他|中楼层(共12层)  2012年建塔楼  -  |定慧寺|220万|单价50000元/平米
海淀|定慧寺|玲珑天地 1室0厅 230万|玲珑天地| | 1室0厅 | 44平米 | 北 | 其他|中楼层(共12层)  2012年建塔楼  -  |定慧寺|230万|单价52273元/平米
海淀|定慧寺|定慧北里 2室1厅 385万|定慧北里| | 2室1厅 | 62.8平米 | 南 | 其他|高楼层(共6层)  1996年建板楼  -  |定慧寺|385万|单价61306元/平米
海淀|定慧寺|能上八里庄小学 靠近玲珑公园 东西通透送装修 免税房|八里庄北里| | 2室1厅 | 56平米 | 东 西 | 精装|中楼层(共6层)  1994年建板楼  -  |定慧寺|420万|单价75000元/平米
海淀|定慧寺|首师大院内二居半户型，南北通透，满五唯一|西三环北路105号院| | 2室1厅 | 56.4平米 | 南 北 | 简装|高楼层(共5层)  1981年建板楼  -  |定慧寺|525万|单价93086元/平米
海淀|定慧寺|亮甲店小区 1室1厅 350万|亮甲店小区| | 1室1厅 | 52平米 | 南 | 其他|中楼层(共7层)  1998年建板楼  -  |定慧寺|350万|单价67308元/平米
海淀|定慧寺|定慧寺南北通透两居室 客厅带窗户 独院管理|定慧北里| | 2室1厅 | 62.8平米 | 南 北 | 其他|高楼层(共6层)  1996年建板楼  -  |定慧寺|385万|单价61306元/平米
海淀|定慧寺|可上八里庄小学总价低一居室近慈寿寺地铁6号10号线|八里庄北里| | 1室1厅 | 43平米 | 南 | 简装|高楼层(共6层)  1997年建板楼  -  |定慧寺|290万|单价67442元/平米
海淀|定慧寺|北京印象经典一居室全南朝向无遮挡低总价|北京印象| | 1室1厅 | 86平米 | 南 | 精装|高楼层(共11层)  2003年建板塔结合  -  |定慧寺|570万|单价66280元/平米
海淀|定慧寺|定慧寺 北京印象 德国设计 园林小区 安享惬意生活|北京印象| | 1室0厅 | 50平米 | 东 | 精装|高楼层(共12层)  2003年建板塔结合  -  |定慧寺|325万|单价65000元/平米
海淀|定慧寺|双卧朝南，带电梯，不临街不吵，户型好|定慧西里| | 2室1厅 | 71.8平米 | 南 | 简装|中楼层(共16层)  1991年建塔楼  -  |定慧寺|420万|单价58496元/平米
海淀|定慧寺|四环内09年商品房社区不限购一居 户型方正无需资质|定慧福里| | 1室1厅 | 51.5平米 | 东 | 精装|低楼层(共19层)  2009年建塔楼  -  |定慧寺|200万|单价38835元/平米
海淀|定慧寺|定慧寺 精装三居室  诚意出售 双卧朝南 全明格局|定慧东里| | 3室1厅 | 69平米 | 东 南 西 北 | 精装|高楼层(共6层)  1990年建板楼  -  |定慧寺|450万|单价65218元/平米
海淀|定慧寺|定慧东里 2室1厅 390万|定慧东里| | 2室1厅 | 58.13平米 | 南 北 | 其他|高楼层(共5层)  1990年建板楼  -  |定慧寺|390万|单价67092元/平米
海淀|定慧寺|亮甲店，精装两居，诚意出售，近地铁，配套齐|亮甲店小区| | 2室1厅 | 62.5平米 | 东 西 | 精装|中楼层(共7层)  1998年建板楼  -  |定慧寺|360万|单价57600元/平米
海淀|定慧寺|定慧寺 北京印象 德国设计 园林风格 生活惬意悠闲|北京印象| | 1室0厅 | 150平米 | 东南 西 | 精装|高楼层(共12层)  2003年建板塔结合  -  |定慧寺|975万|单价65000元/平米
海淀|定慧寺|四环内 邻地铁 不限购 能注册 民水民电 位置好|定慧福里| | 1室0厅 | 52平米 | 东 | 其他|低楼层(共19层)  2009年建塔楼  -  |定慧寺|234万|单价45000元/平米
海淀|定慧寺|定慧西里 南向一居 带电梯采光好格局正 出行便利 |定慧西里| | 1室1厅 | 51.3平米 | 东南 | 简装|低楼层(共16层)  1990年建塔楼  -  |定慧寺|320万|单价62379元/平米
海淀|定慧寺|学区房 八里庄北里小区 正规一居室|八里庄北里| | 1室1厅 | 40.2平米 | 南 | 简装|中楼层(共6层)  1995年建板楼  -  |定慧寺|300万|单价74627元/平米
海淀|定慧寺|八里庄北里   朝南一居室   黄金楼层   学区房|八里庄北里| | 1室1厅 | 44平米 | 南 | 简装|中楼层(共6层)  1994年建板楼  -  |定慧寺|320万|单价72728元/平米
海淀|定慧寺|二期通透三居 可观昆玉河水景 户型270度观景|西钓鱼台嘉园| | 3室2厅 | 221平米 | 东南 | 精装|中楼层(共17层)  2008年建板塔结合  -  |定慧寺|1600万|单价72399元/平米
海淀|定慧寺|定慧福里超东向 正对小区花园 诚意出售！|定慧福里| | 1室0厅 | 52平米 | 东 | 简装|低楼层(共19层)  2009年建塔楼  -  |定慧寺|220万|单价42308元/平米
海淀|定慧寺|定慧福里，商住两用，不限购，民水民电，正对小区花园|定慧福里| | 1室0厅 | 52平米 | 东 | 精装|中楼层(共19层)  2009年建塔楼  -  |定慧寺|205万|单价39424元/平米
海淀|定慧寺|亮甲店小区 1室1厅 280万|亮甲店小区| | 1室1厅 | 51平米 | 东 西 | 精装|高楼层(共7层)  1998年建板楼  -  |定慧寺|280万|单价54902元/平米
海淀|定慧寺|定慧福里 2室1厅 380万|定慧福里| | 2室1厅 | 93.29平米 | 西南 | 其他|高楼层(共19层)  2009年建塔楼  -  |定慧寺|380万|单价40734元/平米
海淀|定慧寺|恩济庄82号院 2室1厅 520万|恩济庄82号院| | 2室1厅 | 91.74平米 | 西北 | 其他|高楼层(共6层)  1996年建板楼  -  |定慧寺|520万|单价56682元/平米
海淀|定慧寺|定慧寺八宝庄 西钓鱼台地铁口高层带电梯低总价一居室|八宝庄| | 1室1厅 | 45.2平米 | 东 | 简装|高楼层(共16层)  1990年建塔楼  -  |定慧寺|255万|单价56416元/平米
海淀|定慧寺|八里庄北里西向一居，高楼层电梯直达，管理好出行方便|八里庄北里| | 1室1厅 | 45平米 | 西 | 简装|高楼层(共12层)  1996年建板塔结合  -  |定慧寺|315万|单价70000元/平米
海淀|定慧寺|定慧福里，不限购，精装东向，正对花园，无遮挡，|定慧福里| | 1室1厅 | 52平米 | 东 | 精装|中楼层(共19层)  2009年建塔楼  -  |定慧寺|205万|单价39424元/平米
海淀|定慧寺|精装正规一居不临街，无噪音，无遮挡，商住，民水民电|定慧福里| | 1室1厅 | 82.3平米 | 南 | 精装|低楼层(共19层)  2009年建塔楼  -  |定慧寺|360万|单价43743元/平米
海淀|定慧寺|定慧福里 1室0厅 210万|定慧福里| | 1室0厅 | 52平米 | 东 | 其他|高楼层(共19层)  2009年建塔楼  -  |定慧寺|210万|单价40385元/平米
海淀|定慧寺|定慧福里 1室1厅 234万|定慧福里| | 1室1厅 | 52平米 | 东 | 其他|低楼层(共19层)  2009年建塔楼  -  |定慧寺|234万|单价45000元/平米
海淀|定慧寺|五路居地铁口150米 人大附小亮甲校区  住宅半地下二居|亮甲店小区| | 2室1厅 | 59平米 | 南 北 | 简装|地下室(共7层)  1998年建板楼  -  |定慧寺|187万|单价31695元/平米
海淀|定慧寺|双卧室朝南两居室，视野好，黄金楼层|定慧西里| | 2室1厅 | 57平米 | 南 | 精装|中楼层(共14层)  1997年建板楼  -  |定慧寺|350万|单价61404元/平米
海淀|定慧寺|定慧福里不限购 民水民电 距离地铁300米！|定慧福里| | 1室1厅 | 50平米 | 西 | 其他|高楼层(共19层)  2009年建塔楼  -  |定慧寺|175万|单价35000元/平米
海淀|定慧寺|不限购 临近地铁 精装修 有电梯 管理好|玲珑天地| | 2室1厅 | 90平米 | 西南 | 精装|低楼层(共12层)  2012年建塔楼  -  |定慧寺|432万|单价48000元/平米
海淀|定慧寺|定慧福里商住两用可注册办公业主诚售|定慧福里| | 1室1厅 | 50平米 | 西 | 简装|中楼层(共19层)  2009年建塔楼  -  |定慧寺|170万|单价34000元/平米
海淀|定慧寺|定慧福里商住两用不限购地铁房业主诚售|定慧福里| | 1室0厅 | 50.19平米 | 北 | 简装|高楼层(共19层)  2009年建塔楼  -  |定慧寺|190万|单价37857元/平米
海淀|定慧寺|玲珑天地朝南向 正对小区花园 紧邻地铁！|玲珑天地| | 1室1厅 | 90.7平米 | 南 | 其他|低楼层(共12层)  2012年建塔楼  -  |定慧寺|441万|单价48622元/平米
海淀|定慧寺|定慧福里商住两用不限购可注册办公业主诚售|定慧福里| | 2室1厅 | 85.28平米 | 西北 | 简装|中楼层(共19层)  2009年建塔楼  -  |定慧寺|295万|单价34592元/平米
海淀|定慧寺|名仕花园带车库 复式送装修的房子 有24小时保安|名仕花园| | 5室2厅 | 275.29平米 | 南 北 | 精装|低楼层(共3层)  1998年建板楼  -  |定慧寺|2200万|单价79916元/平米
海淀|定慧寺|永安东里 仓储性质 总价低 可以居住 可以当仓库|永安东里| | 3室1厅 | 72平米 | 东 西 | 其他|地下室(共5层)  1998年建板楼  -  |定慧寺|100万|单价13889元/平米
海淀|定慧寺|定慧西里 南北通透 紧邻地铁 有学区|定慧西里| | 2室1厅 | 64.7平米 | 东 南 北 | 简装|高楼层(共13层)  1990年建板塔结合  -  |定慧寺|355万|单价54869元/平米
海淀|定慧寺|联排别墅商品房三居室，南北通透低楼层带花园|名仕花园| | 3室1厅 | 165.54平米 | 南 北 | 毛坯|低楼层(共3层)  1998年建板楼  -  |定慧寺|1500万|单价90613元/平米
海淀|定慧寺|恩济庄46号院 西南金角一居 精装修 |恩济庄46号院| | 1室1厅 | 55平米 | 西南 | 简装|中楼层(共14层)  1995年建塔楼  -  |定慧寺|330万|单价60000元/平米
海淀|定慧寺|定慧寺永安东里半地下出售近地铁|永安东里| | 3室1厅 | 77平米 | 北 | 其他|地下室(共5层)  1998年建板楼  -  |定慧寺|200万|单价25975元/平米
海淀|定慧寺|定慧福里 东西全明格局  两居室|定慧福里| | 2室1厅 | 90平米 | 东 西 | 其他|低楼层(共18层)  2009年建板塔结合  -  |定慧寺|540万|单价60000元/平米
海淀|定慧寺|定慧西里 塔楼带电梯 南向大一居 业主诚心出售|定慧西里| | 1室1厅 | 51.3平米 | 南 | 其他|低楼层(共16层)  1991年建塔楼  -  |定慧寺|330万|单价64328元/平米
海淀|定慧寺|定慧寺 南北通透二居室 诚意出售 可签约|八宝庄| | 2室1厅 | 74平米 | 南 | 简装|地下室(共6层)  1994年建板楼  -  |定慧寺|239万|单价32298元/平米
海淀|定慧寺|定慧福里 不限购 西四环内次新房 |定慧福里| | 1室0厅 | 50.19平米 | 北 | 简装|低楼层(共19层)  2009年建塔楼  -  |定慧寺|200万|单价39849元/平米
海淀|定慧寺|定慧福里 四环内次新房 人大附小学区|定慧福里| | 2室1厅 | 74平米 | 东 西 | 简装|中楼层(共18层)  2009年建板塔结合  -  |定慧寺|430万|单价58109元/平米
海淀|定慧寺|定慧福里商住两用开间，民水民电注册公司|定慧福里| | 1室0厅 | 52平米 | 东 | 精装|中楼层(共19层)  2009年建塔楼  -  |定慧寺|248万|单价47693元/平米
海淀|定慧寺|定慧福里 民水民电 不限购  大开间朝西向|定慧福里| | 1室0厅 | 49.61平米 | 西 | 其他|低楼层(共19层)  2009年建塔楼  -  |定慧寺|180万|单价36284元/平米
海淀|定慧寺|安装宿舍 6号线五路居地铁300米，70年住宅低总价一居|安装宿舍| | 1室1厅 | 37.7平米 | 西 北 | 简装|地下室(共6层)  1991年建板楼  -  |定慧寺|150万|单价39788元/平米
海淀|定慧寺|定慧福里高层观景 朝南一居 民水民电商住两用 近地铁|定慧福里| | 1室0厅 | 51.5平米 | 东 | 精装|中楼层(共19层)  2009年建塔楼  -  |定慧寺|220万|单价42719元/平米
海淀|定慧寺|定慧福里地铁六号线五路居两居室南北通透|定慧福里| | 2室1厅 | 76.6平米 | 南 北 | 其他|高楼层(共18层)  2009年建板塔结合  -  |定慧寺|480万|单价62664元/平米
海淀|定慧寺|定慧福里不限购 商住两用 能注册 民水民电|定慧福里| | 1室0厅 | 50平米 | 西 | 简装|低楼层(共19层)  2009年建塔楼  -  |定慧寺|200万|单价40000元/平米
海淀|定慧寺|玲珑天地，北向开间，诚意出售，精装修，近地铁，|玲珑天地| | 1室0厅 | 43平米 | 北 | 精装|中楼层(共12层)  2012年建塔楼  -  |定慧寺|250万|单价58140元/平米
海淀|定慧寺|定慧福里商住两用 可注册办公 民水民电不限购|定慧福里| | 1室0厅 | 50平米 | 西 | 简装|低楼层(共19层)  2009年建塔楼  -  |定慧寺|200万|单价40000元/平米
海淀|定慧寺|五路居，玲珑天地，精装开间，近地铁，诚意出售。|玲珑天地| | 1室1厅 | 44平米 | 西 | 其他|高楼层(共12层)  2012年建塔楼  -  |定慧寺|190万|单价43182元/平米
海淀|定慧寺|定慧北里 南向一居室 低楼层 采光棒|定慧北里| | 1室1厅 | 51.39平米 | 南 | 简装|低楼层(共6层)  1996年建板楼  -  |定慧寺|310万|单价60324元/平米
海淀|定慧寺|八里庄北里 朝东一居室 直升首师大附中|八里庄北里| | 1室1厅 | 44平米 | 东 西 | 简装|高楼层(共6层)  1996年建板楼  -  |定慧寺|290万|单价65910元/平米
海淀|定慧寺|规划委双卧室朝南两居室 低楼层 南北通透 免税|定慧北里| | 2室1厅 | 86.15平米 | 南 北 | 简装|低楼层(共6层)  1996年建板楼  -  |定慧寺|610万|单价70807元/平米
海淀|定慧寺|定慧福里 1室0厅 195万|定慧福里| | 1室0厅 | 52平米 | 东 | 其他|高楼层(共19层)  2009年建塔楼  -  |定慧寺|195万|单价37500元/平米
海淀|定慧寺|定慧福里 1室0厅 300万|定慧福里| | 1室0厅 | 53.99平米 | 南 | 精装|低楼层(共19层)  2009年建塔楼  -  |定慧寺|300万|单价55566元/平米
海淀|定慧寺|定慧福里 1室0厅 220万|定慧福里| | 1室0厅 | 48.86平米 | 东 | 精装|高楼层(共19层)  2009年建塔楼  -  |定慧寺|220万|单价45027元/平米
海淀|定慧寺|定慧福里 1室1厅 196万|定慧福里| | 1室1厅 | 49.61平米 | 西 | 其他|中楼层(共19层)  2009年建塔楼  -  |定慧寺|196万|单价39509元/平米
海淀|定慧寺|定慧福里 1室1厅 196万|定慧福里| | 1室1厅 | 49.61平米 | 西 | 其他|中楼层(共19层)  2009年建塔楼  -  |定慧寺|196万|单价39509元/平米
海淀|定慧寺|定慧福里 1室1厅 220万|定慧福里| | 1室1厅 | 49.61平米 | 西 | 其他|中楼层(共19层)  2009年建塔楼  -  |定慧寺|220万|单价44346元/平米
海淀|定慧寺|定慧福里 1室0厅 245万|定慧福里| | 1室0厅 | 49平米 | 西 | 精装|高楼层(共19层)  2009年建塔楼  -  |定慧寺|245万|单价50000元/平米
海淀|定慧寺|定慧福里 1室1厅 245万|定慧福里| | 1室1厅 | 49平米 | 西 | 精装|高楼层(共19层)  2009年建塔楼  -  |定慧寺|245万|单价50000元/平米
海淀|定慧寺|定慧福里 1室0厅 245万|定慧福里| | 1室0厅 | 49平米 | 西 | 精装|高楼层(共19层)  2009年建塔楼  -  |定慧寺|245万|单价50000元/平米
海淀|定慧寺|恩济里小区 1室1厅 300万|恩济里小区| | 1室1厅 | 48.66平米 | 南 | 简装|高楼层(共15层)  1995年建板塔结合  -  |定慧寺|300万|单价61653元/平米
海淀|二里庄|志新村   板楼   中间层   南北通透|志新村| | 2室1厅 | 60.52平米 | 南 北 | 简装|中楼层(共6层)  1994年建板楼  -  |二里庄|484万|单价79974元/平米
海淀|二里庄|志新村  南北板楼两居室  挂边窗  石油附小学区|志新村| | 2室1厅 | 59.57平米 | 南 北 | 精装|高楼层(共6层)  1994年建板楼  -  |二里庄|460万|单价77221元/平米
海淀|二里庄|二里庄小区 中间层一居  石油附小学区|二里庄小区| | 1室1厅 | 49.2平米 | 东北 | 简装|中楼层(共6层)  1993年建板楼  -  |二里庄|340万|单价69106元/平米
海淀|二里庄|志新村东南两居 低楼层 石油附小学区房|志新村| | 2室1厅 | 60.2平米 | 东南 | 简装|低楼层(共18层)  1992年建塔楼  -  |二里庄|450万|单价74751元/平米
海淀|二里庄|北京科技大学院内 2居室 满五年唯一 中间楼层|科技大学| | 2室1厅 | 49.5平米 | 南 | 其他|中楼层(共4层)  1988年建板楼  -  |二里庄|370万|单价74748元/平米
海淀|二里庄|石油附小学区  中间位置  南向无遮挡  景观房 满5唯一|健翔园| | 4室2厅 | 169平米 | 南 西 | 精装|中楼层(共24层)  1999年建塔楼  -  |二里庄|998万|单价59054元/平米
海淀|二里庄|牡丹园 志新北里 独立大客厅 物业管理好 塔楼带电梯|志新北里| | 2室1厅 | 79.8平米 | 东 | 精装|低楼层(共15层)  1998年建板塔结合  -  |二里庄|500万|单价62657元/平米
海淀|二里庄|二里庄 健翔园  石油附小   满五年唯一|健翔园| | 3室2厅 | 142.52平米 | 东 南 | 简装|中楼层(共24层)  1999年建塔楼  -  |二里庄|935万|单价65605元/平米
海淀|二里庄|志新东路南北通透两居 免税 中间层 看房方便|志新东路甲8号| | 2室1厅 | 65.32平米 | 南 北 | 简装|高楼层(共6层)  1991年建板楼  -  |二里庄|410万|单价62768元/平米
