门头沟|滨河西区|滨河承泽苑   满五唯一  黄金地段|承泽苑| | 3室1厅 | 96.88平米 | 南 北 | 精装|低楼层(共6层)  2000年建板楼  -  |滨河西区|292万|单价30141元/平米
门头沟|城子|采光充足 满五唯一 低总价 低首付 |三家店西宁路| | 2室0厅 | 51平米 | 南 | 其他|中楼层(共5层)  1982年建板楼  -  |城子|100万|单价19608元/平米
门头沟|城子|三家店新建路 两居室 南北通透 满五|三家店西宁路| | 2室1厅 | 58.48平米 | 南 北 | 简装|中楼层(共6层)  1988年建板楼  -  |城子|120万|单价20520元/平米
门头沟|城子|阁外山水 精装一居 85万原值 东西通透|阁外山水| | 1室1厅 | 49.21平米 | 东 西 | 精装|中楼层(共12层)  2003年建板楼  -  |城子|135万|单价27434元/平米
门头沟|城子|绿岛家园 4室2厅 360万|绿岛家园| | 4室2厅 | 148.14平米 | 南 北 | 其他|高楼层(共6层)  2006年建板楼  -  |城子|360万|单价24302元/平米
门头沟|城子|满五唯一，后期费用低，南北通透。|绿岛家园| | 2室1厅 | 80.76平米 | 南 北 | 简装|高楼层(共6层)  2003年建板楼  -  |城子|220万|单价27242元/平米
门头沟|城子|三家店新建路   南北两居   满五唯一|三家店新建路| | 2室1厅 | 66平米 | 南 北 | 其他|高楼层(共6层)  1989年建板楼  -  |城子|120万|单价18182元/平米
门头沟|城子|阁外山水 3室1厅 334万|阁外山水| | 3室1厅 | 119.37平米 | 南 北 | 精装|高楼层(共12层)  2003年建板楼  -  |城子|334万|单价27981元/平米
门头沟|城子|桥东街小区小两居，位置好。南北通透格局好。|桥东街小区| | 2室1厅 | 59.75平米 | 南 北 | 其他|高楼层(共6层)  1992年建板楼  -  |城子|150万|单价25105元/平米
门头沟|城子|新河路小区 精装修两居室 南北通透 户型好 总价低|三家店新河路| | 2室0厅 | 56.21平米 | 南 北 | 精装|中楼层(共5层)  1980年建板楼  -  |城子|115万|单价20459元/平米
门头沟|城子|向阳楼两居南北通透总价低 已购公房 后期费用低|向阳楼| | 2室1厅 | 49.9平米 | 南 北 | 简装|高楼层(共5层)  1982年建板楼  -  |城子|121万|单价24249元/平米
门头沟|城子|向东楼两室一厅南北通透明厨明卫。|向东楼小区| | 2室1厅 | 88.74平米 | 南 北 | 简装|高楼层(共6层)  1982年建板楼  -  |城子|165万|单价18594元/平米
门头沟|城子|绿岛家园 4室1厅 370万|绿岛家园| | 4室1厅 | 163平米 | 南 北 | 其他|高楼层(共6层)  2006年建板楼  -  |城子|370万|单价22700元/平米
门头沟|城子|绿岛家园 6室1厅 495万|绿岛家园| | 6室1厅 | 207平米 | 南 北 | 精装|高楼层(共6层)  2006年建板楼  -  |城子|495万|单价23914元/平米
门头沟|城子|桥东街南北通透两居  黄金楼层|桥东街小区| | 2室1厅 | 59.79平米 | 南 北 | 简装|中楼层(共6层)  1992年建板楼  -  |城子|150万|单价25088元/平米
门头沟|城子|和平路33号院两居室，东西通透|和平路33号院| | 2室1厅 | 67.57平米 | 东 西 | 简装|高楼层(共6层)  1996年建板楼  -  |城子|130万|单价19240元/平米
门头沟|城子|剧场东街 区政府旁边经典小两居|剧场东街| | 2室1厅 | 50平米 | 南 北 | 精装|高楼层(共5层)  1980年建板楼  -  |城子|120万|单价24000元/平米
门头沟|城子|楼层好 南向 房子满两年 精装修 |桥东街小区| | 2室1厅 | 53.61平米 | 南 | 精装|中楼层(共5层)  1983年建板楼  -  |城子|139万|单价25928元/平米
门头沟|城子|华润置地开发润景公馆精装修两居室 南北通透|润景公馆| | 2室2厅 | 134平米 | 南 北 | 精装|低楼层(共20层)  2011年建板楼  -  |城子|475万|单价35448元/平米
门头沟|城子|天翠阳光新城 电梯房 黄金楼层 房龄新|天翠阳光新城| | 1室1厅 | 65平米 | 南 | 其他|中楼层(共16层)  2013年建板塔结合  -  |城子|135万|单价20770元/平米
门头沟|城子|滨河路87号院精装修南北通透满五唯一两居室|滨河路87号院| | 2室1厅 | 89平米 | 南 北 | 其他|高楼层(共6层)  1997年建板楼  -  |城子|215万|单价24158元/平米
门头沟|城子|润景公馆 正规两居室 西南朝向 精装修|润景公馆| | 2室1厅 | 99.8平米 | 南 | 精装|中楼层(共20层)  2011年建板楼  -  |城子|340万|单价34069元/平米
门头沟|城子|三家店老宿舍 南北通透 免增值税|三家店老宿舍17号院| | 2室1厅 | 77.79平米 | 南 北 | 简装|地下室(共6层)  2003年建板楼  -  |城子|120万|单价15427元/平米
门头沟|城子|三家店新河路 2室1厅 130万|三家店新河路| | 2室1厅 | 59.37平米 | 南 北 | 其他|中楼层(共5层)  1980年建板楼  -  |城子|130万|单价21897元/平米
门头沟|城子|新桥东街中楼层东西通透大两居 出行便利|新桥东街| | 2室1厅 | 91.82平米 | 东 西 | 精装|中楼层(共6层)  1995年建板楼  -  |城子|215万|单价23416元/平米
门头沟|城子|阁外山水 满五唯一 东西通透 带露台30平|阁外山水| | 2室2厅 | 100平米 | 东 西 | 简装|中楼层(共12层)  2003年建板楼  -  |城子|220万|单价22000元/平米
门头沟|城子|向阳楼 2室1厅 120万|向阳楼| | 2室1厅 | 50.14平米 | 南 | 简装|高楼层(共6层)  1982年建板楼  -  |城子|120万|单价23933元/平米
门头沟|城子|三家店老宿舍 南北通透 满五唯一|三家店老宿舍17号院| | 2室1厅 | 77.79平米 | 南 北 | 简装|地下室(共6层)  2003年建板楼  -  |城子|120万|单价15427元/平米
门头沟|城子|城子132号院，精装两居，小跃层，动静分开|城子大街132号院| | 2室1厅 | 80.05平米 | 南 北 | 精装|高楼层(共6层)  2002年建板楼  -  |城子|200万|单价24985元/平米
门头沟|城子|天翠阳光新城 标准的一室一厅户型 电梯房黄金楼层|天翠阳光新城| | 1室1厅 | 58平米 | 南 北 | 其他|中楼层(共16层)  板塔结合  -  |城子|120万|单价20690元/平米
门头沟|城子|门头沟核心地段 交通购物方便的小三居|向阳楼| | 3室1厅 | 57平米 | 东 西 | 简装|中楼层(共5层)  1982年建板楼  -  |城子|140万|单价24562元/平米
门头沟|城子|龙泉花园 2室1厅 195万|龙泉花园| | 2室1厅 | 71.3平米 | 南 北 | 简装|低楼层(共6层)  1996年建板楼  -  |城子|195万|单价27350元/平米
门头沟|城子|剧场东街 2室1厅 220万|剧场东街| | 2室1厅 | 89平米 | 西 | 简装|高楼层(共6层)  1980年建板楼  -  |城子|220万|单价24720元/平米
门头沟|城子|三家店老宿舍17号院 2室1厅 120万|三家店老宿舍17号院| | 2室1厅 | 77.79平米 | 南 北 | 简装|地下室(共6层)  2003年建板楼  -  |城子|120万|单价15427元/平米
门头沟|城子|城子西街1号院 2室1厅 210万|城子西街1号院| | 2室1厅 | 87.82平米 | 南 北 | 其他|高楼层(共6层)  2004年建板楼  -  |城子|210万|单价23913元/平米
门头沟|城子|天翠阳光新城 2室1厅 185万|天翠阳光新城| | 2室1厅 | 82平米 | 南 北 | 其他|低楼层(共16层)  2013年建板塔结合  -  |城子|185万|单价22561元/平米
门头沟|城子|和平路33号院 2室1厅 140万|和平路33号院| | 2室1厅 | 82.3平米 | 东 西 | 其他|高楼层(共6层)  1996年建板楼  -  |城子|140万|单价17011元/平米
门头沟|城子|绿岛家园 2室1厅 280万|绿岛家园| | 2室1厅 | 91平米 | 南 北 | 简装|高楼层(共6层)  2003年建板楼  -  |城子|280万|单价30770元/平米
门头沟|城子|天翠阳光新城 2室1厅 200万|天翠阳光新城| | 2室1厅 | 75.04平米 | 南 北 | 其他|高楼层(共16层)  2013年建板塔结合  -  |城子|200万|单价26653元/平米
门头沟|城子|天翠阳光新城 标准的一室一厅户型 电梯房 南北通透|天翠阳光新城| | 1室1厅 | 57平米 | 南 北 | 其他|低楼层(共16层)  2013年建板塔结合  -  |城子|110万|单价19299元/平米
门头沟|城子|桥东街小区 2室1厅 155万|桥东街小区| | 2室1厅 | 50.47平米 | 南 北 | 其他|低楼层(共5层)  1983年建板楼  -  |城子|155万|单价30712元/平米
门头沟|城子|绿岛家园 4室2厅 380万|绿岛家园| | 4室2厅 | 139.93平米 | 南 北 | 其他|高楼层(共6层)  2006年建板楼  -  |城子|380万|单价27157元/平米
门头沟|城子|阳光绿苑精装两居半地下冬暖夏凉单价便宜|阳光绿苑| | 2室1厅 | 88.46平米 | 南 北 | 简装|地下室(共9层)  2008年建板楼  -  |城子|170万|单价19218元/平米
门头沟|城子|天翠阳光新城 2室1厅 175万|天翠阳光新城| | 2室1厅 | 86平米 | 南 | 简装|低楼层(共16层)  2013年建板塔结合  -  |城子|175万|单价20349元/平米
门头沟|城子|天翠阳光新城 1室1厅 133万|天翠阳光新城| | 1室1厅 | 64平米 | 南 北 | 其他|高楼层(共16层)  2013年建板塔结合  -  |城子|133万|单价20782元/平米
门头沟|城子|天翠阳光新城 1室1厅 135万|天翠阳光新城| | 1室1厅 | 58平米 | 南 北 | 其他|中楼层(共16层)  板塔结合  -  |城子|135万|单价23276元/平米
门头沟|城子|纯南向 看房方便 新小区 采光非常好|天翠阳光新城| | 1室1厅 | 63平米 | 南 | 其他|中楼层(共16层)  2013年建板塔结合  -  |城子|142万|单价22540元/平米
门头沟|城子|纯南向 采光好 周边配套齐 看房方便|天翠阳光新城| | 1室1厅 | 65平米 | 南 | 其他|中楼层(共16层)  2013年建板塔结合  -  |城子|142万|单价21847元/平米
门头沟|城子|天翠阳光新城 1室1厅 145万|天翠阳光新城| | 1室1厅 | 65平米 | 南 | 其他|低楼层(共16层)  板塔结合  -  |城子|145万|单价22308元/平米
门头沟|城子|天翠阳光新城 1室1厅 130万|天翠阳光新城| | 1室1厅 | 58平米 | 南 | 其他|高楼层(共16层)  2013年建板塔结合  -  |城子|130万|单价22414元/平米
门头沟|城子|绿岛家园 2室1厅 320万|绿岛家园| | 2室1厅 | 92.98平米 | 南 北 | 其他|低楼层(共6层)  2006年建板楼  -  |城子|320万|单价34417元/平米
门头沟|城子|天翠阳光新城 2室1厅 180万|天翠阳光新城| | 2室1厅 | 76.27平米 | 南 北 | 其他|低楼层(共16层)  板塔结合  -  |城子|180万|单价23601元/平米
门头沟|城子|阳光绿苑 1室1厅 220万|阳光绿苑| | 1室1厅 | 74.77平米 | 南 | 其他|低楼层(共17层)  2008年建板楼  -  |城子|220万|单价29424元/平米
门头沟|城子|阳光绿苑 2室1厅 168万|阳光绿苑| | 2室1厅 | 88.46平米 | 北 南 | 其他|地下室(共9层)  2008年建板楼  -  |城子|168万|单价18992元/平米
门头沟|城子|阳光绿苑 2室1厅 168万|阳光绿苑| | 2室1厅 | 88.64平米 | 南 北 | 简装|地下室(共9层)  2008年建板楼  -  |城子|168万|单价18954元/平米
门头沟|城子|润景公馆  正规两居室  银三角户型西南向  带精装修|润景公馆| | 2室1厅 | 103平米 | 西南 | 其他|高楼层(共20层)  2011年建板楼  -  |城子|350万|单价33981元/平米
门头沟|城子|三家店老宿舍17号院 2室1厅 120万|三家店老宿舍17号院| | 2室1厅 | 79平米 | 南 北 | 其他|地下室(共6层)  2003年建板楼  -  |城子|120万|单价15190元/平米
门头沟|大峪|永新小区 高楼层 南北通透 两居室|永新小区| | 2室1厅 | 62平米 | 南 北 | 精装|高楼层(共6层)  1996年建板楼  -  |大峪|157万|单价25323元/平米
门头沟|大峪|满五年唯一  南北通透 明厨明卫 |大峪南路| | 2室1厅 | 55.66平米 | 南 北 | 简装|高楼层(共6层)  1980年建板楼  -  |大峪|137万|单价24614元/平米
门头沟|大峪|三面采光，格局方正，满五年唯一，紧邻矿务局医院|黑山东街| | 2室1厅 | 75.4平米 | 东 南 西 | 简装|高楼层(共7层)  1994年建板楼  -  |大峪|160万|单价21221元/平米
门头沟|大峪|门头沟峪园小区南北通透小三居，双卧朝南，满五唯一。|峪园小区| | 3室1厅 | 68.82平米 | 南 北 | 其他|高楼层(共6层)  1986年建板楼  -  |大峪|160万|单价23250元/平米
门头沟|大峪|满五年唯一 南北通透三居室 楼层低|大峪南路| | 3室1厅 | 73.67平米 | 南 北 | 简装|中楼层(共5层)  1986年建板楼  -  |大峪|184万|单价24977元/平米
门头沟|大峪|惠民家园一区 南向采光充足一居室|惠民家园| | 1室1厅 | 50.95平米 | 南 | 简装|高楼层(共6层)  2009年建板楼  -  |大峪|110万|单价21590元/平米
门头沟|大峪|峪园小区 南北通透 三居室 黄金楼层|峪园小区| | 3室1厅 | 104.1平米 | 南 北 | 简装|中楼层(共6层)  1997年建板楼  -  |大峪|255万|单价24496元/平米
门头沟|大峪|大峪 正规两居室免税房，诚心出售|大峪南路| | 2室1厅 | 62.17平米 | 南 北 | 其他|高楼层(共5层)  1993年建板楼  -  |大峪|152万|单价24450元/平米
门头沟|大峪|永新小区 南北通透两居室 高楼层 采光充足|永新小区| | 2室1厅 | 62平米 | 南 北 | 简装|高楼层(共6层)  1996年建板楼  -  |大峪|165万|单价26613元/平米
门头沟|大峪|黑山东街 精装两居 南北通透 满五唯一|黑山东街| | 2室1厅 | 57平米 | 南 北 | 精装|高楼层(共6层)  1988年建板楼  -  |大峪|152万|单价26667元/平米
门头沟|大峪|此房满五年唯一，就学大峪二小，黄金楼层，户型难得|黑山东街| | 2室1厅 | 91平米 | 南 北 | 精装|中楼层(共6层)  2007年建板楼  -  |大峪|276万|单价30330元/平米
门头沟|大峪|新桥大街61号院 6+7复式 格局方正 满五唯一|新桥大街61号院| | 5室2厅 | 161.27平米 | 南 北 | 简装|高楼层(共6层)  1993年建板楼  -  |大峪|300万|单价18603元/平米
门头沟|大峪|门头沟 成熟社区 新桥路新桥 满五唯一|新桥路小区| | 2室1厅 | 57.4平米 | 南 北 | 简装|高楼层(共6层)  1983年建板楼  -  |大峪|140万|单价24391元/平米
门头沟|大峪|快4沿线 电梯房中间楼层两居室|大峪南路| | 2室1厅 | 58.13平米 | 南 | 简装|中楼层(共18层)  1980年建塔楼  -  |大峪|147万|单价25289元/平米
门头沟|大峪|桃园小区 满五唯一两居 南北通透 正规客厅 布局合理|桃园小区| | 2室1厅 | 75平米 | 南 北 | 简装|高楼层(共6层)  2000年建板楼  -  |大峪|180万|单价24000元/平米
门头沟|大峪|惠民家园一区 正规两居室 板楼中间层 精装修|惠民家园| | 2室1厅 | 67.43平米 | 南 北 | 精装|中楼层(共6层)  2010年建板楼  -  |大峪|190万|单价28178元/平米
门头沟|大峪| 门头沟 成熟社区  新桥大街61号院 6+7复式|新桥大街61号院| | 4室2厅 | 128.18平米 | 南 北 | 简装|高楼层(共6层)  1993年建板楼  -  |大峪|258万|单价20128元/平米
门头沟|大峪|惠民家园一区 板楼南向一室 随时看|惠民家园| | 1室0厅 | 48.28平米 | 南 | 毛坯|高楼层(共6层)  2009年建板楼  -  |大峪|120万|单价24856元/平米
门头沟|大峪|增产路21号院南北通透两居室，中楼层，满五唯一|增产路21号院| | 2室1厅 | 61.87平米 | 南 北 | 简装|中楼层(共6层)  1996年建板楼  -  |大峪|150万|单价24245元/平米
门头沟|大峪|新桥家园 满五唯一 精装修 采光足|新桥家园| | 2室2厅 | 120.2平米 | 西 | 精装|低楼层(共24层)  2001年建塔楼  -  |大峪|295万|单价24543元/平米
门头沟|大峪|门头沟 成熟社区 新桥路新桥 交通方便|新桥路小区| | 1室1厅 | 50平米 | 南 北 | 毛坯|高楼层(共6层)  1992年建板楼  -  |大峪|125万|单价25000元/平米
门头沟|大峪|继承成本价 免营业税  唯一住房  层次好|黑山东街| | 3室0厅 | 55.91平米 | 南 北 | 简装|中楼层(共6层)  1996年建板楼  -  |大峪|148万|单价26472元/平米
门头沟|大峪|  门头沟 成熟社区  新桥大街61号院 6+7复式|新桥大街61号院| | 3室2厅 | 136平米 | 南 北 | 简装|高楼层(共6层)  1993年建板楼  -  |大峪|320万|单价23530元/平米
门头沟|大峪|此房满五唯一免税 南北通透楼层好 视野宽阔带露台|黑山东街| | 1室1厅 | 63平米 | 南 北 | 精装|高楼层(共6层)  2007年建板楼  -  |大峪|177万|单价28096元/平米
门头沟|大峪|标准一室一厅，黄金地段，紧邻大峪二小，精装修|新桥家园| | 1室1厅 | 82.82平米 | 北 | 精装|中楼层(共24层)  2003年建塔楼  -  |大峪|205万|单价24753元/平米
门头沟|大峪|桃园小区 南北通透大三角 高楼层采光好|桃园小区| | 3室2厅 | 100.61平米 | 南 北 | 简装|高楼层(共6层)  2000年建板楼  -  |大峪|210万|单价20873元/平米
门头沟|大峪|惠民家园 小复式 电梯房 适合居住|惠民家园| | 2室1厅 | 81平米 | 西 | 精装|高楼层(共11层)  2010年建板楼  -  |大峪|195万|单价24075元/平米
门头沟|大峪|峪园小区 南北通透 正规三居室|峪园小区| | 3室1厅 | 119.23平米 | 南 北 | 简装|低楼层(共6层)  1996年建板楼  -  |大峪|287万|单价24072元/平米
门头沟|大峪|门头沟 新桥家园 满五唯一  精装修|新桥家园| | 1室1厅 | 84.49平米 | 北 | 精装|高楼层(共24层)  2001年建塔楼  -  |大峪|200万|单价23672元/平米
门头沟|大峪|桃园小区 3室2厅 216万|桃园小区| | 3室2厅 | 120.1平米 | 南 北 | 简装|高楼层(共6层)  2000年建板楼  -  |大峪|216万|单价17986元/平米
门头沟|大峪|新桥大街61号院 南北通透 交通便利 满五唯一 |新桥大街61号院| | 2室1厅 | 80平米 | 南 北 | 简装|高楼层(共6层)  1993年建板楼  -  |大峪|180万|单价22500元/平米
门头沟|大峪|精装修两居室 朝南向 楼层适中|峪园小区| | 2室1厅 | 59.81平米 | 南 | 精装|中楼层(共6层)  1990年建板楼  -  |大峪|160万|单价26752元/平米
门头沟|大峪|新桥家园 低楼层 精装 两室两厅出售|新桥家园| | 2室2厅 | 120.2平米 | 西 | 精装|低楼层(共24层)  2001年建塔楼  -  |大峪|300万|单价24959元/平米
门头沟|大峪|桃园小区  大三居  南北通透  交通便利|桃园小区| | 3室1厅 | 100平米 | 南 北 | 精装|高楼层(共6层)  2000年建板楼  -  |大峪|260万|单价26000元/平米
门头沟|大峪|桃园小区大两居室 满五唯一 周边配套设施齐全|桃园小区| | 2室1厅 | 95.47平米 | 南 北 | 精装|高楼层(共6层)  2000年建板楼  -  |大峪|200万|单价20949元/平米
门头沟|大峪|新桥大街61号院两居室 南北通透|新桥大街61号院| | 2室1厅 | 83.85平米 | 南 北 | 简装|高楼层(共6层)  1993年建板楼  -  |大峪|207万|单价24687元/平米
门头沟|大峪|峪园小区 3居 南北通透 满五唯一|峪园小区| | 3室1厅 | 120平米 | 南 北 | 简装|高楼层(共6层)  1996年建板楼  -  |大峪|245万|单价20417元/平米
门头沟|大峪|门头沟 成熟社区 黑山东街 精装修婚房|黑山东街| | 2室1厅 | 55平米 | 东 | 精装|高楼层(共6层)  1996年建板楼  -  |大峪|148万|单价26910元/平米
门头沟|大峪|永新小区 精装修高楼层 南北通透 两居室|永新小区| | 2室1厅 | 62.03平米 | 南 北 | 精装|高楼层(共6层)  1996年建板楼  -  |大峪|152万|单价24505元/平米
门头沟|大峪|新桥南大街23号院 南北通透 配套齐全|新桥南大街23号院| | 2室1厅 | 58.19平米 | 南 北 | 简装|高楼层(共6层)  1982年建板楼  -  |大峪|150万|单价25778元/平米
门头沟|大峪|门头沟黑山东街两居室 满五唯一|黑山东街| | 2室2厅 | 88.55平米 | 南 北 | 精装|高楼层(共6层)  2007年建板楼  -  |大峪|260万|单价29362元/平米
门头沟|大峪|门头沟中心城区 黄金楼层 南北通透两居|增产路大街42号院| | 2室1厅 | 79.93平米 | 南 北 | 简装|中楼层(共6层)  1993年建板楼  -  |大峪|198万|单价24772元/平米
门头沟|大峪|门头沟高档社区 新桥家园 满五唯一|新桥家园| | 2室1厅 | 109平米 | 东 | 精装|低楼层(共24层)  2003年建塔楼  -  |大峪|300万|单价27523元/平米
门头沟|大峪|新桥大街61号院 6+7复式 满五年 |新桥大街61号院| | 3室2厅 | 133.94平米 | 南 北 | 简装|高楼层(共6层)  1993年建板楼  -  |大峪|241万|单价17994元/平米
门头沟|大峪|黑山北小街中楼层三居室，低总价，低单价|黑山北小街11号院| | 3室2厅 | 82.82平米 | 南 北 | 简装|中楼层(共6层)  2000年建板楼  -  |大峪|190万|单价22942元/平米
门头沟|大峪|桃园小区 2室1厅 185万|桃园小区| | 2室1厅 | 88平米 | 南 北 | 简装|高楼层(共6层)  2000年建板楼  -  |大峪|185万|单价21023元/平米
门头沟|大峪|惠民家园 2室1厅 225万|惠民家园| | 2室1厅 | 91.76平米 | 东 西 | 其他|高楼层(共9层)  2010年建板楼  -  |大峪|225万|单价24521元/平米
门头沟|大峪|新桥家园 高楼层采光好 业主住 交通便利|新桥家园| | 2室1厅 | 109.53平米 | 西 | 简装|低楼层(共24层)  2003年建塔楼  -  |大峪|244万|单价22278元/平米
门头沟|大峪|新桥家园正规一居室免税房位置优越|新桥家园| | 1室1厅 | 83平米 | 北 | 精装|低楼层(共24层)  2003年建塔楼  -  |大峪|195万|单价23494元/平米
门头沟|大峪|惠民家园两居室出售 高层带电梯 双卫|惠民家园| | 2室1厅 | 92.43平米 | 东 西 | 精装|中楼层(共9层)  2010年建板楼  -  |大峪|255万|单价27589元/平米
门头沟|大峪|新桥家园 1室1厅 195万|新桥家园| | 1室1厅 | 83.38平米 | 西 | 简装|中楼层(共24层)  2003年建塔楼  -  |大峪|195万|单价23387元/平米
门头沟|大峪|永新小区 2室1厅 165万|永新小区| | 2室1厅 | 62平米 | 南 北 | 简装|高楼层(共6层)  1996年建板楼  -  |大峪|165万|单价26613元/平米
门头沟|大峪|惠民家园，南向，正规一室一厅，地热水暖|惠民家园| | 1室1厅 | 55.41平米 | 南 | 简装|中楼层(共7层)  2010年建板楼  -  |大峪|140万|单价25267元/平米
门头沟|大峪|桃园小区 4室2厅 350万|桃园小区| | 4室2厅 | 137.75平米 | 南 北 | 精装|中楼层(共6层)  2000年建板楼  -  |大峪|350万|单价25409元/平米
门头沟|大峪|惠民家园 东西通透 正规一居室 板楼 |惠民家园| | 1室1厅 | 60.32平米 | 东 西 | 简装|高楼层(共6层)  2010年建板楼  -  |大峪|142万|单价23542元/平米
门头沟|大峪|此房满五唯一 新桥家园 楼层好 采光好  交通便利 |新桥家园| | 1室1厅 | 82.82平米 | 北 | 精装|高楼层(共24层)  2003年建塔楼  -  |大峪|190万|单价22942元/平米
门头沟|大峪|黑山东街 顶层带露台 可打阁楼 满二唯一|黑山东街| | 1室1厅 | 63.83平米 | 南 北 | 简装|高楼层(共6层)  2007年建板楼  -  |大峪|185万|单价28984元/平米
门头沟|大峪|满五年非唯一公房 2000年 南北通透两居室 中间楼层|桃园小区| | 2室1厅 | 82.65平米 | 南 北 | 精装|中楼层(共6层)  2000年建板楼  -  |大峪|180万|单价21779元/平米
门头沟|大峪|门头沟 成熟社区 黑山东街 交通方便|黑山东街| | 2室1厅 | 52.8平米 | 南 北 | 简装|地下室(共7层)  1994年建板楼  -  |大峪|108万|单价20455元/平米
门头沟|大峪|永新小区 低楼层 南北通透大两居|永新小区| | 2室1厅 | 85.77平米 | 南 北 | 简装|低楼层(共6层)  1996年建板楼  -  |大峪|248万|单价28915元/平米
门头沟|大峪|西山环路6号院  低楼层的花园洋房出售中|西山环路6号院| | 5室3厅 | 140平米 | 南 北 | 其他|低楼层(共9层)  2014年建板楼  -  |大峪|880万|单价62858元/平米
门头沟|大峪|惠民家园二区 正规一居室 南向 高层带电梯|惠民家园| | 1室1厅 | 63.68平米 | 东 | 精装|中楼层(共15层)  2010年建板楼  -  |大峪|160万|单价25126元/平米
门头沟|大峪|大峪小白楼正规三居室，业主靠谱随时配合签约！|大峪小白楼| | 3室1厅 | 89.92平米 | 南 北 | 毛坯|中楼层(共28层)  2016年建板楼  -  |大峪|220万|单价24467元/平米
门头沟|大峪|紧邻快四车站    两居室出售    |惠民家园| | 2室1厅 | 64.23平米 | 南 北 | 简装|高楼层(共19层)  2012年建板楼  -  |大峪|180万|单价28025元/平米
门头沟|大峪|西山环路6号院 三面环山的洋房别墅区 安静清新|西山环路6号院| | 3室2厅 | 140平米 | 南 北 | 其他|低楼层(共9层)  2014年建板楼  -  |大峪|570万|单价40715元/平米
门头沟|大峪|惠民家园 2室1厅 158万|惠民家园| | 2室1厅 | 63.7平米 | 南 | 其他|高楼层(共19层)  2012年建板楼  -  |大峪|158万|单价24804元/平米
门头沟|大峪|房龄新，2006年建成，层次好，新型户型，南北通透|黑山东街| | 2室1厅 | 91.79平米 | 南 北 | 精装|中楼层(共6层)  2007年建板楼  -  |大峪|250万|单价27237元/平米
门头沟|大峪|新建小区，南向三居，采光好，楼层好|大峪小白楼| | 3室1厅 | 86.84平米 | 南 | 精装|高楼层(共25层)  2016年建板楼  -  |大峪|198万|单价22801元/平米
门头沟|大峪|惠民家园 经典正规两室 南北通透 周边设施齐全|惠民家园| | 2室1厅 | 66.96平米 | 南 北 | 其他|高楼层(共6层)  2010年建板楼  -  |大峪|185万|单价27629元/平米
门头沟|大峪|惠民家园开间一居室，中楼层，南向|惠民家园| | 1室1厅 | 49.13平米 | 南 | 其他|中楼层(共6层)  2009年建板楼  -  |大峪|130万|单价26461元/平米
门头沟|大峪|惠民家园 1室1厅 145万|惠民家园| | 1室1厅 | 54.85平米 | 南 | 其他|低楼层(共9层)  2010年建板楼  -  |大峪|145万|单价26436元/平米
门头沟|大峪|育园小学 中学学区 南北通透 格局方正 无浪费面积|峪园小区| | 2室1厅 | 63.59平米 | 南 北 | 精装|高楼层(共6层)  1986年建板楼  -  |大峪|160万|单价25162元/平米
门头沟|大峪|大峪小白楼 正规两居室 南北通透 带电梯|大峪小白楼| | 2室1厅 | 70.84平米 | 南 北 | 其他|中楼层(共27层)  2016年建板楼  -  |大峪|152万|单价21457元/平米
门头沟|大峪|大峪南路小区 板楼两居中间层 南北通透 紧邻阜石路 |大峪南路| | 2室1厅 | 56.42平米 | 南 北 | 简装|中楼层(共6层)  1980年建板楼  -  |大峪|158万|单价28005元/平米
门头沟|大峪|桃园小区 黄金楼层 精装修 南北通透|桃园小区| | 2室1厅 | 87平米 | 南 北 | 精装|高楼层(共6层)  2000年建板楼  -  |大峪|185万|单价21265元/平米
门头沟|大峪|惠民家园楼房出售 交通便利 出行方便|惠民家园| | 2室1厅 | 63.25平米 | 南 | 其他|高楼层(共21层)  2012年建板楼  -  |大峪|152万|单价24032元/平米
门头沟|大峪|惠民家园二期   交通方便  一室一厅|惠民家园| | 1室0厅 | 51平米 | 南 | 精装|低楼层(共15层)  2010年建板楼  -  |大峪|130万|单价25491元/平米
门头沟|大峪|门头沟 惠民家园 大一居 低楼层 电梯房 周边配套齐全|惠民家园| | 1室1厅 | 63.71平米 | 东 | 简装|低楼层(共15层)  2010年建板楼  -  |大峪|165万|单价25899元/平米
门头沟|大峪|黑山A3区 龙山家园 双卧朝南电梯房 楼龄新|黑山A3区| | 2室1厅 | 64平米 | 南 | 毛坯|中楼层(共11层)  2015年建板楼  -  |大峪|125万|单价19532元/平米
门头沟|大峪|惠民家园 2室1厅 158万|惠民家园| | 2室1厅 | 63.69平米 | 南 | 其他|高楼层(共19层)  2012年建板楼  -  |大峪|158万|单价24808元/平米
门头沟|大峪|黑山南向两居 双卧朝南 电梯观景房 出行方便|黑山A1区| | 2室1厅 | 65平米 | 南 | 精装|中楼层(共28层)  2015年建板楼  -  |大峪|125万|单价19231元/平米
门头沟|大峪|西山艺境 联排别墅  毛坯房 户型好|西山环路6号院| | 3室2厅 | 177.93平米 | 南 北 | 毛坯|高楼层(共4层)  2014年建  -  |大峪|1350万|单价75873元/平米
门头沟|大峪|西山艺境 联排别墅 稀缺户型在售|西山环路6号院| | 3室1厅 | 200平米 | 东 南 北 | 毛坯|高楼层(共4层)  2014年建  -  |大峪|1500万|单价75000元/平米
