昌平|安宁庄|阳光北里 免税 海淀实验二小学 楼龄新 靠谱签约|阳光北里| | 3室1厅 | 85.5平米 | 西 南 | 简装|高楼层(共18层)  1999年建塔楼  -  |安宁庄|450万|单价52632元/平米
昌平|东关|建安里小区  南北通透三居室  低楼层 采光充足|建安里小区| | 3室1厅 | 109平米 | 南 北 | 简装|低楼层(共6层)  1995年建板楼  -  |东关|320万|单价29358元/平米
昌平|东关|亢山佳园 临近地铁昌平线东关站 大三居|亢山佳园小区| | 3室2厅 | 110.21平米 | 南 北 | 简装|高楼层(共6层)    -  |东关|286万|单价25951元/平米
昌平|东关|昌平管厂宿舍 满五年唯一精装修 拎包入住 |管厂宿舍| | 2室1厅 | 58.83平米 | 南 北 | 精装|高楼层(共6层)    -  |东关|155万|单价26348元/平米
昌平|东关|东关南里 朝南2居 黄金楼层  满五唯一|东关南里小区| | 2室1厅 | 54.22平米 | 南 | 简装|中楼层(共6层)  2001年建板楼  -  |东关|170万|单价31354元/平米
昌平|东关|京科苑 南北双通透三居室 客厅餐厅独立分开|京科苑| | 3室2厅 | 128.4平米 | 南 北 | 精装|高楼层(共5层)  1999年建板楼  -  |东关|315万|单价24533元/平米
昌平|东关|东关南里小区，满五唯一，3室2厅，372万|东关南里小区| | 3室2厅 | 150.55平米 | 南 北 | 简装|中楼层(共6层)  1998年建板楼  -  |东关|372万|单价24710元/平米
昌平|东关|宁馨苑 满五唯一 南北通透 中间楼层 |宁馨苑| | 4室1厅 | 160.09平米 | 南 北 | 精装|中楼层(共11层)  2003年建板楼  -  |东关|360万|单价22488元/平米
昌平|东关|东关地铁建安里 正规南北大两局 南北通透|建安里小区| | 2室2厅 | 93.25平米 | 南 北 | 简装|高楼层(共6层)  1995年建板楼  -  |东关|220万|单价23593元/平米
昌平|东关|东关南里小区+南北通透+小三居|东关南里小区| | 3室2厅 | 98.5平米 | 南 北 | 简装|中楼层(共6层)  2000年建板楼  -  |东关|300万|单价30457元/平米
昌平|东关|亢山佳园 地铁房 南北通透中间楼层|亢山佳园小区| | 3室2厅 | 129.85平米 | 南 北 | 精装|高楼层(共6层)    -  |东关|340万|单价26185元/平米
昌平|东关|宁馨苑精装修电梯两居，东西向，紧邻地铁|宁馨苑| | 2室1厅 | 107.6平米 | 东 西 | 精装|低楼层(共17层)  2003年建板楼  -  |东关|270万|单价25093元/平米
昌平|东关|清秀园南区 朝南客厅带阳台 落地窗 大三居|清秀园南区| | 3室2厅 | 123平米 | 南 北 | 精装|中楼层(共7层)  2003年建板楼  -  |东关|320万|单价26017元/平米
昌平|东关|清秀园北区 中间楼层 东西向 两居室|清秀园北区| | 2室1厅 | 95平米 | 东 西 | 其他|中楼层(共7层)  2003年建板楼  -  |东关|250万|单价26316元/平米
昌平|东关|东环路小区 南北通透两居室 低楼层 总价低|东环路小区| | 2室1厅 | 74.36平米 | 南 北 | 简装|低楼层(共6层)  1995年建板楼  -  |东关|190万|单价25552元/平米
昌平|东关|东关北里正规大两居户型，南北通透，户型方正|东关北里小区| | 2室2厅 | 106平米 | 南 北 | 其他|中楼层(共7层)  1997年建板楼  -  |东关|265万|单价25000元/平米
昌平|东关|东关南里 南北通透 正规两居室 采光好|东关南里小区| | 2室1厅 | 89平米 | 南 北 | 精装|高楼层(共6层)  1998年建板楼  -  |东关|238万|单价26742元/平米
昌平|东关|京科苑  满五唯一 精装修  三居室|京科苑| | 2室1厅 | 112.56平米 | 东 西 | 精装|高楼层(共7层)  2004年建板楼  -  |东关|280万|单价24876元/平米
昌平|东关|水关新村 南北通透 简装大两居室|水关新村| | 2室2厅 | 119平米 | 南 北 | 其他|高楼层(共6层)  1997年建板楼  -  |东关|320万|单价26891元/平米
昌平|东关|清秀园北区  满五唯一电梯房一居室|清秀园北区| | 1室1厅 | 59.6平米 | 西 | 精装|低楼层(共19层)  2003年建塔楼  -  |东关|180万|单价30202元/平米
昌平|东关|京科苑 南北通透户型 满五年唯一住房 中间楼层|京科苑| | 2室2厅 | 106.33平米 | 南 北 | 简装|高楼层(共6层)  1998年建板楼  -  |东关|300万|单价28215元/平米
昌平|东关|昌平东关福地家园 满五年唯一 南北通透 黄金楼层|福地家园| | 3室1厅 | 148平米 | 南 北 | 其他|中楼层(共6层)  2001年建板楼  -  |东关|350万|单价23649元/平米
昌平|东关|金隅嘉和园 精装修小三居 南北通透急售|金隅嘉和园| | 3室1厅 | 89.67平米 | 东 南 北 | 精装|高楼层(共21层)  塔楼  -  |东关|270万|单价30111元/平米
昌平|东关|东关南里小区满五唯一三居室 南北通透 看房提前联系|东关南里小区| | 3室2厅 | 134平米 | 南 北 | 其他|高楼层(共6层)  1998年建板楼  -  |东关|300万|单价22389元/平米
昌平|东关|昌盛园一区 三阳开泰户型 南北通透大三居 |昌盛园一区| | 3室2厅 | 123.13平米 | 南 北 | 简装|高楼层(共6层)  1996年建板楼  -  |东关|320万|单价25989元/平米
昌平|东关|京科苑  三阳开泰户型  满五唯一  精装修|京科苑| | 3室2厅 | 137平米 | 南 北 | 精装|高楼层(共6层)  1998年建板楼  -  |东关|355万|单价25913元/平米
昌平|东关|清秀园南区+润杰花园+满五唯一+南北通透|清秀园南区| | 2室1厅 | 98.04平米 | 南 北 | 其他|中楼层(共8层)  2001年建板楼  -  |东关|280万|单价28560元/平米
昌平|东关|肆维花园 建安里 紧邻地铁 看房随时 拎包入住|建安里小区| | 3室2厅 | 175平米 | 南 北 | 精装|中楼层(共11层)  2003年建板楼  -  |东关|480万|单价27429元/平米
昌平|东关|福地家园 南北通透 三空间格局 客厅挑高3.9米 景观好 |福地家园| | 3室2厅 | 139.76平米 | 南 北 | 精装|高楼层(共5层)  2001年建板楼  -  |东关|385万|单价27548元/平米
昌平|东关|建安里小区   电梯房  南北通透大两居|建安里小区| | 2室2厅 | 143平米 | 南 北 | 简装|中楼层(共11层)  2003年建板楼  -  |东关|300万|单价20980元/平米
昌平|东关|富泉花园 一层带院 三居室 南北通透 双卧朝南 阳光房|富泉花园| | 3室2厅 | 132.44平米 | 南 北 | 毛坯|低楼层(共6层)  2002年建板楼  -  |东关|480万|单价36243元/平米
昌平|东关|随园 正规两居 板楼带电梯 地铁房|随园| | 2室2厅 | 89.92平米 | 西 北 | 精装|高楼层(共11层)  2009年建板楼  -  |东关|285万|单价31695元/平米
昌平|东关|东关地铁 宁馨苑 正规一居 带电梯 商品房|宁馨苑| | 1室1厅 | 78.1平米 | 南 | 简装|中楼层(共17层)  2003年建板楼  -  |东关|215万|单价27529元/平米
昌平|东关|京科苑 3室1厅 292万|京科苑| | 3室1厅 | 104.97平米 | 南 北 | 其他|高楼层(共6层)  1999年建板楼  -  |东关|292万|单价27818元/平米
昌平|东关|北京风景 两居室 南北通透 满两年|北京风景| | 2室2厅 | 99.91平米 | 南 北 | 精装|低楼层(共6层)  2013年建板楼  -  |东关|330万|单价33030元/平米
昌平|东关|果岭小镇 精装修 南北通透 布局合理 采光充足|果岭小镇| | 3室2厅 | 130.53平米 | 南 北 | 精装|高楼层(共5层)  2005年建板楼  -  |东关|400万|单价30645元/平米
昌平|东关|随园 精装两居室 中间楼层 南北向 |随园| | 2室1厅 | 90.16平米 | 南 北 | 精装|中楼层(共9层)  2009年建板楼  -  |东关|295万|单价32720元/平米
昌平|东关|世涛天朗 满五唯一 免税 精装 大三居|昌盛园三区| | 3室2厅 | 139平米 | 南 北 | 精装|高楼层(共6层)  2005年建板楼  -  |东关|395万|单价28418元/平米
昌平|东关|随园 一个本 三居室 临地铁  精装修|随园| | 3室2厅 | 136平米 | 南 北 | 精装|低楼层(共11层)  2009年建板楼  -  |东关|360万|单价26471元/平米
昌平|东关|清秀园北区 电梯房 中间楼层 采光好|清秀园北区| | 1室1厅 | 54.68平米 | 西 | 其他|高楼层(共19层)  2003年建塔楼  -  |东关|142万|单价25970元/平米
昌平|东关|南北通透三居室 满五年 有钥匙 随时可看房|昌盛园二区| | 3室1厅 | 122平米 | 南 北 | 简装|高楼层(共6层)  1994年建板楼  -  |东关|298万|单价24427元/平米
昌平|东关|富泉花园 高层复式 满两年精装修|富泉花园| | 4室2厅 | 192平米 | 南 北 | 其他|高楼层(共5层)  2001年建板楼  -  |东关|480万|单价25000元/平米
昌平|东关|清秀园北区，带电梯，中间楼层，随时看房。|清秀园北区| | 2室1厅 | 68.25平米 | 南 | 其他|中楼层(共7层)  2003年建板塔结合  -  |东关|170万|单价24909元/平米
昌平|东关|宁馨苑  三居室 黄金楼层 南北通透 |宁馨苑| | 3室2厅 | 150平米 | 南 北 | 简装|中楼层(共6层)  2002年建板楼  -  |东关|380万|单价25334元/平米
昌平|东关|北京风景 南北通透三室两厅  送36万精装 满两年|北京风景| | 3室2厅 | 121平米 | 南 北 | 精装|高楼层(共6层)  2013年建板楼  -  |东关|398万|单价32893元/平米
昌平|东关|清秀园北区 南北四居  全明格局 精装|清秀园北区| | 4室1厅 | 135平米 | 南 北 | 精装|高楼层(共6层)  1996年建板楼  -  |东关|280万|单价20741元/平米
昌平|东关|水亲新村南北大三居 随时看房 采光充足 通风性好|水关新村| | 3室2厅 | 181.9平米 | 南 北 | 简装|高楼层(共6层)  1998年建板楼  -  |东关|302万|单价16603元/平米
昌平|东关|东关南里三居室 南北通透 采光好 随时看房|东关南里小区| | 3室2厅 | 125平米 | 南 北 | 其他|高楼层(共5层)  1997年建板楼  -  |东关|300万|单价24000元/平米
昌平|东关|金隅观澜时代，南北通透，大三居。|金隅观澜时代| | 3室2厅 | 125.69平米 | 南 北 | 其他|低楼层(共21层)  2012年建板楼  -  |东关|440万|单价35007元/平米
昌平|东关|昌盛园三区 南北通透 满两年 高楼层|昌盛园三区| | 2室1厅 | 83.15平米 | 南 北 | 精装|高楼层(共6层)  2004年建板楼  -  |东关|233万|单价28022元/平米
昌平|东关|南北通透  全明格局  高楼层 采光好  |畅椿阁| | 2室2厅 | 91.59平米 | 南 北 | 简装|高楼层(共6层)  2009年建板楼  -  |东关|248万|单价27078元/平米
昌平|东关|京科苑  三居室  南北通透  精装修 |京科苑| | 3室2厅 | 138.95平米 | 南 北 | 精装|高楼层(共6层)  1998年建板楼  -  |东关|350万|单价25189元/平米
昌平|东关|宁馨苑 大三居 紧邻地铁 南北通透|宁馨苑| | 3室2厅 | 176.31平米 | 南 北 | 简装|高楼层(共6层)  2002年建板楼  -  |东关|310万|单价17583元/平米
昌平|东关|京科苑 精装 三居室 满五年 带阁楼|京科苑| | 3室1厅 | 158平米 | 东 南 西 | 精装|高楼层(共5层)  2001年建板楼  -  |东关|320万|单价20254元/平米
昌平|东关|东关北里小区 2室1厅 185万|东关北里小区| | 2室1厅 | 58.95平米 | 南 | 其他|低楼层(共6层)  1993年建板楼  -  |东关|185万|单价31383元/平米
昌平|东关|京科苑 2室1厅 230万|京科苑| | 2室1厅 | 76.91平米 | 南 北 | 简装|中楼层(共6层)  1995年建板楼  -  |东关|230万|单价29906元/平米
昌平|东关|随园 上下两层复式，一个房本，中间层，精装修|随园| | 3室2厅 | 136平米 | 南 北 | 精装|中楼层(共8层)  2009年建板楼  -  |东关|380万|单价27942元/平米
昌平|东关|京科苑 2室2厅 290万|京科苑| | 2室2厅 | 114.5平米 | 南 北 | 其他|低楼层(共6层)  1998年建板楼  -  |东关|290万|单价25328元/平米
昌平|东关|富泉花园 三四层复式叠拼 满五唯一|富泉花园| | 4室2厅 | 232平米 | 南 北 | 精装|低楼层(共3层)  2001年建  -  |东关|600万|单价25863元/平米
昌平|东关|东关南里小区 南北通透 经典三居室|东关南里小区| | 3室2厅 | 131.34平米 | 南 北 | 简装|高楼层(共6层)  2000年建板楼  -  |东关|290万|单价22081元/平米
昌平|东关|昌盛园 满五年唯一  南北通透三居室   诚意出售|昌盛园一区| | 3室2厅 | 123.7平米 | 南 北 | 精装|高楼层(共6层)  2000年建板楼  -  |东关|270万|单价21828元/平米
昌平|东关|北京风景 装修精美 中间楼层 不临街|北京风景| | 3室2厅 | 120平米 | 南 北 | 精装|中楼层(共6层)  2013年建板楼  -  |东关|390万|单价32500元/平米
昌平|东关|宁馨苑 大四居 南北通透 精装修 已经转商|宁馨苑| | 4室1厅 | 161.71平米 | 南 北 | 精装|高楼层(共6层)  2002年建板楼  -  |东关|325万|单价20098元/平米
昌平|东关|昌盛园二区 南北通透三居室采光充足 视野好|昌盛园二区| | 3室2厅 | 162平米 | 南 北 | 其他|中楼层(共22层)  2004年建板塔结合  -  |东关|340万|单价20988元/平米
昌平|东关|宁馨苑小区  南北通透 三居室 低楼层  采光好|宁馨苑| | 3室2厅 | 106.43平米 | 南 北 | 简装|低楼层(共6层)  2003年建板楼  -  |东关|300万|单价28188元/平米
昌平|东关|清秀园北区 满五唯一 南北通透 视野宽阔|清秀园北区| | 3室2厅 | 136平米 | 南 北 | 其他|高楼层(共6层)  1996年建板楼  -  |东关|410万|单价30148元/平米
昌平|东关|北京风景 大三居 南北通透 电梯房|北京风景| | 3室2厅 | 116平米 | 南 北 | 精装|高楼层(共6层)  2013年建板楼  -  |东关|395万|单价34052元/平米
昌平|东关|富泉花园联排别墅 精装修 带独立车库 诚心出售|富泉花园| | 4室3厅 | 299.14平米 | 南 北 | 精装|低楼层(共3层)  2001年建板楼  -  |东关|710万|单价23735元/平米
昌平|东关|满两年原值高无增值税和个税南北通透精装修可上昌盛园|京科苑| | 3室1厅 | 115平米 | 南 北 | 精装|高楼层(共6层)  1998年建板楼  -  |东关|275万|单价23914元/平米
昌平|东关|昌盛园四区 复式四居室 南北通透|昌盛园四区| | 4室3厅 | 235平米 | 南 北 | 其他|高楼层(共6层)    -  |东关|450万|单价19149元/平米
昌平|东关|京科苑南北通透三居室 满五唯一 精装修|京科苑| | 3室2厅 | 120平米 | 南 北 | 精装|高楼层(共6层)  1998年建板楼  -  |东关|330万|单价27500元/平米
昌平|东关|东关北里小三居 南北通透 满五年唯一|东关北里小区| | 3室1厅 | 111.8平米 | 南 北 | 简装|中楼层(共7层)  2000年建板楼  -  |东关|280万|单价25045元/平米
昌平|东关|宁馨苑电梯房南北通透两居商品房紧邻地铁|宁馨苑| | 2室1厅 | 97.59平米 | 南 北 | 简装|中楼层(共17层)  2003年建板楼  -  |东关|285万|单价29204元/平米
昌平|东关|京科苑 南北通透2居  满五唯一  免税|京科苑| | 2室1厅 | 82.64平米 | 南 北 | 其他|低楼层(共7层)  2001年建板楼  -  |东关|231万|单价27953元/平米
昌平|东关|宁馨苑 临近地铁昌平线东关站 电梯两居室|宁馨苑| | 2室1厅 | 75平米 | 西南 | 精装|中楼层(共17层)  2003年建板楼  -  |东关|252万|单价33600元/平米
昌平|东关|畅椿阁 高档小区 电梯房 南北户型 精装修|畅椿阁| | 2室2厅 | 138平米 | 南 北 | 精装|高楼层(共18层)  2009年建板塔结合  -  |东关|380万|单价27537元/平米
昌平|东关|北京风景，精装修三居室。板楼电梯房，满两年|北京风景| | 3室2厅 | 129.62平米 | 南 北 | 其他|高楼层(共5层)  2013年建板楼  -  |东关|380万|单价29317元/平米
昌平|东关|水关新村 2室1厅 185万|水关新村| | 2室1厅 | 65.26平米 | 南 | 简装|高楼层(共6层)  2000年建板楼  -  |东关|185万|单价28349元/平米
昌平|东关|东关北里小区 3室1厅 280万|东关北里小区| | 3室1厅 | 119平米 | 东 西 | 精装|中楼层(共7层)  2001年建板楼  -  |东关|280万|单价23530元/平米
昌平|东关|昌盛园  精装3居  南北通透  电梯楼  满五唯一|昌盛园二区| | 3室2厅 | 162平米 | 南 北 | 精装|低楼层(共22层)  2004年建板塔结合  -  |东关|350万|单价21605元/平米
昌平|东关|燕平家园 中间楼层 南北通透 格局方正|燕平家园| | 2室1厅 | 68.96平米 | 南 北 | 其他|中楼层(共6层)  1995年建  -  |东关|210万|单价30453元/平米
昌平|东关|京科苑 南北三通透 三阳开泰格局 精装修|京科苑| | 3室2厅 | 120.23平米 | 南 北 | 精装|高楼层(共6层)  1998年建板楼  -  |东关|265万|单价22042元/平米
昌平|东关|京科苑 南北通透户型 精装修 小区环境好 满两年|京科苑| | 2室2厅 | 106平米 | 南 北 | 精装|高楼层(共6层)  1998年建板楼  -  |东关|245万|单价23114元/平米
昌平|东关|东关南里 南北通透两居室 稀缺户型|东关南里小区| | 2室1厅 | 87.42平米 | 南 北 | 其他|高楼层(共6层)  2001年建板楼  -  |东关|220万|单价25166元/平米
昌平|东关|清秀园南区+满两年+精装修+顶层可做阁楼|清秀园南区| | 2室2厅 | 78.59平米 | 南 北 | 精装|高楼层(共7层)  2003年建板楼  -  |东关|200万|单价25449元/平米
昌平|东关|京科苑 满二年 南北通透 黄金楼层 大两居|京科苑| | 2室2厅 | 120.8平米 | 南 北 | 精装|中楼层(共6层)  1998年建板楼  -  |东关|280万|单价23179元/平米
昌平|东关|满五唯一两居室 电梯房 居住舒适|清秀园北区| | 2室1厅 | 87.87平米 | 西 北 | 其他|中楼层(共19层)  2003年建塔楼  -  |东关|195万|单价22192元/平米
昌平|东关|此房满五唯一，南北通透4居室，精装修|昌盛园一区| | 4室2厅 | 193平米 | 南 北 | 精装|高楼层(共6层)    -  |东关|400万|单价20726元/平米
昌平|东关|东关南里小区+南北通透户型+中等装修|东关南里小区| | 3室2厅 | 105.8平米 | 南 北 | 简装|低楼层(共6层)  1998年建板楼  -  |东关|285万|单价26938元/平米
昌平|东关|畅椿阁，黄金4层，满二年，正规南北向两居！|畅椿阁| | 2室1厅 | 54.99平米 | 南 北 | 简装|中楼层(共5层)  2009年建板楼  -  |东关|160万|单价29097元/平米
昌平|东关|东关北里小区 南北两居 小区中间位置 生活配套齐全|东关北里小区| | 2室1厅 | 70.75平米 | 南 北 | 精装|高楼层(共6层)  1993年建板楼  -  |东关|185万|单价26149元/平米
昌平|东关|富泉花园  满五唯一  精装修|富泉花园| | 4室2厅 | 301平米 | 南 北 | 其他|低楼层(共3层)  2001年建  -  |东关|780万|单价25914元/平米
昌平|东关|亢山佳园  正规四居  南北通透|亢山佳园小区| | 4室2厅 | 181.46平米 | 南 北 | 其他|高楼层(共6层)    -  |东关|398万|单价21934元/平米
昌平|东关|富泉花园 满五唯一 免税  复式房|富泉花园| | 4室1厅 | 238平米 | 南 北 | 精装|中楼层(共4层)  2001年建板楼  -  |东关|650万|单价27311元/平米
昌平|东关|昌平清秀园北区  电梯房中楼层一居室|清秀园北区| | 1室1厅 | 54.94平米 | 东 | 精装|中楼层(共19层)  2003年建塔楼  -  |东关|150万|单价27303元/平米
昌平|东关|东关南里小区+南北通透+三居室|东关南里小区| | 3室2厅 | 148.5平米 | 南 北 | 其他|高楼层(共6层)  2001年建板楼  -  |东关|325万|单价21886元/平米
昌平|东关|昌盛园一区 南北通透三居室 满五唯一|昌盛园一区| | 3室2厅 | 142.93平米 | 南 北 | 精装|高楼层(共6层)  2002年建板楼  -  |东关|305万|单价21340元/平米
昌平|东关|昌盛园四区 大三居 黄金楼层 满五唯一|昌盛园四区| | 3室1厅 | 158平米 | 南 北 | 精装|中楼层(共6层)    -  |东关|420万|单价26583元/平米
昌平|东关|建安里（肆维花园）南北通透黄金楼层大四居电梯地铁房|建安里小区| | 4室2厅 | 168.26平米 | 南 北 | 精装|低楼层(共11层)  2003年建板楼  -  |东关|420万|单价24962元/平米
昌平|东关|东关二条南北通透小两居  临近地铁出行方便|东关二条| | 2室2厅 | 73平米 | 南 北 | 简装|高楼层(共6层)  1993年建板楼  -  |东关|180万|单价24658元/平米
昌平|东关|世涛天朗 送30平阁楼 20平地下室南北双通透昌盛园小学|昌盛园三区| | 2室2厅 | 106平米 | 南 北 | 精装|高楼层(共6层)  2005年建板楼  -  |东关|298万|单价28114元/平米
昌平|东关|水关新村     南北通透中楼层三居  |水关新村| | 3室1厅 | 65.33平米 | 南 北 | 简装|高楼层(共6层)  1994年建板楼  -  |东关|180万|单价27553元/平米
昌平|东关|果岭小镇 南北通透三居室 毛坯赠送地下室 |果岭小镇| | 3室2厅 | 139.9平米 | 南 北 | 毛坯|高楼层(共5层)  2005年建板楼  -  |东关|385万|单价27520元/平米
昌平|东关|东关南里小区 2室1厅 196万|东关南里小区| | 2室1厅 | 61.03平米 | 南 北 | 其他|高楼层(共6层)  1999年建板楼  -  |东关|196万|单价32116元/平米
昌平|东关|南北小两居  精装修  可直接拎包入住|水关新村| | 2室1厅 | 65.24平米 | 南 北 | 简装|高楼层(共6层)  1993年建板楼  -  |东关|185万|单价28357元/平米
昌平|东关|水关新村 2室1厅 220万|水关新村| | 2室1厅 | 95.9平米 | 东 西 | 简装|中楼层(共6层)  1998年建板楼  -  |东关|220万|单价22941元/平米
昌平|东关|水关新村 2室2厅 270万|水关新村| | 2室2厅 | 92.5平米 | 南 北 | 简装|低楼层(共6层)  1998年建板楼  -  |东关|270万|单价29190元/平米
昌平|东关|昌盛园二区 3室2厅 330万|昌盛园二区| | 3室2厅 | 161.82平米 | 南 北 | 精装|中楼层(共22层)  2004年建板塔结合  -  |东关|330万|单价20394元/平米
昌平|东关|满五唯一 精装修 黄金楼层 南北通透|水关新村| | 3室2厅 | 134.58平米 | 南 北 | 简装|中楼层(共4层)  1994年建板楼  -  |东关|360万|单价26750元/平米
昌平|东关|金隅澜湾私家电梯入户景观棒空气好位置棒 六个露台|金隅澜湾| | 4室2厅 | 292.5平米 | 南 西 北 | 毛坯|高楼层(共6层)  2015年建  -  |东关|1138万|单价38906元/平米
昌平|东关|建安里电梯地铁房，南北通透四居|建安里小区| | 4室2厅 | 160.3平米 | 南 北 | 其他|高楼层(共11层)  2003年建板楼  -  |东关|400万|单价24954元/平米
昌平|东关|京科苑 2室1厅 168万|京科苑| | 2室1厅 | 67平米 | 南 西 北 | 其他|高楼层(共7层)  2001年建板楼  -  |东关|168万|单价25075元/平米
昌平|东关|电梯房，中层，三大卧室，主朝向南，采光好，满五唯一|建安里小区| | 3室2厅 | 116平米 | 西南 北 | 其他|中楼层(共11层)  2003年建板楼  -  |东关|310万|单价26725元/平米
昌平|东关|建安里，电梯房，三居室，南北通透。|建安里小区| | 3室1厅 | 121.2平米 | 南 北 | 其他|高楼层(共11层)  2003年建板楼  -  |东关|400万|单价33004元/平米
昌平|东关|福地家园三居室诚意出售 临近地铁 南北通透|福地家园| | 3室2厅 | 138.92平米 | 南 北 | 简装|高楼层(共6层)  2000年建板楼  -  |东关|325万|单价23395元/平米
昌平|东关|东关南里小区+复式楼+南北通透户型|东关南里小区| | 4室1厅 | 160.21平米 | 南 北 | 简装|中楼层(共6层)  1998年建板楼  -  |东关|300万|单价18726元/平米
昌平|东关|建安里小区  全南向一居室  黄金楼层 |建安里小区| | 1室1厅 | 51平米 | 南 | 简装|中楼层(共6层)  1995年建板楼  -  |东关|160万|单价31373元/平米
昌平|东关|东关北里大三居，附近有三街小学，昌平一中|东关北里小区| | 3室2厅 | 129平米 | 南 北 | 简装|高楼层(共6层)  1998年建板楼  -  |东关|280万|单价21706元/平米
昌平|东关|宁馨苑小区 大三居室 紧邻地铁 带电梯|宁馨苑| | 3室2厅 | 157平米 | 东 西 | 其他|中楼层(共17层)  2003年建板楼  -  |东关|350万|单价22293元/平米
昌平|东关|金隅观澜时代，精装南北正规三居，赠送阳光房，飘窗！|金隅观澜时代| | 3室2厅 | 130.78平米 | 南 北 | 精装|高楼层(共21层)  2012年建  -  |东关|432万|单价33033元/平米
昌平|东关|京科苑 两室一厅 全南向 简单装修|京科苑| | 2室1厅 | 65.96平米 | 南 | 简装|高楼层(共6层)  2002年建板楼  -  |东关|179万|单价27138元/平米
昌平|东关|清秀园北区+正规两居室+南北通透|清秀园北区| | 2室1厅 | 73.64平米 | 南 北 | 其他|中楼层(共6层)  1994年建板楼  -  |东关|215万|单价29197元/平米
昌平|东关|北京风景 高端小区  精装修三居室  |北京风景| | 3室2厅 | 116.9平米 | 南 北 | 精装|未知楼层(共6层)  2013年建板楼  -  |东关|375万|单价32079元/平米
昌平|东关|东关南里小区 3室1厅 245万|东关南里小区| | 3室1厅 | 77.89平米 | 南 北 | 精装|低楼层(共6层)  1999年建板楼  -  |东关|245万|单价31455元/平米
昌平|东关|京科苑 精装3居 南北通透  黄金楼层|京科苑| | 3室2厅 | 146.66平米 | 南 北 | 精装|中楼层(共6层)  1998年建板楼  -  |东关|370万|单价25229元/平米
昌平|东关|宁馨苑 电梯房 三居室 南北通透格局|宁馨苑| | 3室2厅 | 160.09平米 | 南 北 | 简装|高楼层(共11层)  2003年建板楼  -  |东关|338万|单价21114元/平米
昌平|东关|建安里 带露台 景观好 视野好 大两居  |建安里小区| | 2室2厅 | 127平米 | 南 北 | 简装|低楼层(共11层)  2003年建板楼  -  |东关|290万|单价22835元/平米
昌平|东关|昌盛园三区 正规三居室 精装修 带飘窗|昌盛园三区| | 3室2厅 | 138.99平米 | 南 北 | 精装|中楼层(共6层)  2005年建板楼  -  |东关|390万|单价28060元/平米
昌平|东关|昌盛园一区 2室1厅 253万|昌盛园一区| | 2室1厅 | 87.12平米 | 南 | 其他|高楼层(共16层)  2004年建板塔结合  -  |东关|253万|单价29041元/平米
昌平|东关|随园一个房本南北通透幸福错落带电梯|随园| | 3室2厅 | 135平米 | 南 北 | 简装|中楼层(共8层)  2009年建板楼  -  |东关|410万|单价30371元/平米
昌平|东关|宁馨苑 南北通透的三居室 临近地铁昌平线 |宁馨苑| | 3室1厅 | 130平米 | 南 北 | 简装|高楼层(共6层)  2003年建板楼  -  |东关|280万|单价21539元/平米
昌平|东关|昌平果岭小镇，联排别墅，南北通透|果岭小镇| | 4室2厅 | 262平米 | 南 北 | 精装|低楼层(共1层)  2006年建  -  |东关|800万|单价30535元/平米
昌平|东关|金隅观澜  东西双通透两居 经典户型|金隅观澜时代| | 2室2厅 | 93.35平米 | 东 西 | 精装|低楼层(共21层)  2012年建  -  |东关|300万|单价32138元/平米
昌平|东关|京科苑  3、4复式 南北通透  4居室  |京科苑| | 4室2厅 | 214平米 | 南 北 | 精装|中楼层(共4层)  2000年建  -  |东关|520万|单价24300元/平米
昌平|东关|东关南里 一居室 中间楼层 满五年|东关南里小区| | 1室1厅 | 40.38平米 | 南 北 | 简装|中楼层(共7层)  2001年建板楼  -  |东关|130万|单价32195元/平米
昌平|东关|装修好+两室两厅两卫+地理位置好+双阳台|东关北里小区| | 2室2厅 | 117平米 | 东南 | 精装|高楼层(共7层)  2001年建板楼  -  |东关|265万|单价22650元/平米
昌平|东关|东关南里小区 南北通透 经典三居室 |东关南里小区| | 3室2厅 | 150.44平米 | 南 北 | 其他|高楼层(共6层)  1998年建板楼  -  |东关|285万|单价18945元/平米
昌平|东关|京科苑南北双通透 三居室 精装修 全明格局|京科苑| | 3室2厅 | 120平米 | 南 北 | 精装|高楼层(共6层)  1998年建板楼  -  |东关|300万|单价25000元/平米
昌平|东关|亢山家园南北通透精装三居室，视野好|亢山佳园小区| | 3室2厅 | 129.85平米 | 南 北 | 精装|高楼层(共6层)    -  |东关|302万|单价23258元/平米
昌平|东关|东关南里 经典复式 开泰户型 宽敞入住|东关南里小区| | 4室3厅 | 183平米 | 南 北 | 其他|中楼层(共6层)  2001年建板楼  -  |东关|400万|单价21858元/平米
昌平|东关|京科苑  东南朝向2居  黄金楼层  全明格局|京科苑| | 2室1厅 | 85.4平米 | 东南 | 其他|中楼层(共6层)  1994年建塔楼  -  |东关|200万|单价23420元/平米
昌平|东关|随园 顶层可做阁楼户型 地铁房 看房方便|随园| | 3室2厅 | 139平米 | 南 北 | 简装|高楼层(共9层)  2009年建板楼  -  |东关|360万|单价25900元/平米
昌平|东关|宁馨苑 6居室 南北通透 临近地铁昌平东关站|宁馨苑| | 6室2厅 | 267平米 | 南 北 | 精装|高楼层(共11层)  2003年建板楼  -  |东关|530万|单价19851元/平米
