通州|北关|精装南北两居 满五唯一 看房有钥匙 诚意售|富河园| | 2室1厅 | 70.1平米 | 南 北 | 精装|高楼层(共6层)  1995年建板楼  -  |北关|280万|单价39943元/平米
通州|管庄|柏林爱乐满五唯一精装西向一居自住保持好|柏林爱乐一期| | 1室1厅 | 59平米 | 西 | 精装|高楼层(共11层)  2003年建板楼  -  |管庄|280万|单价47458元/平米
通州|管庄|满五年唯一，黄金楼层，东西跃层两居，精装修|柏林爱乐二期| | 2室1厅 | 101.66平米 | 东 西 | 精装|中楼层(共11层)  2004年建板楼  -  |管庄|450万|单价44266元/平米
通州|管庄|北京新天地 双阳台 全南向 阳光居室 满五年唯一|北京新天地| | 2室2厅 | 104.88平米 | 南 | 精装|高楼层(共28层)  2004年建板塔结合  -  |管庄|450万|单价42907元/平米
通州|管庄|管庄 建东苑 满两年精装商品房 南北双通透 学区房 |建东苑| | 2室1厅 | 87.37平米 | 南 北 | 精装|低楼层(共6层)  2003年建板楼  -  |管庄|350万|单价40060元/平米
通州|管庄|建东苑 03年通透一居 重点学区房 地铁6号线 |建东苑| | 1室1厅 | 65.66平米 | 东 西 | 简装|高楼层(共6层)  2003年建板楼  -  |管庄|200万|单价30460元/平米
通州|管庄|柏林爱乐满五唯一，紧邻地铁，复式结构|柏林爱乐二期| | 3室2厅 | 188平米 | 东 南 | 简装|中楼层(共22层)  2004年建塔楼  -  |管庄|728万|单价38724元/平米
通州|管庄|管庄 华龙美树 满五年唯一商品房 南北双通透 诚心出售|华龙美树| | 2室2厅 | 101平米 | 南 北 | 简装|中楼层(共18层)  2005年建板楼  -  |管庄|420万|单价41585元/平米
通州|管庄|低密度社区、正规两居、满五年唯一|瑞祥里| | 2室1厅 | 88.73平米 | 东北 | 简装|中楼层(共10层)  2006年建板楼  -  |管庄|288万|单价32459元/平米
通州|管庄|6号线地铁房常营 满五唯一 诚意出售|住欣家园| | 1室1厅 | 50.25平米 | 南 | 精装|低楼层(共21层)  2010年建塔楼  -  |管庄|170万|单价33831元/平米
通州|管庄|住欣家园满五唯一自住房 中高层两居|住欣家园| | 2室1厅 | 91平米 | 西北 | 精装|中楼层(共22层)  2010年建塔楼  -  |管庄|260万|单价28572元/平米
通州|管庄|6号线 常营站 中间位置 满五年唯一|北京新天地| | 1室1厅 | 62.3平米 | 北 | 简装|高楼层(共27层)  2010年建板塔结合  -  |管庄|268万|单价43018元/平米
通州|管庄|柏林三期 精装南北通透三居室 满五年唯一 换房诚售|柏林爱乐三期| | 3室2厅 | 113.43平米 | 南 北 | 精装|高楼层(共11层)  2007年建板楼  -  |管庄|535万|单价47166元/平米
通州|管庄|柏林爱乐 满五唯一平层大四居 赠90平露台 豪华装修|柏林爱乐二期| | 4室2厅 | 259平米 | 南 西 北 | 精装|高楼层(共22层)  2004年建塔楼  -  |管庄|950万|单价36680元/平米
通州|管庄|经典南北复式 送40平露台  楼王位置  精心装修|柏林爱乐三期| | 3室2厅 | 150.49平米 | 南 北 | 精装|高楼层(共8层)  2007年建板楼  -  |管庄|735万|单价48841元/平米
通州|管庄|杨闸环岛东北角西军庄，南北通透双卫，满五唯一商品房|西军庄| | 2室1厅 | 101平米 | 南 北 | 精装|高楼层(共6层)  2006年建板楼  -  |管庄|380万|单价37624元/平米
通州|管庄|地铁六号线草房 低总价南向一居室|住欣家园| | 1室1厅 | 50.25平米 | 南 | 简装|中楼层(共21层)  2010年建塔楼  -  |管庄|165万|单价32836元/平米
通州|管庄|新天地全南向两居 满五唯一 带露台 业主诚售|北京新天地| | 2室2厅 | 100.13平米 | 南 | 简装|低楼层(共28层)  2004年建板塔结合  -  |管庄|435万|单价43444元/平米
通州|管庄|建东苑 东南北紧凑小三居 中间楼层 满五年唯一|建东苑| | 3室2厅 | 88.99平米 | 东 南 北 | 精装|高楼层(共6层)  2000年建板楼  -  |管庄|335万|单价37645元/平米
通州|管庄|满五年唯一免税房 诚意出售 拎包入住 |柏林爱乐二期| | 2室1厅 | 100.67平米 | 南 | 精装|高楼层(共22层)  2005年建塔楼  -  |管庄|435万|单价43211元/平米
通州|管庄|尚东阁 满五唯一商品房 高楼层 一改二居带装修 |尚东阁| | 2室1厅 | 83平米 | 东 北 | 精装|高楼层(共18层)  2009年建板塔结合  -  |管庄|325万|单价39157元/平米
通州|管庄|尚东阁 南向一居室 低总价 采光好 可上朝阳实验二小|尚东阁| | 1室0厅 | 65平米 | 南 | 简装|低楼层(共18层)  2009年建板塔结合  -  |管庄|256万|单价39385元/平米
通州|管庄|南北双通透，三居两卫，非常棒的户型，中间楼层|朝通嘉园| | 3室2厅 | 114.34平米 | 南 北 | 精装|中楼层(共6层)  2003年建板楼  -  |管庄|321万|单价28075元/平米
通州|管庄|管庄西里 满五唯一 中间楼层 重点学区|管庄西里| | 2室1厅 | 72.86平米 | 南 北 | 简装|中楼层(共6层)  2000年建板楼  -  |管庄|280万|单价38430元/平米
通州|管庄|京通苑 满五年唯一 高楼层 采光好 地铁房 学区房|京通苑| | 2室1厅 | 84平米 | 东 | 简装|高楼层(共24层)  2003年建塔楼  -  |管庄|320万|单价38096元/平米
通州|管庄|精装开间 业主已经改好一居 免税|柏林爱乐二期| | 1室0厅 | 49.16平米 | 北 | 精装|中楼层(共21层)  2005年建塔楼  -  |管庄|220万|单价44752元/平米
通州|管庄|管庄北一里 一层带小院 实验二小学区房|管庄北一里| | 2室1厅 | 75.5平米 | 南 北 | 毛坯|低楼层(共6层)  1998年建板楼  -  |管庄|280万|单价37087元/平米
通州|管庄|尚东阁豪装东向大一居 满五年唯一学区房|尚东阁| | 1室1厅 | 66.4平米 | 东 | 精装|中楼层(共16层)  2009年建板塔结合  -  |管庄|300万|单价45181元/平米
通州|管庄|管庄西里 满五唯一 南北通透 学区房|管庄西里| | 3室1厅 | 128平米 | 南 北 | 简装|高楼层(共6层)  2000年建板楼  -  |管庄|400万|单价31250元/平米
通州|管庄|满五年唯一 免税 业主诚心出售|北京新天地| | 1室1厅 | 60.71平米 | 北 | 简装|低楼层(共28层)  2004年建板塔结合  -  |管庄|253万|单价41674元/平米
通州|管庄|满五唯一 京通苑带落地窗两居带学区地铁|京通苑| | 2室1厅 | 86.22平米 | 东南 | 简装|低楼层(共24层)  2003年建塔楼  -  |管庄|335万|单价38855元/平米
通州|管庄|管庄京通苑公寓式管理满五年唯一 西北全明三居室|京通苑| | 3室1厅 | 122.45平米 | 西 北 | 精装|中楼层(共18层)  2002年建塔楼  -  |管庄|390万|单价31850元/平米
通州|管庄|建东苑东北向一居室，商品房双阳台采光好。|建东苑| | 1室1厅 | 62.46平米 | 东北 | 简装|低楼层(共6层)  2000年建板楼  -  |管庄|230万|单价36824元/平米
通州|管庄|建东苑东西两居 户型正气 满五唯一 商品房！|建东苑| | 2室1厅 | 91.92平米 | 东 西 | 精装|高楼层(共6层)  2003年建板楼  -  |管庄|310万|单价33725元/平米
通州|管庄|京通苑内环经典东南两居室，满五唯一|京通苑| | 2室1厅 | 108.47平米 | 东 南 | 简装|低楼层(共21层)  2001年建塔楼  -  |管庄|350万|单价32267元/平米
通州|管庄|烟厂宿舍 南北两居 满五唯一  朝阳实验二小学区房|烟厂宿舍| | 2室1厅 | 61.24平米 | 南 北 | 简装|高楼层(共6层)  1987年建板楼  -  |管庄|240万|单价39191元/平米
通州|管庄|北京新天地 东北全明两居 正对小区中心花园|北京新天地| | 2室2厅 | 88.04平米 | 东北 | 精装|中楼层(共28层)  2009年建板塔结合  -  |管庄|378万|单价42936元/平米
通州|管庄|荟康苑 满五唯一免税 南北通透 地铁6号线黄渠站|荟康苑| | 2室2厅 | 105.34平米 | 南 北 | 简装|高楼层(共7层)  1996年建板楼  -  |管庄|350万|单价33226元/平米
通州|管庄|满五唯一，高层，采光好，无遮挡。|汇鸿家园| | 3室1厅 | 93.5平米 | 西北 | 精装|高楼层(共9层)  2004年建板塔结合  -  |管庄|338万|单价36150元/平米
通州|管庄|南北通透复式户型 宽敞明亮 满五唯一|万方家园| | 4室1厅 | 157.85平米 | 南 北 | 毛坯|高楼层(共6层)  2006年建板楼  -  |管庄|460万|单价29142元/平米
通州|管庄|汇鸿家园，东北小三居，业主诚心出售，满五年唯一|汇鸿家园| | 3室2厅 | 93.5平米 | 东北 | 精装|低楼层(共9层)  2005年建板塔结合  -  |管庄|340万|单价36364元/平米
通州|管庄|柏林爱乐2居满五唯一，随时可看，低总价邻地铁六号线|柏林爱乐二期| | 2室1厅 | 131.64平米 | 西北 | 简装|低楼层(共22层)  2004年建塔楼  -  |管庄|420万|单价31906元/平米
通州|管庄|免税 大两居室 精装修 诚意出售|柏林爱乐二期| | 2室2厅 | 123平米 | 西北 | 精装|中楼层(共19层)  2004年建塔楼  -  |管庄|420万|单价34147元/平米
通州|管庄|汇鸿家园，高层，采光好，无遮挡，南北三居室。|汇鸿家园| | 3室1厅 | 101.29平米 | 南 北 | 简装|低楼层(共17层)  2004年建板塔结合  -  |管庄|358万|单价35345元/平米
通州|管庄|京通苑小区东南两居，满五唯一，业主诚意出售|京通苑| | 2室1厅 | 84.06平米 | 东 南 | 简装|高楼层(共24层)  2003年建塔楼  -  |管庄|300万|单价35689元/平米
通州|管庄|华龙美树 南北通透大三居 满五唯一 楼层好 近地铁|华龙美树| | 3室1厅 | 133.04平米 | 南 北 | 简装|中楼层(共18层)  2005年建板楼  -  |管庄|535万|单价40214元/平米
通州|管庄|满五年唯一   商品房  带阁楼  地铁房 |万方家园| | 2室1厅 | 79.33平米 | 南 北 | 简装|高楼层(共6层)  2006年建板楼  -  |管庄|335万|单价42229元/平米
通州|管庄|尚东阁 西北向带装修一居 满五唯一商品房 中间层|尚东阁| | 1室1厅 | 85.42平米 | 西北 | 精装|中楼层(共18层)  2009年建板塔结合  -  |管庄|322万|单价37697元/平米
通州|管庄|西南户型两居室 免税 低楼层 无遮挡视野好|北京新天地| | 2室1厅 | 98.86平米 | 西南 | 其他|低楼层(共28层)  2009年建板塔结合  -  |管庄|420万|单价42485元/平米
通州|管庄|朝阳二外附中学区正规两居室，满五唯一|京通苑| | 2室2厅 | 98.02平米 | 西 | 简装|低楼层(共24层)  1998年建塔楼  -  |管庄|286万|单价29178元/平米
通州|管庄|通州区，朝通嘉园，南北通透，三居室|朝通嘉园| | 3室2厅 | 121平米 | 南 北 | 简装|高楼层(共6层)  2003年建板楼  -  |管庄|315万|单价26034元/平米
通州|管庄|北京新天地北向一居，户型方正,高楼层，不临街|北京新天地| | 1室1厅 | 61.03平米 | 北 | 精装|高楼层(共27层)  2009年建板塔结合  -  |管庄|260万|单价42602元/平米
通州|管庄|房子是精装修，满二年，原值115万，东南向|京通苑| | 1室1厅 | 63.44平米 | 东南 | 精装|低楼层(共24层)  2000年建塔楼  -  |管庄|230万|单价36255元/平米
通州|管庄|馨岛苑西北两居 正对小区 电梯房 适宜居住|馨岛苑| | 2室1厅 | 88.15平米 | 西 北 | 简装|低楼层(共11层)  2008年建板塔结合  -  |管庄|300万|单价34033元/平米
通州|管庄|建东苑南北两居室 精装修 满五唯一|建东苑| | 2室1厅 | 87.87平米 | 东 西 | 简装|中楼层(共6层)  2003年建板楼  -  |管庄|320万|单价36418元/平米
通州|管庄|管庄 瑞祥里 南北通透 满五年唯一|瑞祥里| | 2室1厅 | 86.8平米 | 南 北 | 简装|低楼层(共10层)  2006年建板楼  -  |管庄|305万|单价35139元/平米
通州|管庄|管庄西里 南向两居室 直升八十中 低楼层 学区房|管庄西里| | 2室1厅 | 54平米 | 南 | 精装|低楼层(共5层)  1982年建板楼  -  |管庄|220万|单价40741元/平米
通州|管庄|柏林爱乐南北通透两居室  满五唯一  免税房 |柏林爱乐四期| | 2室1厅 | 95平米 | 南 北 | 精装|低楼层(共15层)  2008年建板楼  -  |管庄|408万|单价42948元/平米
通州|管庄|柏林爱乐四期 东南向大一居 适合改两居 精装满五年|柏林爱乐四期| | 1室1厅 | 72.5平米 | 东南 | 精装|高楼层(共21层)  2008年建板楼  -  |管庄|310万|单价42759元/平米
通州|管庄|住欣两居 首付高税费高 适合全款|住欣家园| | 2室1厅 | 71.5平米 | 西 | 精装|高楼层(共21层)  2010年建塔楼  -  |管庄|219万|单价30630元/平米
通州|管庄|住欣家园精装大两居   业主诚心出售|住欣家园| | 2室1厅 | 89.52平米 | 西南 | 精装|低楼层(共26层)  2010年建塔楼  -  |管庄|265万|单价29603元/平米
通州|管庄|地铁6号草房站满五年唯一住房业主诚心卖随时看房|住欣家园| | 3室2厅 | 88.6平米 | 西北 | 精装|高楼层(共28层)  2010年建塔楼  -  |管庄|259万|单价29233元/平米
通州|管庄|六号线常营  满五年唯一 全南阳光房 楼层好视野开阔|北京新天地| | 2室1厅 | 100.13平米 | 南 | 精装|高楼层(共28层)  2004年建板塔结合  -  |管庄|425万|单价42445元/平米
通州|管庄|尚东阁 南向 楼龄新 贷款30年 全明格局 学区房|尚东阁| | 1室0厅 | 68.5平米 | 南 | 精装|低楼层(共18层)  2009年建板塔结合  -  |管庄|255万|单价37227元/平米
通州|管庄|住欣家园   婚房装修   中间楼层  |住欣家园| | 2室1厅 | 89平米 | 西北 | 精装|中楼层(共26层)  2010年建塔楼  -  |管庄|265万|单价29776元/平米
通州|管庄|阳光洒满屋 03年建成 落地阳台 24小时保安 |京通苑| | 2室2厅 | 96.36平米 | 南 | 精装|低楼层(共19层)  2003年建塔楼  -  |管庄|340万|单价35285元/平米
通州|管庄|地铁6号草房站满五年唯一的一类经济适用业主诚心卖|住欣家园| | 2室0厅 | 71平米 | 东南 | 简装|高楼层(共26层)  2010年建塔楼  -  |管庄|215万|单价30282元/平米
通州|管庄|尚东阁 09年新房 有电梯 明厨明卫 有学区名额|尚东阁| | 1室2厅 | 82.19平米 | 东北 | 简装|低楼层(共18层)  2009年建板塔结合  -  |管庄|290万|单价35285元/平米
通州|管庄|柏林二期南北复式4居，送60平露台，装修好，诚心出售|柏林爱乐二期| | 4室2厅 | 176平米 | 南 北 | 精装|高楼层(共8层)  2004年建板楼  -  |管庄|815万|单价46307元/平米
通州|管庄|管庄西里 满五唯一 学区房 电梯房|管庄西里| | 1室1厅 | 65.24平米 | 西 | 简装|中楼层(共24层)  2000年建塔楼  -  |管庄|233万|单价35715元/平米
通州|管庄|柏林爱乐板楼一居 满五唯一 户型方正|柏林爱乐一期| | 1室1厅 | 65.91平米 | 东 | 精装|低楼层(共11层)  2003年建板楼  -  |管庄|288万|单价43696元/平米
通州|管庄|北京新天地 东南两居 满五年唯一|北京新天地| | 2室2厅 | 98.86平米 | 西南 | 简装|高楼层(共28层)  2009年建板塔结合  -  |管庄|425万|单价42991元/平米
通州|管庄|鑫兆家园 社区中间不临街 经典户型 随时看房|柏林爱乐二期| | 2室1厅 | 103平米 | 南 北 | 简装|低楼层(共10层)  2004年建板楼  -  |管庄|445万|单价43204元/平米
通州|管庄|草房站 住欣家园稀缺商品房 精装修 看房方便|住欣家园| | 2室1厅 | 69.51平米 | 西 | 精装|低楼层(共16层)  2010年建板塔结合  -  |管庄|260万|单价37405元/平米
通州|管庄|管庄京通苑 内环两居 二外附小 随时可看！|京通苑| | 2室1厅 | 108.47平米 | 东 南 | 简装|低楼层(共21层)  2001年建塔楼  -  |管庄|305万|单价28119元/平米
通州|管庄|急售两居室 满五年唯一 交通便利 视野佳|住欣家园| | 2室1厅 | 88.9平米 | 东南 东北 | 精装|中楼层(共28层)  2010年建塔楼  -  |管庄|240万|单价26997元/平米
通州|管庄|汇鸿家园 全南两居 户型方正 视野开阔 业主诚售|汇鸿家园| | 2室1厅 | 84平米 | 南 | 精装|中楼层(共18层)  2005年建板楼  -  |管庄|320万|单价38096元/平米
通州|管庄|天街精装新房  黄金楼层 临地铁  临商场 带车位|长楹天街| | 3室2厅 | 141平米 | 南 北 | 精装|中楼层(共18层)  2013年建塔楼  -  |管庄|764万|单价54185元/平米
通州|管庄|京通苑 3室1厅 390万|京通苑| | 3室1厅 | 146.13平米 | 南 西 | 精装|中楼层(共24层)  2000年建塔楼  -  |管庄|390万|单价26689元/平米
通州|管庄|南北通透复式房，满两年，原值高|荟康苑| | 2室2厅 | 102平米 | 南 北 | 简装|高楼层(共6层)  1996年建板楼  -  |管庄|368万|单价36079元/平米
通州|管庄|建东苑 南北通透两居，户型方正，通风采光好。|建东苑| | 2室1厅 | 88.09平米 | 南 北 | 简装|高楼层(共6层)  2003年建板楼  -  |管庄|350万|单价39733元/平米
通州|管庄|实验二小 精装修 可改一居 拎包入住 有钥匙 配合签约|尚东阁| | 1室0厅 | 65平米 | 南 | 精装|中楼层(共18层)  2009年建板塔结合  -  |管庄|256万|单价39385元/平米
通州|管庄|尚东阁 精装修 满五年唯一商品房 一居改两居|尚东阁| | 2室1厅 | 85平米 | 西北 | 精装|低楼层(共18层)  2009年建板塔结合  -  |管庄|300万|单价35295元/平米
通州|管庄|尚东阁西向大一居 满五年唯一  诚心出售|尚东阁| | 1室1厅 | 77.64平米 | 西 | 精装|中楼层(共16层)  2009年建板塔结合  -  |管庄|285万|单价36708元/平米
通州|管庄|商住两用，临近地铁6号线，不限购，看房方便，户型大|上线6号| | 1室1厅 | 81.05平米 | 北 | 精装|中楼层(共15层)  2009年建板塔结合  -  |管庄|190万|单价23443元/平米
通州|管庄|建东苑南北通透正规两居 中间楼层 不临街 满五年唯一|建东苑| | 2室1厅 | 71.2平米 | 南 北 | 简装|高楼层(共6层)  2000年建板楼  -  |管庄|270万|单价37922元/平米
通州|管庄|建东苑东西通透两居 精装修 高楼层视野好|建东苑| | 2室1厅 | 73.16平米 | 东 西 | 精装|高楼层(共6层)  2000年建板楼  -  |管庄|255万|单价34856元/平米
通州|管庄|南北通透，户型稀缺，低价复式三居室。|汇鸿家园| | 3室1厅 | 109.45平米 | 南 北 | 精装|高楼层(共12层)  2005年建板楼  -  |管庄|430万|单价39288元/平米
通州|管庄|商住两用，不限购，可注册。高层，南向开间，采光好。|上线6号| | 1室0厅 | 55平米 | 南 | 简装|中楼层(共15层)  2009年建板塔结合  -  |管庄|121万|单价22000元/平米
通州|管庄|此房业主自住小区塔楼主力户型平层3居室全明格局。|柏林爱乐二期| | 3室2厅 | 143平米 | 东南 | 精装|高楼层(共19层)  2004年建塔楼  -  |管庄|598万|单价41819元/平米
通州|管庄|上线6号 低总价 中间楼层 视野好|上线6号| | 1室0厅 | 51.6平米 | 北 | 精装|中楼层(共15层)  2009年建板塔结合  -  |管庄|102万|单价19768元/平米
通州|管庄|幼儿园到小学都在小区 租金可观减少月供压力|京通苑| | 1室2厅 | 81.14平米 | 西 | 简装|低楼层(共18层)  2002年建塔楼  -  |管庄|280万|单价34509元/平米
通州|管庄|满五年唯一 明厨明卫 简单装修|北京新天地| | 1室2厅 | 66.73平米 | 东北 | 简装|低楼层(共28层)  2009年建板塔结合  -  |管庄|286万|单价42860元/平米
通州|管庄|满五年唯一 南向精装两居 不临街|北京新天地| | 2室2厅 | 93.52平米 | 南 | 精装|低楼层(共28层)  2009年建板塔结合  -  |管庄|411万|单价43948元/平米
通州|管庄|满二年西南向拐角阳台八通线管庄站地铁500米二外附小|京通苑| | 2室1厅 | 91平米 | 南 西 | 简装|低楼层(共24层)  1998年建塔楼  -  |管庄|320万|单价35165元/平米
通州|管庄|北京新天地 邻水观景 满五年唯一 毛坯南北通透三居 |北京新天地| | 3室2厅 | 139.56平米 | 南 北 | 简装|低楼层(共28层)  2009年建板塔结合  -  |管庄|575万|单价41201元/平米
通州|管庄|北京新天地 西北向大一居 宽敞舒适|北京新天地| | 1室2厅 | 62.05平米 | 西北 | 精装|低楼层(共27层)  2009年建板塔结合  -  |管庄|270万|单价43514元/平米
通州|管庄|南北通透两居室，送20平米的花园，楼王位置|柏林爱乐一期| | 2室2厅 | 100.1平米 | 南 北 | 简装|低楼层(共10层)  2003年建板楼  -  |管庄|500万|单价49951元/平米
通州|管庄|柏林爱乐，经典精装一居，黄金楼层|柏林爱乐一期| | 1室1厅 | 56.79平米 | 西 | 精装|高楼层(共11层)  2003年建板楼  -  |管庄|262万|单价46135元/平米
通州|管庄|复式户型  南北通透  可上朝阳实验二小|烟厂宿舍| | 3室2厅 | 95.8平米 | 南 北 | 简装|高楼层(共6层)  1998年建板楼  -  |管庄|314万|单价32777元/平米
通州|管庄|北京新天地小区 精致南向一居室 居家装修 拎包入住|北京新天地| | 1室2厅 | 64.88平米 | 南 | 其他|低楼层(共20层)  2009年建板塔结合  -  |管庄|285万|单价43928元/平米
通州|管庄|上下两层 两梯三户 低密度板楼 满五唯一 高品质复式|华龙美树| | 3室2厅 | 160.51平米 | 南 | 精装|高楼层(共18层)  2005年建板楼  -  |管庄|700万|单价43611元/平米
通州|管庄|柏林爱乐一期底商 投资回报率高 客流量大|柏林爱乐一期| | 1室0厅 | 89.19平米 | 南 北 | 精装|低楼层(共8层)  2003年建板楼  -  |管庄|340万|单价38121元/平米
通州|管庄|柏林爱乐  东西通透  中间楼层|柏林爱乐二期| | 1室1厅 | 65.68平米 | 东 西 | 精装|中楼层(共11层)  2004年建板楼  -  |管庄|299万|单价45524元/平米
通州|管庄|长楹天街全明格局四居室 平层墅感觉 紧邻地铁6号线|长楹天街| | 4室2厅 | 193.39平米 | 东 南 北 | 精装|低楼层(共18层)  2013年建板楼  -  |管庄|1118万|单价57811元/平米
通州|管庄|北京新天地 西南一居 低楼层适合老人居住 精通便利|北京新天地| | 1室1厅 | 66平米 | 南 西 | 精装|低楼层(共26层)  2009年建板塔结合  -  |管庄|265万|单价40152元/平米
通州|管庄|不满两年公房，明厨明卫，紧邻地铁6号线|荟康苑| | 2室1厅 | 65.65平米 | 南 北 | 精装|中楼层(共6层)  1996年建板楼  -  |管庄|250万|单价38081元/平米
通州|管庄|柏林爱乐 温馨婚房 正对花园 临地铁六号线|柏林爱乐三期| | 1室1厅 | 66.64平米 | 西 | 精装|低楼层(共11层)  2007年建板楼  -  |管庄|300万|单价45019元/平米
通州|管庄|管庄京通苑出售满两年原值100万西南正规一居室|京通苑| | 1室1厅 | 63.36平米 | 西南 | 简装|低楼层(共24层)  2000年建塔楼  -  |管庄|210万|单价33144元/平米
通州|管庄|柏林爱乐精装修东西通透复式两居|柏林爱乐二期| | 2室1厅 | 97.87平米 | 东 西 | 精装|中楼层(共11层)  2004年建板楼  -  |管庄|440万|单价44958元/平米
通州|管庄|北京新天地 精致南向开间 自住装修 满两年 诚意出售|北京新天地| | 1室0厅 | 52.98平米 | 南 | 精装|中楼层(共20层)  2009年建板塔结合  -  |管庄|230万|单价43413元/平米
通州|管庄|京通苑内环东南两居室，业主诚意出售|京通苑| | 2室2厅 | 108.61平米 | 东南 | 简装|高楼层(共24层)  2001年建塔楼  -  |管庄|375万|单价34528元/平米
通州|管庄|柏林爱乐 南北双通透二居室  正对小区花园 临近六号线|柏林爱乐二期| | 2室1厅 | 103.07平米 | 南 北 | 简装|中楼层(共10层)  2004年建板楼  -  |管庄|490万|单价47541元/平米
通州|管庄|精装修 南北通透 附带露台，户型合理|荟康苑| | 3室2厅 | 110平米 | 南 北 | 精装|高楼层(共7层)  1996年建板楼  -  |管庄|370万|单价33637元/平米
通州|管庄|长楹天街  地铁四居室 精装修|长楹天街| | 4室2厅 | 188平米 | 南 北 | 精装|中楼层(共18层)  2013年建塔楼  -  |管庄|975万|单价51862元/平米
通州|管庄|柏林爱乐 精装南北平层四居 看房方便|柏林爱乐三期| | 4室2厅 | 213平米 | 南 北 | 精装|中楼层(共13层)  2007年建板楼  -  |管庄|910万|单价42724元/平米
通州|管庄|前后花园，东南落地窗两居，户型好。诚意出售。|北京新天地| | 2室1厅 | 97平米 | 东南 | 简装|中楼层(共28层)  2009年建板塔结合  -  |管庄|400万|单价41238元/平米
通州|管庄|北京新天地 南北通透三居室 双阳台 主卧带独立卫生间|北京新天地| | 3室2厅 | 143.4平米 | 南 北 | 精装|未知楼层(共27层)  2009年建板塔结合  -  |管庄|610万|单价42539元/平米
通州|管庄|柏林爱乐精装小户型诚心出售，步行地铁10分钟|柏林爱乐二期| | 1室0厅 | 58.7平米 | 东 西北 | 精装|高楼层(共24层)  2007年建塔楼  -  |管庄|230万|单价39183元/平米
通州|管庄|满五年已购公房，南北通透，朝阳实验二小，可上八十中|烟厂宿舍| | 2室1厅 | 61平米 | 南 北 | 简装|中楼层(共6层)  1986年建板楼  -  |管庄|260万|单价42623元/平米
通州|管庄|北京新天地满五年北向一居 正对社区花园 |北京新天地| | 1室1厅 | 60.66平米 | 北 | 精装|低楼层(共28层)  2009年建板塔结合  -  |管庄|240万|单价39565元/平米
通州|管庄|通州区 朝通嘉园 南北通透两居室|朝通嘉园| | 2室1厅 | 89.97平米 | 南 北 | 其他|低楼层(共6层)  2003年建板楼  -  |管庄|260万|单价28899元/平米
通州|管庄|精装小三居 满五年唯一 视野好|京通苑| | 3室1厅 | 108.46平米 | 西北 | 其他|高楼层(共24层)  1998年建塔楼  -  |管庄|360万|单价33192元/平米
通州|管庄|柏林爱乐 南北通透 格局方正 交通方便 |柏林爱乐三期| | 2室1厅 | 101.83平米 | 南 北 | 简装|低楼层(共8层)  2007年建板楼  -  |管庄|448万|单价43995元/平米
通州|管庄|南北通透两居，交通便利，配套齐全|馨岛苑| | 2室1厅 | 88.1平米 | 南 北 | 其他|中楼层(共11层)  2008年建板塔结合  -  |管庄|300万|单价34053元/平米
通州|管庄|全南开间 可改一居室 无遮挡 采光好|上线6号| | 1室0厅 | 55.03平米 | 南 | 精装|中楼层(共15层)  2009年建板塔结合  -  |管庄|125万|单价22715元/平米
通州|管庄|长楹天街  紧邻地铁6号线  精装四居室|长楹天街| | 4室2厅 | 188平米 | 南 北 | 精装|低楼层(共18层)  2013年建塔楼  -  |管庄|975万|单价51862元/平米
通州|管庄|北京新天地 北向方正一居 居家首选|北京新天地| | 1室1厅 | 60.4平米 | 北 | 简装|低楼层(共28层)  2009年建板塔结合  -  |管庄|258万|单价42716元/平米
通州|管庄|上线6号 不限购一居 办公首选 地理位置优越|上线6号| | 1室0厅 | 62.01平米 | 北 | 简装|低楼层(共15层)  2009年建板塔结合  -  |管庄|125万|单价20159元/平米
通州|管庄|格局好 楼层好 商水商电 有燃气 可注册公司|上线6号| | 1室0厅 | 47平米 | 西 | 简装|中楼层(共15层)  2009年建板塔结合  -  |管庄|110万|单价23405元/平米
通州|管庄|住欣家园  户型方正  东南向两居  业主诚心出售|住欣家园| | 2室1厅 | 70.63平米 | 东南 | 简装|低楼层(共28层)  2010年建塔楼  -  |管庄|205万|单价29025元/平米
通州|管庄|上线6号 临近地铁6号线黄渠站 不限购开间|上线6号| | 1室0厅 | 50.53平米 | 西 | 精装|低楼层(共15层)  2009年建板塔结合  -  |管庄|100万|单价19791元/平米
通州|管庄|京通苑 中高楼层 南向一居 满两年|京通苑| | 1室1厅 | 63.44平米 | 西南 | 其他|高楼层(共24层)  2000年建塔楼  -  |管庄|235万|单价37043元/平米
通州|管庄|长楹天街  紧邻地铁6号线  精装修|长楹天街| | 3室2厅 | 141平米 | 南 北 | 精装|地下室(共21层)  2013年建板楼  -  |管庄|560万|单价39717元/平米
通州|管庄|上线6号，商住两用，精装修，北向大开间|上线6号| | 1室0厅 | 53平米 | 北 | 精装|低楼层(共15层)  2009年建板塔结合  -  |管庄|120万|单价22642元/平米
通州|管庄|北京新天地 南向两居室 拎包入住|北京新天地| | 2室2厅 | 93.56平米 | 南 | 其他|高楼层(共28层)  2009年建板塔结合  -  |管庄|400万|单价42754元/平米
通州|管庄|长楹天街正规四居室  南北通透  临地铁|长楹天街| | 4室2厅 | 190平米 | 南 北 | 精装|高楼层(共18层)  2013年建塔楼  -  |管庄|970万|单价51053元/平米
