顺义|北七家|海德堡联排别墅  精装修拎包入住 前后花园区中心位置|海德堡花园| | 5室2厅 | 202.68平米 | 南 北 | 精装|低楼层(共4层)  1999年建  -  |北七家|695万|单价34291元/平米
顺义|李桥|樱花园一区 3室1厅 188万|樱花园一区| | 3室1厅 | 81.24平米 | 南 北 | 其他|高楼层(共7层)  1999年建板楼  -  |李桥|188万|单价23142元/平米
顺义|李桥|樱花园二区 2室1厅 180万|樱花园二区| | 2室1厅 | 69.42平米 | 南 北 | 简装|中楼层(共6层)  1999年建板楼  -  |李桥|180万|单价25930元/平米
顺义|李桥|樱花园一区 3室2厅 252万|樱花园一区| | 3室2厅 | 125.96平米 | 东南 北 | 精装|低楼层(共6层)  1999年建塔楼  -  |李桥|252万|单价20007元/平米
顺义|李桥|樱花园二区 一层带花园 双卧朝南 满五年唯一两居|樱花园二区| | 2室1厅 | 95.94平米 | 南 北 | 简装|低楼层(共6层)  1999年建板楼  -  |李桥|215万|单价22410元/平米
顺义|李桥|樱花园一区 1室1厅 130万|樱花园一区| | 1室1厅 | 48.5平米 | 南 | 其他|低楼层(共8层)  1999年建板楼  -  |李桥|130万|单价26805元/平米
顺义|李桥|樱花园二区 3室2厅 230万|樱花园二区| | 3室2厅 | 118平米 | 南 北 | 其他|中楼层(共5层)  1999年建板楼  -  |李桥|230万|单价19492元/平米
顺义|李桥|樱花园二区 2室2厅 170万|樱花园二区| | 2室2厅 | 72平米 | 南 北 | 其他|高楼层(共6层)  1999年建板楼  -  |李桥|170万|单价23612元/平米
顺义|李桥|樱花园一区 三居 简装 满二年|樱花园一区| | 4室1厅 | 150.32平米 | 南 | 其他|中楼层(共7层)  1999年建板楼  -  |李桥|290万|单价19293元/平米
顺义|李桥|简装两室一厅 明厨明卫  双卫生间|樱花园二区| | 2室1厅 | 88.1平米 | 南 北 | 简装|中楼层(共6层)  1999年建板楼  -  |李桥|185万|单价20999元/平米
顺义|李桥|樱花园二区 1室1厅 99万|樱花园二区| | 1室1厅 | 35.31平米 | 南 | 其他|低楼层(共7层)  1999年建板楼  -  |李桥|99万|单价28038元/平米
顺义|李桥|樱花园二区 3室2厅 225万|樱花园二区| | 3室2厅 | 116.61平米 | 南 | 简装|高楼层(共6层)  1999年建板楼  -  |李桥|225万|单价19296元/平米
顺义|李桥|樱花园二区 三居 满五唯一 免税|樱花园二区| | 3室1厅 | 118平米 | 南 北 | 其他|中楼层(共6层)  1999年建板楼  -  |李桥|230万|单价19492元/平米
顺义|李桥|樱花园一区 3室2厅 260万|樱花园一区| | 3室2厅 | 140.36平米 | 南 北 | 其他|高楼层(共6层)  1996年建板楼  -  |李桥|260万|单价18524元/平米
顺义|李桥|樱花园一区 3室1厅 300万|樱花园一区| | 3室1厅 | 153平米 | 南 北 | 其他|高楼层(共6层)  1999年建板楼  -  |李桥|300万|单价19608元/平米
顺义|李桥|樱花园六区  四居室 简单装修 给您一个温馨的家|樱花园六区| | 4室2厅 | 148.86平米 | 东南 | 简装|中楼层(共6层)  1996年建塔楼  -  |李桥|260万|单价17467元/平米
顺义|李桥|樱花园一区 2室1厅 200万|樱花园一区| | 2室1厅 | 97.44平米 | 南 北 | 简装|中楼层(共8层)  1999年建板楼  -  |李桥|200万|单价20526元/平米
顺义|李桥|樱花园一区双卧朝南两居室满五年诚心出售|樱花园一区| | 2室1厅 | 103平米 | 北 南 | 其他|中楼层(共8层)  1999年建板楼  -  |李桥|190万|单价18447元/平米
顺义|李桥|樱花园二区 1室0厅 110万|樱花园二区| | 1室0厅 | 35.31平米 | 南 北 | 精装|高楼层(共7层)  1999年建板楼  -  |李桥|110万|单价31153元/平米
顺义|李桥|樱花园二区  一层两室两卫带大花园|樱花园二区| | 2室1厅 | 88.1平米 | 南 西南 北 | 精装|低楼层(共6层)  1999年建板楼  -  |李桥|200万|单价22702元/平米
顺义|李桥|樱花园二区 3室1厅 260万|樱花园二区| | 3室1厅 | 131.17平米 | 南 北 | 其他|低楼层(共7层)  1999年建板楼  -  |李桥|260万|单价19822元/平米
顺义|李桥|樱花园一区 3室2厅 250万|樱花园一区| | 3室2厅 | 140.36平米 | 南 北 | 其他|高楼层(共6层)  1996年建板楼  -  |李桥|250万|单价17812元/平米
顺义|李桥|樱花园一区 3室2厅 255万|樱花园一区| | 3室2厅 | 144.94平米 | 南 北 | 精装|低楼层(共7层)  1998年建板楼  -  |李桥|255万|单价17594元/平米
顺义|李桥|樱花园一区 3室2厅 173万|樱花园一区| | 3室2厅 | 92.01平米 | 南 北 | 精装|高楼层(共6层)  1998年建塔楼  -  |李桥|173万|单价18803元/平米
顺义|李桥|樱花园一区 顶层送露台两居室 精装修诚心出售|樱花园一区| | 2室2厅 | 131.88平米 | 南 北 | 简装|高楼层(共8层)  1999年建板楼  -  |李桥|225万|单价17061元/平米
顺义|李桥|双卧朝南  错层欧式户型  低楼层|樱花园一区| | 2室1厅 | 103.29平米 | 南 北 | 简装|中楼层(共7层)  1998年建板楼  -  |李桥|190万|单价18395元/平米
顺义|李桥|樱花园一区 黄金楼层小三居 满五年|樱花园一区| | 3室1厅 | 102.74平米 | 南 北 | 简装|中楼层(共7层)  1998年建板楼  -  |李桥|225万|单价21900元/平米
顺义|李桥|樱花园六区 2室1厅 160万|樱花园六区| | 2室1厅 | 74平米 | 南 北 | 简装|高楼层(共6层)  1996年建板楼  -  |李桥|160万|单价21622元/平米
顺义|李桥|樱花园六区 2室2厅 210万|樱花园六区| | 2室2厅 | 136平米 | 南 北 | 毛坯|中楼层(共6层)  1996年建塔楼  -  |李桥|210万|单价15442元/平米
顺义|李桥|樱花园三区 2室1厅 200万|樱花园三区| | 2室1厅 | 99.07平米 | 南 西 北 | 简装|高楼层(共6层)  2000年建板楼  -  |李桥|200万|单价20188元/平米
顺义|李桥|樱花园正规两居 双卧朝南 错层结构 采光好|樱花园三区| | 2室1厅 | 102.31平米 | 南 北 | 简装|高楼层(共6层)  2000年建板楼  -  |李桥|210万|单价20526元/平米
顺义|李桥|樱花园一区开间 满五唯一 简装修|樱花园一区| | 1室0厅 | 45.79平米 | 南 北 | 其他|高楼层(共6层)  1999年建板楼  -  |李桥|120万|单价26207元/平米
顺义|李桥|樱花园二区 满五唯一一层两居 免税|樱花园二区| | 2室1厅 | 97.04平米 | 南 北 | 简装|低楼层(共5层)  1999年建板楼  -  |李桥|205万|单价21126元/平米
顺义|李桥|樱花园三区 满五唯一 南北通透 |樱花园三区| | 1室1厅 | 66.33平米 | 南 北 | 其他|中楼层(共6层)  2000年建板楼  -  |李桥|165万|单价24876元/平米
顺义|李桥|樱花园一区 南北两居 双卧朝南 |樱花园一区| | 2室2厅 | 103.29平米 | 南 北 | 简装|中楼层(共7层)  1998年建板楼  -  |李桥|200万|单价19363元/平米
顺义|李桥|樱花园二区 3室2厅 260万|樱花园二区| | 3室2厅 | 129平米 | 南 北 | 简装|中楼层(共6层)  1999年建板楼  -  |李桥|260万|单价20156元/平米
顺义|李桥|樱花园一区 1室1厅 130万|樱花园一区| | 1室1厅 | 48.45平米 | 南 | 其他|低楼层(共8层)  1999年建板楼  -  |李桥|130万|单价26832元/平米
顺义|李桥|樱花园二区 大开间 业主诚心出售|樱花园二区| | 1室1厅 | 35平米 | 南 北 | 其他|中楼层(共6层)  1999年建板楼  -  |李桥|86万|单价24572元/平米
顺义|李桥|樱花园二区 3室1厅 230万|樱花园二区| | 3室1厅 | 133.01平米 | 南 北 | 简装|低楼层(共5层)  1999年建板楼  -  |李桥|230万|单价17292元/平米
顺义|马坡|马坡花园两居室，满五唯一税费低，南北通透。|马坡花园一区| | 2室1厅 | 100.13平米 | 南 北 | 其他|低楼层(共6层)  1999年建板楼  -  |马坡|268万|单价26766元/平米
顺义|马坡|满五年唯一 免税 南北通透 户型好 三居室，|马坡花园一区| | 3室2厅 | 128平米 | 南 北 | 简装|中楼层(共6层)  1998年建板楼  -  |马坡|350万|单价27344元/平米
顺义|马坡|佳和宜园 满五唯一 随时看房 经典小三居|佳和宜园| | 3室2厅 | 91平米 | 南 北 | 简装|高楼层(共6层)  2009年建板楼  -  |马坡|228万|单价25055元/平米
顺义|马坡|马坡一区 眼镜户型三居室 五年唯一 免税 中楼层|马坡花园一区| | 3室2厅 | 115平米 | 南 北 | 简装|中楼层(共6层)  2000年建板楼  -  |马坡|320万|单价27827元/平米
顺义|马坡|马坡一区 双眼镜户型 五年唯一 |马坡花园一区| | 4室2厅 | 127.16平米 | 南 北 | 简装|高楼层(共6层)  2000年建板楼  -  |马坡|330万|单价25952元/平米
顺义|马坡|马坡新城★★佳和宜园★★南北两居室★★免装修★★|佳和宜园| | 2室2厅 | 89.33平米 | 南 北 | 精装|高楼层(共6层)  2009年建板楼  -  |马坡|235万|单价26307元/平米
顺义|马坡|富力湾 双拼别墅 精装修 改善首选|富力湾| | 4室2厅 | 337平米 | 东 南 西 北 | 精装|地下室(共3层)    -  |马坡|780万|单价23146元/平米
顺义|马坡|泰和谊园 南北通透三居 电梯房 满五年唯一 随时看房|泰和谊园| | 3室2厅 | 141平米 | 南 北 | 简装|中楼层(共11层)  2009年建板塔结合  -  |马坡|380万|单价26951元/平米
顺义|马坡|马坡花园二区 置换首选跃层三居室 满五年唯一|马坡花园二区| | 3室2厅 | 149平米 | 南 北 | 精装|中楼层(共5层)  2002年建板楼  -  |马坡|370万|单价24833元/平米
顺义|马坡|房子为精装修，小区生活交通便利，业主诚心出售。|马坡花园一区| | 3室2厅 | 110平米 | 南 北 | 精装|高楼层(共6层)  1998年建板楼  -  |马坡|265万|单价24091元/平米
顺义|马坡|富力湾独栋 低总价 满五年唯一|富力湾| | 4室6厅 | 400.58平米 | 南 北 | 精装|低楼层(共2层)    -  |马坡|900万|单价22468元/平米
顺义|马坡|佳和宜园  中间楼层 满五唯一 |佳和宜园| | 3室2厅 | 138平米 | 南 北 | 简装|高楼层(共11层)  2009年建板楼  -  |马坡|335万|单价24276元/平米
顺义|马坡|佳和宜园、小三居户型、采光好、免税房南北通透|佳和宜园| | 3室1厅 | 91.43平米 | 南 北 | 其他|高楼层(共6层)  2009年建板楼  -  |马坡|230万|单价25156元/平米
顺义|马坡|马坡一区 满五唯一 小复式两居|马坡花园一区| | 2室1厅 | 88.94平米 | 南 北 | 简装|高楼层(共6层)  2000年建板楼  -  |马坡|200万|单价22488元/平米
顺义|马坡|香悦四季精装修两居室 可以配合满五唯一 |香悦四季| | 2室2厅 | 80平米 | 南 | 精装|低楼层(共11层)  2010年建板楼  -  |马坡|275万|单价34375元/平米
顺义|马坡|马坡一区 带转角楼梯复式 送露台  在售仅此一套 |马坡花园一区| | 7室2厅 | 266.91平米 | 南 北 | 简装|中楼层(共5层)  1999年建板楼  -  |马坡|470万|单价17609元/平米
顺义|马坡|马坡花园一区超值四居室，随时能看|马坡花园一区| | 4室2厅 | 202平米 | 南 北 | 简装|高楼层(共6层)  2000年建板楼  -  |马坡|330万|单价16337元/平米
顺义|马坡|泰和谊园 置换首选精装大四居 满五年唯一送车位|泰和谊园| | 4室2厅 | 165.86平米 | 南 北 | 精装|中楼层(共11层)  2009年建板塔结合  -  |马坡|435万|单价26227元/平米
顺义|马坡|满五唯一精装大三居视野开阔周边配套齐全|马坡花园一区| | 3室2厅 | 107.7平米 | 南 北 | 简装|中楼层(共6层)  2001年建板楼  -  |马坡|300万|单价27856元/平米
顺义|马坡|中铁花溪渡 精装两居室 满二 有钥匙|中铁花溪渡| | 2室1厅 | 86平米 | 南 北 | 精装|高楼层(共18层)  2015年建板楼  -  |马坡|300万|单价34884元/平米
顺义|马坡|马坡花园一区，满五唯一四居室！|马坡花园一区| | 4室2厅 | 208.48平米 | 南 北 | 简装|高楼层(共6层)  2001年建板楼  -  |马坡|376万|单价18036元/平米
顺义|马坡|满五年唯一 低税费 位置好 楼层好|佳和宜园| | 3室2厅 | 92平米 | 南 北 | 其他|中楼层(共6层)  2009年建板楼  -  |马坡|260万|单价28261元/平米
顺义|马坡|马坡花园二区 大三居 南北通透 满五年唯一|马坡花园二区| | 3室2厅 | 121平米 | 南 北 | 简装|高楼层(共6层)  2002年建板楼  -  |马坡|305万|单价25207元/平米
顺义|马坡|龙苑别墅，独特精装修，格局合理|龙苑别墅| | 5室3厅 | 503.48平米 | 东 南 西 北 | 精装|低楼层(共2层)    -  |马坡|1200万|单价23835元/平米
顺义|马坡|马坡花园一区 3室1厅 335万|马坡花园一区| | 3室1厅 | 131平米 | 南 北 | 简装|高楼层(共6层)  2000年建板楼  -  |马坡|335万|单价25573元/平米
顺义|马坡|马坡花园二区 3室2厅 335万|马坡花园二区| | 3室2厅 | 123平米 | 南 北 | 简装|中楼层(共6层)  2002年建板楼  -  |马坡|335万|单价27236元/平米
顺义|马坡|佳和宜园 3室2厅 250万|佳和宜园| | 3室2厅 | 91平米 | 南 北 | 其他|高楼层(共6层)  2009年建板楼  -  |马坡|250万|单价27473元/平米
顺义|马坡|佳和宜园 中楼层 满五唯一大两居|佳和宜园| | 2室2厅 | 89平米 | 南 北 | 其他|中楼层(共6层)  2009年建板楼  -  |马坡|260万|单价29214元/平米
顺义|马坡|马坡花园二区 3室2厅 335万|马坡花园二区| | 3室2厅 | 138.75平米 | 南 北 | 精装|高楼层(共6层)  2002年建板楼  -  |马坡|335万|单价24145元/平米
顺义|马坡|马坡花园一区精装修 诚心出售 看房方便|马坡花园一区| | 2室2厅 | 88.94平米 | 南 北 | 简装|高楼层(共6层)  2000年建板楼  -  |马坡|225万|单价25298元/平米
顺义|马坡|顺义马坡 精装大两居 满五唯一 业主诚售|泰和谊园| | 2室2厅 | 126平米 | 南 北 | 精装|中楼层(共11层)  2009年建板塔结合  -  |马坡|410万|单价32540元/平米
顺义|马坡|马坡花园精装三居，三室两卫，南北通透|马坡花园一区| | 4室2厅 | 202平米 | 南 北 | 精装|高楼层(共5层)  2001年建板楼  -  |马坡|390万|单价19307元/平米
顺义|马坡|恒丰花园      满五唯一    毛坯独栋 田园风光|恒丰花园| | 5室2厅 | 342.91平米 | 南 北 | 毛坯|低楼层(共2层)    -  |马坡|880万|单价25663元/平米
顺义|马坡|顺义新城 佳和宜园 三居室 客厅朝南主卧朝南次顶层|佳和宜园| | 3室2厅 | 91.1平米 | 南 北 | 简装|高楼层(共6层)  2009年建板楼  -  |马坡|235万|单价25796元/平米
顺义|马坡|马坡花园  南北通透三居室  采光好|马坡花园一区| | 3室2厅 | 140.37平米 | 南 北 | 其他|高楼层(共6层)  2001年建板楼  -  |马坡|330万|单价23510元/平米
顺义|马坡|马坡花园二区经典四居室 业主换房急售 满五年唯一房源|马坡花园二区| | 4室2厅 | 156平米 | 南 北 | 精装|中楼层(共6层)  2002年建板楼  -  |马坡|440万|单价28206元/平米
顺义|马坡|马坡一区 复式格局 装修好 满五年唯一|马坡花园一区| | 3室1厅 | 183.73平米 | 南 北 | 其他|中楼层(共6层)  1998年建板楼  -  |马坡|385万|单价20955元/平米
顺义|马坡|马坡花园二区 2室2厅 270万|马坡花园二区| | 2室2厅 | 103平米 | 南 北 | 其他|高楼层(共6层)  2002年建板楼  -  |马坡|270万|单价26214元/平米
顺义|马坡|佳和开间、采光充足、刚需首选、户型优|佳和宜园| | 1室1厅 | 48平米 | 南 | 简装|中楼层(共11层)  2009年建板塔结合  -  |马坡|150万|单价31250元/平米
顺义|马坡|中铁花溪渡精装两居 南北贯通 从未入住|中铁花溪渡| | 2室2厅 | 85平米 | 南 北 | 精装|高楼层(共15层)  2013年建塔楼  -  |马坡|298万|单价35059元/平米
顺义|马坡|马坡花园一区、满五年唯一、客厅舒服、毛坯随意装修|马坡花园一区| | 4室2厅 | 201.71平米 | 南 北 | 毛坯|中楼层(共5层)  2001年建板楼  -  |马坡|365万|单价18096元/平米
顺义|马坡|马坡花园二区 4室1厅 290万|马坡花园二区| | 4室1厅 | 155平米 | 南 北 | 简装|中楼层(共16层)  2002年建塔楼  -  |马坡|290万|单价18710元/平米
顺义|马坡|马坡花园一区满五年唯一住宅，黄金楼层，您居家的首选|马坡花园一区| | 1室1厅 | 66平米 | 南 北 | 简装|中楼层(共6层)  1999年建板楼  -  |马坡|180万|单价27273元/平米
顺义|马坡|紧邻水系三居室 中间楼层 位置好|鲁能7号院颐景溪园| | 3室2厅 | 135平米 | 南 北 | 其他|低楼层(共9层)  2012年建板楼  -  |马坡|390万|单价28889元/平米
顺义|马坡|龙苑别墅 6室4厅 2000万|龙苑别墅| | 6室4厅 | 888平米 | 南 北 | 精装|地下室(共2层)  1995年建  -  |马坡|2000万|单价22523元/平米
顺义|马坡|马坡佳和宜园 精装3居 满五唯一 免税 刚需首选|佳和宜园| | 3室2厅 | 91平米 | 南 北 | 精装|中楼层(共6层)  2009年建板楼  -  |马坡|270万|单价29671元/平米
顺义|马坡|龙苑别墅 4室3厅 890万|龙苑别墅| | 4室3厅 | 353平米 | 南 北 | 精装|低楼层(共3层)  1995年建  -  |马坡|890万|单价25213元/平米
顺义|马坡|满五年唯一、南北通透免税房、精装修采光充足|佳和宜园| | 3室2厅 | 137平米 | 南 北 | 精装|中楼层(共11层)  2009年建板楼  -  |马坡|365万|单价26643元/平米
顺义|马坡|马坡花园二区 南北通透两居 满五年 好楼层 推荐婚房|马坡花园二区| | 2室2厅 | 103平米 | 南 北 | 简装|中楼层(共5层)  2002年建板楼  -  |马坡|295万|单价28641元/平米
顺义|马坡|佳和经典3居 ，满五唯一 采光好 不临街 不把边|佳和宜园| | 3室1厅 | 91.11平米 | 南 北 | 其他|高楼层(共6层)  2009年建板楼  -  |马坡|236万|单价25903元/平米
顺义|马坡|佳和宜园 南北通透两居室  主卧带阳台 停车免费|佳和宜园| | 2室1厅 | 89平米 | 南 北 | 简装|高楼层(共6层)  2009年建板楼  -  |马坡|228万|单价25618元/平米
顺义|马坡|顺义新城  佳和宜园 满两年 原值高 精装三居|佳和宜园| | 3室2厅 | 92平米 | 南 北 | 精装|高楼层(共6层)  2009年建板楼  -  |马坡|216万|单价23479元/平米
顺义|马坡|马坡花园二区 2室1厅 235万|马坡花园二区| | 2室1厅 | 84.6平米 | 南 北 | 简装|中楼层(共6层)  2002年建板楼  -  |马坡|235万|单价27778元/平米
顺义|马坡|香悦 中间位置南花园 独栋别墅  带300平米花园 诚售|香悦四季| | 5室2厅 | 230平米 | 南 北 | 毛坯|低楼层(共2层)  板楼  -  |马坡|920万|单价40000元/平米
顺义|马坡|马坡花园精装三居，三室两卫，南北通透|马坡花园二区| | 3室2厅 | 124平米 | 南 北 | 精装|高楼层(共6层)  2002年建板楼  -  |马坡|319万|单价25726元/平米
顺义|马坡|中铁花溪渡精装两居室一层带花园|中铁花溪渡| | 2室2厅 | 86平米 | 南 北 | 精装|低楼层(共18层)  2015年建板楼  -  |马坡|345万|单价40117元/平米
顺义|马坡|马坡一区 南北通透四居室 采光好 户型优|马坡花园一区| | 4室2厅 | 127.16平米 | 南 北 | 精装|中楼层(共6层)  2000年建板楼  -  |马坡|312万|单价24537元/平米
顺义|马坡|佳和宜园 1室0厅 123万|佳和宜园| | 1室0厅 | 47平米 | 南 | 简装|低楼层(共11层)  2008年建塔楼  -  |马坡|123万|单价26171元/平米
顺义|马坡|马坡花园一区 3室2厅 370万|马坡花园一区| | 3室2厅 | 117.4平米 | 南 北 | 简装|中楼层(共6层)  1999年建板楼  -  |马坡|370万|单价31517元/平米
顺义|马坡|佳和宜园经典两居室     南北通透    电梯房|佳和宜园| | 2室2厅 | 93平米 | 南 北 | 其他|高楼层(共11层)  2009年建板塔结合  -  |马坡|260万|单价27957元/平米
顺义|马坡|佳和宜园 经典3居室 婚房装修 家具家电赠送 强 强 强|佳和宜园| | 3室2厅 | 92平米 | 南 北 | 精装|中楼层(共6层)  2009年建板楼  -  |马坡|260万|单价28261元/平米
顺义|马坡|佳和宜园  一层两居室 满两年高原值|佳和宜园| | 2室2厅 | 89平米 | 南 北 | 简装|低楼层(共6层)  2009年建板楼  -  |马坡|226万|单价25394元/平米
顺义|马坡|佳和宜园、南北通透、毛坯现房、采光充足|佳和宜园| | 3室2厅 | 139平米 | 南 北 | 毛坯|高楼层(共11层)  2009年建板楼  -  |马坡|320万|单价23022元/平米
顺义|马坡|鲁能花园洋房A1格局，平层四居室，3花园，诚心出售|鲁能7号院颐景溪园| | 4室2厅 | 178平米 | 南 北 | 毛坯|地下室(共6层)  2012年建板楼  -  |马坡|580万|单价32585元/平米
顺义|马坡|香悦四季 3室2厅 380万|香悦四季| | 3室2厅 | 119平米 | 南 北 | 毛坯|低楼层(共17层)  板楼  -  |马坡|380万|单价31933元/平米
顺义|马坡|低税费 经典两居户型，优质采光，出行便捷|金宝城一期| | 2室1厅 | 92平米 | 南 北 | 简装|低楼层(共15层)  2011年建  -  |马坡|275万|单价29892元/平米
顺义|马坡|马坡花园一区满五唯一 诚心出售 看房方便|马坡花园一区| | 3室2厅 | 110.27平米 | 南 北 | 简装|中楼层(共6层)  1998年建板楼  -  |马坡|265万|单价24032元/平米
顺义|马坡|马坡二区 生活成本低 小区中心位置 看房方便 满五唯一|马坡花园二区| | 3室2厅 | 149平米 | 南 北 | 简装|中楼层(共6层)  2002年建板楼  -  |马坡|355万|单价23826元/平米
顺义|马坡|首师大附小学区 全明格局 婚房首选 两个南卧 户型好|鲁能7号院颐景溪园| | 3室2厅 | 118.85平米 | 南 北 | 毛坯|低楼层(共15层)  2012年建板楼  -  |马坡|330万|单价27767元/平米
顺义|马坡|香悦四季 139.87平米送15平米4居室 直通车库 首次入住|香悦四季| | 4室2厅 | 139.87平米 | 南 北 | 精装|高楼层(共9层)  2010年建板楼  -  |马坡|420万|单价30028元/平米
顺义|马坡|鲁能洋房 F1户型+大露台+南北花园+下沉花园|鲁能7号院颐景溪园| | 3室2厅 | 166.53平米 | 南 北 | 毛坯|地下室(共6层)  2012年建板楼  -  |马坡|580万|单价34829元/平米
顺义|马坡|鲁能洋房 F1户型 地上两层地下一层 带南北花园|鲁能7号院颐景溪园| | 4室3厅 | 168平米 | 南 北 | 其他|低楼层(共5层)  2012年建板楼  -  |马坡|600万|单价35715元/平米
顺义|马坡|顺义佳和宜园 精装2居 满两年 免增值税|佳和宜园| | 2室2厅 | 75平米 | 南 | 精装|高楼层(共6层)  2009年建板楼  -  |马坡|200万|单价26667元/平米
顺义|马坡|香悦四季 精装不限购公寓 中间楼层 视野好|香悦四季| | 1室0厅 | 33平米 | 西 | 精装|中楼层(共15层)  板楼  -  |马坡|57万|单价17273元/平米
顺义|马坡|花溪渡 经典小三居 南北通透 小区中间位置 |中铁花溪渡| | 3室2厅 | 94.38平米 | 南 北 | 精装|中楼层(共11层)  2015年建板楼  -  |马坡|340万|单价36025元/平米
顺义|马坡|鲁能七号院 毛坯 南北通透 三居|鲁能7号院颐景溪园| | 3室2厅 | 118平米 | 南 北 | 其他|低楼层(共15层)  2012年建板楼  -  |马坡|330万|单价27967元/平米
顺义|马坡|富力湾 独栋别墅 中式风格 地上花园|富力湾| | 7室3厅 | 705平米 | 南 北 | 毛坯|低楼层(共2层)    -  |马坡|1900万|单价26951元/平米
顺义|马坡|中铁花溪渡 花园洋房带露台 南北通透精装修|中铁花溪渡| | 3室2厅 | 178平米 | 南 北 | 精装|低楼层(共15层)  2015年建板楼  -  |马坡|560万|单价31461元/平米
顺义|马坡|马坡花园二区急售房源 单价低总价低 随时看房|马坡花园二区| | 3室1厅 | 123平米 | 南 北 | 精装|高楼层(共6层)  2002年建板楼  -  |马坡|280万|单价22765元/平米
顺义|马坡|香悦四季 4室2厅 430万|香悦四季| | 4室2厅 | 138平米 | 南 北 | 精装|低楼层(共11层)  2010年建板楼  -  |马坡|430万|单价31160元/平米
顺义|马坡|佳和带电梯大三居，中间楼层，看房方便|佳和宜园| | 3室2厅 | 138平米 | 南 北 | 简装|中楼层(共11层)  2009年建板楼  -  |马坡|300万|单价21740元/平米
顺义|马坡|马坡花园一区 141平米 335万诚售|马坡花园一区| | 3室2厅 | 141平米 | 南 北 | 精装|中楼层(共6层)  2001年建板楼  -  |马坡|330万|单价23405元/平米
顺义|马坡|鲁能7号院洋房=首层+南北花园+地下室+2层|鲁能7号院颐景溪园| | 4室2厅 | 169平米 | 南 北 | 毛坯|地下室(共6层)  2012年建板楼  -  |马坡|575万|单价34024元/平米
顺义|马坡|阳光别墅 5室3厅 1500万|阳光别墅| | 5室3厅 | 685平米 | 南 北 | 精装|地下室(共3层)  2001年建  -  |马坡|1500万|单价21898元/平米
顺义|马坡|鲁能7号院颐景溪园 3室2厅 590万|鲁能7号院颐景溪园| | 3室2厅 | 166平米 | 南 北 | 其他|低楼层(共5层)  2012年建板楼  -  |马坡|590万|单价35543元/平米
顺义|马坡|泰和宜园 满2年 原值高 有钥匙 随时看房|泰和谊园| | 3室2厅 | 92平米 | 南 北 | 其他|高楼层(共6层)  2011年建塔楼  -  |马坡|220万|单价23914元/平米
顺义|马坡|马坡花园二区低总价 投资自住房 仅售205万 带挑高|马坡花园二区| | 2室2厅 | 83.1平米 | 南 北 | 简装|高楼层(共6层)  2002年建板楼  -  |马坡|220万|单价26475元/平米
顺义|马坡|纯独栋 满五唯一。送大花园 车位。|龙苑别墅| | 6室2厅 | 356平米 | 东 南 西 北 | 其他|地下室(共2层)  1995年建  -  |马坡|960万|单价26967元/平米
顺义|马坡|马坡泰和谊园中心位置，平层4居室，双卫，诚心出售|泰和谊园| | 4室2厅 | 163.1平米 | 北 南 | 精装|中楼层(共11层)  2009年建板塔结合  -  |马坡|430万|单价26365元/平米
顺义|马坡|中铁置业 精装三居室 临近水系 满二 诚心出售|中铁花溪渡| | 3室2厅 | 129平米 | 南 北 | 其他|低楼层(共18层)  2015年建板楼  -  |马坡|430万|单价33334元/平米
顺义|马坡|香悦四季 精装送书房房 黄金楼层 诚信出售|香悦四季| | 3室2厅 | 121.05平米 | 南 北 | 精装|高楼层(共15层)  板楼  -  |马坡|376万|单价31062元/平米
顺义|马坡|香悦四季 1室0厅 88万|香悦四季| | 1室0厅 | 44平米 | 南 | 其他|低楼层(共15层)  板楼  -  |马坡|88万|单价20000元/平米
顺义|马坡|鲁能七号院 精装修 产权清晰 业主诚意出售|鲁能7号院颐景溪园| | 3室2厅 | 118平米 | 南 北 | 精装|低楼层(共15层)  2012年建板楼  -  |马坡|365万|单价30933元/平米
顺义|马坡|马坡花园二区 推荐婚房两居室 首付90万 顶层带阁楼|马坡花园二区| | 2室2厅 | 104平米 | 南 北 | 精装|高楼层(共6层)  2002年建板楼  -  |马坡|245万|单价23558元/平米
顺义|马坡|马坡花园二区 诚心出售通透三居室 报价280万|马坡花园二区| | 3室2厅 | 123.23平米 | 南 北 | 简装|高楼层(共6层)  2002年建板楼  -  |马坡|280万|单价22722元/平米
顺义|马坡|鲁能七号院F5大复试，毛坯房，随意改造，闹市中的安宁|鲁能7号院颐景溪园| | 3室2厅 | 180平米 | 南 北 | 毛坯|高楼层(共6层)  2012年建板楼  -  |马坡|570万|单价31667元/平米
顺义|马坡|香悦四季 2室1厅 115万|香悦四季| | 2室1厅 | 61.4平米 | 东 | 其他|中楼层(共15层)  板楼  -  |马坡|115万|单价18730元/平米
顺义|马坡|马坡二区 精装修 顶层带阁楼 满两年 原值高 |马坡花园二区| | 3室2厅 | 123平米 | 南 北 | 其他|高楼层(共6层)  2002年建板楼  -  |马坡|305万|单价24797元/平米
顺义|马坡|富力湾精装别墅 带花园 看房基本随时|富力湾| | 5室2厅 | 302平米 | 南 北 | 精装|地下室(共3层)    -  |马坡|860万|单价28477元/平米
顺义|马坡|中铁洋房 重点学区 低密社区 诚信出售|中铁花溪渡| | 3室2厅 | 157平米 | 南 北 | 毛坯|低楼层(共15层)  2015年建板楼  -  |马坡|500万|单价31848元/平米
